frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
6055,30275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.027915,0.949518,1.000543,0.999429,1.029428,18,-40,-2,4,21,1597,1533,1611,1522,1605
6255,31275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.002741,0.930563,1.023332,1.000000,1.002228,-46,-40,41,1,-47,1594,1527,1613,1519,1565
6455,32275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001107,0.907514,1.041848,1.000000,1.000548,-7,-40,41,0,-6,1577,1500,1610,1500,1596
6655,33275,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.003764,0.971969,1.005501,0.990057,1.005187,10,103,-53,-21,8,1364,1304,1406,1178,1505
6855,34275,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.017788,0.996532,1.002212,0.966072,1.014843,20,50,-23,-40,20,1569,1500,1578,1509,1589
7055,35275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.026637,1.000000,1.000554,0.945080,1.026791,19,5,-2,-40,19,1572,1499,1575,1518,1599
7255,36275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002354,1.000000,1.016336,0.930495,1.002303,-46,1,40,-40,-45,1469,1450,1484,1367,1507
7455,37275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998205,0.998967,1.034691,0.911283,1.000632,-4,0,41,-40,-6,884,738,1096,931,1353
7655,38275,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,0.999061,0.990083,1.008114,0.972022,1.004863,10,-21,-52,114,8,835,980,1249,1021,1415
7855,39275,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.016474,0.965837,1.004396,1.000000,1.017602,20,-40,-24,47,20,1591,1497,1590,1485,1588
8055,40275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.027899,0.945080,1.001083,1.000000,1.025014,20,-40,-5,1,20,1598,1518,1616,1492,1529
8255,41275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.002189,0.927041,1.022527,1.000000,1.001106,-48,-40,41,0,-44,1597,1497,1590,1438,1578
