pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-1.903651e-3,-1.911585e-3,-9.383630e-1,-8.851733e-1,1.000000e-1,-7.933471e-5
1,-8.851733e-1,-8.804063e-1,-2.024189e0,-1.939454e0,1.000000e-1,4.767001e-2
2,-1.939454e0,-1.878857e0,-3.015790e0,-2.881431e0,1.000000e-1,6.059718e-1
3,-2.881431e0,-2.958468e0,-3.642766e0,-4.070359e0,1.000000e-1,-7.703781e-1
4,-4.070359e0,-4.056044e0,-4.076184e0,-3.763724e0,1.000000e-1,1.431561e-1
