pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-5.722443e-3,-5.734746e-3,-3.837408e-2,-3.327036e-2,5.000000e-3,-2.460741e-3
1,-3.327036e-2,-4.203006e-2,-8.335373e-2,-6.638453e-2,5.000000e-3,-1.751941e0
2,-6.638453e-2,-6.388911e-2,-1.141431e-1,-9.629752e-2,5.000000e-3,4.990846e-1
3,-9.629752e-2,-1.042772e-1,-1.302038e-1,-1.538891e-1,5.000000e-3,-1.595935e0
4,-1.538891e-1,-1.489171e-1,-2.036235e-1,-1.814635e-1,5.000000e-3,9.944111e-1
