step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25380,176900.00,0.031045,6.208065e-5,-6.208065e-5,6.066412e-2,6.793580e-2,0,0
25381,176905.00,0.031542,6.307389e-5,-6.307389e-5,6.220253e-2,5.990239e-2,0,0
25382,176910.00,0.032038,6.406521e-5,-6.406521e-5,6.096477e-2,5.116483e-2,0,0
25383,176915.00,0.032535,6.505842e-5,-6.505842e-5,6.086908e-2,5.576172e-2,0,0
25384,176920.00,0.033031,6.604971e-5,-6.604971e-5,6.133052e-2,7.250569e-2,0,0
25385,176925.00,0.033527,6.704289e-5,-6.704289e-5,6.294266e-2,6.840382e-2,0,0
25386,176930.00,0.034023,6.803415e-5,-6.803415e-5,6.093403e-2,6.189063e-2,0,0
25387,176935.00,0.034520,6.902729e-5,-6.902729e-5,6.360003e-2,6.411752e-2,0,0
25388,176940.00,0.035016,7.001851e-5,-7.001851e-5,6.547490e-2,6.901385e-2,0,0
25389,176945.00,0.035513,7.101162e-5,-7.101162e-5,6.369987e-2,6.802929e-2,0,0
25390,176950.00,0.036009,7.200281e-5,-7.200281e-5,6.243660e-2,6.657669e-2,0,0
25391,176955.00,0.036505,7.299399e-5,-7.299399e-5,6.306437e-2,6.696177e-2,0,0
25392,176960.00,0.037002,7.398703e-5,-7.398703e-5,6.207521e-2,7.032672e-2,0,0
25393,176965.00,0.037498,7.497817e-5,-7.497817e-5,6.396185e-2,7.691334e-2,0,0
25394,176970.00,0.037994,7.597119e-5,-7.597119e-5,6.131823e-2,5.841928e-2,0,0
25395,176975.00,0.038490,7.696229e-5,-7.696229e-5,6.135917e-2,6.450954e-2,0,0
25396,176980.00,0.038987,7.795527e-5,-7.795527e-5,5.976838e-2,6.540731e-2,0,0
25397,176985.00,0.039483,7.894632e-5,-7.894632e-5,5.995961e-2,6.690801e-2,0,0
25398,176990.00,0.039980,7.993927e-5,-7.993927e-5,5.934817e-2,6.630834e-2,0,0
25399,176995.00,0.040476,8.093029e-5,-8.093029e-5,5.917586e-2,7.509439e-2,0,0
25400,177000.00,0.040973,8.192320e-5,-8.192320e-5,5.813072e-2,7.216141e-2,0,0
25401,177005.00,0.041469,8.291418e-5,-8.291418e-5,5.808091e-2,7.427756e-2,0,0
25402,177010.00,0.041965,8.390704e-5,-8.390704e-5,5.750981e-2,7.345362e-2,0,0
25403,177015.00,0.042461,8.489798e-5,-8.489798e-5,5.860842e-2,6.995033e-2,0,0
25404,177020.00,0.042958,8.589080e-5,-8.589080e-5,5.976772e-2,6.379021e-2,0,0
25405,177025.00,0.043454,8.688169e-5,-8.688169e-5,6.067726e-2,7.861631e-2,0,0
25406,177030.00,0.043951,8.787448e-5,-8.787448e-5,6.202804e-2,6.715981e-2,0,0
25407,177035.00,0.044447,8.886533e-5,-8.886533e-5,6.439143e-2,6.723064e-2,0,0
25408,177040.00,0.044944,8.985807e-5,-8.985807e-5,6.650639e-2,6.265628e-2,0,0
25409,177045.00,0.045440,9.084887e-5,-9.084887e-5,6.977554e-2,6.736472e-2,0,0
25410,177050.00,0.045937,9.184156e-5,-9.184156e-5,6.931987e-2,6.609211e-2,0,0
25411,177055.00,0.046432,9.283233e-5,-9.283233e-5,6.922162e-2,7.195572e-2,0,0
25412,177060.00,0.046929,9.382497e-5,-9.382497e-5,7.088627e-2,7.373294e-2,0,0
25413,177065.00,0.047425,9.481569e-5,-9.481569e-5,7.124376e-2,6.498975e-2,0,0
25414,177070.00,0.047922,9.580830e-5,-9.580830e-5,7.383350e-2,6.672703e-2,0,0
25415,177075.00,0.048418,9.679896e-5,-9.679896e-5,7.549438e-2,6.923170e-2,0,0
25416,177080.00,0.048915,9.779151e-5,-9.779151e-5,7.203269e-2,7.371730e-2,0,0
25417,177085.00,0.049411,9.878213e-5,-9.878213e-5,7.376893e-2,7.462611e-2,0,0
25418,177090.00,0.049908,9.977464e-5,-9.977464e-5,7.807541e-2,7.476847e-2,0,0
25419,177095.00,0.050404,1.007652e-4,-1.007652e-4,8.244877e-2,7.066643e-2,0,0
25420,177100.00,0.050900,1.017577e-4,-1.017577e-4,8.243974e-2,8.124409e-2,0,0
25421,177105.00,0.051396,1.027482e-4,-1.027482e-4,8.342990e-2,8.218944e-2,0,0
25422,177110.00,0.051892,1.037387e-4,-1.037387e-4,8.327902e-2,7.742008e-2,0,0
25423,177115.00,0.052389,1.047311e-4,-1.047311e-4,8.606324e-2,7.302878e-2,0,0
25424,177120.00,0.052885,1.057215e-4,-1.057215e-4,8.634885e-2,7.840946e-2,0,0
25425,177125.00,0.053382,1.067138e-4,-1.067138e-4,8.803533e-2,6.573211e-2,0,0
25426,177130.00,0.053878,1.077042e-4,-1.077042e-4,8.973470e-2,7.132418e-2,0,0
25427,177135.00,0.054375,1.086965e-4,-1.086965e-4,9.534677e-2,7.119074e-2,0,0
25428,177140.00,0.054871,1.096869e-4,-1.096869e-4,9.606905e-2,6.528126e-2,0,0
25429,177145.00,0.055367,1.106791e-4,-1.106791e-4,1.012522e-1,7.434365e-2,0,0
25430,177150.00,0.055863,1.116694e-4,-1.116694e-4,1.042184e-1,7.317021e-2,0,0
25431,177155.00,0.056360,1.126615e-4,-1.126615e-4,1.153282e-1,7.811415e-2,0,0
25432,177160.00,0.056856,1.136518e-4,-1.136518e-4,1.747208e-1,6.625140e-2,0,0
25433,177165.00,0.057353,1.146439e-4,-1.146439e-4,1.791832e-1,6.977560e-2,0,0
25434,177170.00,0.057849,1.156340e-4,-1.156340e-4,1.398996e-1,5.999580e-2,0,0
25435,177175.00,0.058346,1.166261e-4,-1.166261e-4,1.213351e-1,6.834523e-2,0,0
25436,177180.00,0.058842,1.176162e-4,-1.176162e-4,1.111772e-1,7.593168e-2,0,0
25437,177185.00,0.059339,1.186082e-4,-1.186082e-4,9.926523e-2,7.694361e-2,0,0
25438,177190.00,0.059834,1.195983e-4,-1.195983e-4,1.015181e-1,7.052444e-2,0,0
25439,177195.00,0.060331,1.205902e-4,-1.205902e-4,1.011994e-1,6.388071e-2,0,0
25440,177200.00,0.060827,1.215802e-4,-1.215802e-4,1.098178e-1,6.528383e-2,0,0
25441,177205.00,0.061324,1.225721e-4,-1.225721e-4,1.095477e-1,7.169653e-2,0,0
25442,177210.00,0.061820,1.235620e-4,-1.235620e-4,1.121709e-1,6.657189e-2,0,0
25443,177215.00,0.062317,1.245538e-4,-1.245538e-4,1.266010e-1,7.005399e-2,0,0
25444,177220.00,0.062813,1.255437e-4,-1.255437e-4,1.607809e-1,7.285748e-2,0,0
25445,177225.00,0.063310,1.265355e-4,-1.265355e-4,2.511282e-1,6.173680e-2,0,0
25446,177230.00,0.063806,1.275253e-4,-1.275253e-4,1.621801e-1,6.742187e-2,0,0
25447,177235.00,0.064302,1.285170e-4,-1.285170e-4,1.455766e-1,6.851735e-2,0,0
25448,177240.00,0.064798,1.295067e-4,-1.295067e-4,1.218527e-1,6.951078e-2,0,0
25449,177245.00,0.065295,1.304984e-4,-1.304984e-4,1.209305e-1,6.880819e-2,0,0
25450,177250.00,0.065791,1.314881e-4,-1.314881e-4,1.392306e-1,6.322991e-2,0,0
25451,177255.00,0.066287,1.324777e-4,-1.324777e-4,1.179810e-1,6.283264e-2,0,0
25452,177260.00,0.066784,1.334692e-4,-1.334692e-4,1.147299e-1,6.778820e-2,0,0
25453,177265.00,0.067280,1.344589e-4,-1.344589e-4,1.047333e-1,6.694091e-2,0,0
25454,177270.00,0.067777,1.354503e-4,-1.354503e-4,9.990832e-2,6.732503e-2,0,0
25455,177275.00,0.068273,1.364398e-4,-1.364398e-4,9.483203e-2,7.236303e-2,0,0
25456,177280.00,0.068769,1.374312e-4,-1.374312e-4,9.648807e-2,7.638169e-2,0,0
25457,177285.00,0.069265,1.384207e-4,-1.384207e-4,9.234272e-2,7.172680e-2,0,0
25458,177290.00,0.069762,1.394120e-4,-1.394120e-4,8.831944e-2,6.713285e-2,0,0
25459,177295.00,0.070258,1.404014e-4,-1.404014e-4,8.801387e-2,7.403229e-2,0,0
25460,177300.00,0.070755,1.413927e-4,-1.413927e-4,8.787845e-2,7.322680e-2,0,0
25461,177305.00,0.071251,1.423820e-4,-1.423820e-4,8.780526e-2,6.636757e-2,0,0
25462,177310.00,0.071748,1.433732e-4,-1.433732e-4,9.311157e-2,6.697960e-2,0,0
25463,177315.00,0.072244,1.443624e-4,-1.443624e-4,9.209185e-2,7.485507e-2,0,0
25464,177320.00,0.072741,1.453536e-4,-1.453536e-4,9.069185e-2,7.408696e-2,0,0
25465,177325.00,0.073236,1.463427e-4,-1.463427e-4,8.483257e-2,7.381536e-2,0,0
25466,177330.00,0.073733,1.473338e-4,-1.473338e-4,8.034562e-2,7.677641e-2,0,0
25467,177335.00,0.074229,1.483229e-4,-1.483229e-4,8.009700e-2,7.502698e-2,0,0
25468,177340.00,0.074726,1.493139e-4,-1.493139e-4,8.728684e-2,6.498900e-2,0,0
25469,177345.00,0.075222,1.503029e-4,-1.503029e-4,9.403371e-2,6.699178e-2,0,0
25470,177350.00,0.075719,1.512938e-4,-1.512938e-4,9.997389e-2,7.386998e-2,0,0
25471,177355.00,0.076215,1.522828e-4,-1.522828e-4,9.500038e-2,7.197803e-2,0,0
25472,177360.00,0.076712,1.532736e-4,-1.532736e-4,1.022918e-1,6.807855e-2,0,0
25473,177365.00,0.077208,1.542625e-4,-1.542625e-4,1.620174e-1,6.215145e-2,0,0
25474,177370.00,0.077704,1.552532e-4,-1.552532e-4,1.616536e-1,6.709501e-2,0,0
25475,177375.00,0.078200,1.562420e-4,-1.562420e-4,1.002639e-1,7.791890e-2,0,0
25476,177380.00,0.078697,1.572327e-4,-1.572327e-4,1.015530e-1,7.814764e-2,0,0
25477,177385.00,0.079193,1.582214e-4,-1.582214e-4,8.766077e-2,7.289230e-2,0,0
25478,177390.00,0.079690,1.592120e-4,-1.592120e-4,8.347218e-2,7.103519e-2,0,0
25479,177395.00,0.080186,1.602007e-4,-1.602007e-4,8.013368e-2,7.249942e-2,0,0
25480,177400.00,0.080683,1.611912e-4,-1.611912e-4,8.250235e-2,7.311361e-2,0,0
25481,177405.00,0.081179,1.621798e-4,-1.621798e-4,8.667043e-2,6.800700e-2,0,0
25482,177410.00,0.081675,1.631683e-4,-1.631683e-4,8.103435e-2,6.601443e-2,0,0
25483,177415.00,0.082171,1.641587e-4,-1.641587e-4,7.969370e-2,6.633615e-2,0,0
25484,177420.00,0.082667,1.651472e-4,-1.651472e-4,7.893633e-2,7.914648e-2,0,0
25485,177425.00,0.083164,1.661375e-4,-1.661375e-4,7.538937e-2,6.897508e-2,0,0
25486,177430.00,0.083660,1.671259e-4,-1.671259e-4,7.534567e-2,5.489308e-2,0,0
25487,177435.00,0.084157,1.681161e-4,-1.681161e-4,7.563581e-2,6.432855e-2,0,0
25488,177440.00,0.084653,1.691044e-4,-1.691044e-4,7.442954e-2,6.882716e-2,0,0
25489,177445.00,0.085150,1.700945e-4,-1.700945e-4,7.330392e-2,6.733812e-2,0,0
25490,177450.00,0.085646,1.710827e-4,-1.710827e-4,7.692237e-2,7.561819e-2,0,0
25491,177455.00,0.086143,1.720728e-4,-1.720728e-4,8.287346e-2,7.442907e-2,0,0
25492,177460.00,0.086638,1.730609e-4,-1.730609e-4,7.240213e-2,6.708036e-2,0,0
25493,177465.00,0.087135,1.740509e-4,-1.740509e-4,7.121681e-2,6.807397e-2,0,0
25494,177470.00,0.087631,1.750389e-4,-1.750389e-4,7.025177e-2,7.952715e-2,0,0
25495,177475.00,0.088128,1.760288e-4,-1.760288e-4,7.330590e-2,7.490665e-2,0,0
25496,177480.00,0.088624,1.770168e-4,-1.770168e-4,6.815168e-2,7.215449e-2,0,0
25497,177485.00,0.089121,1.780066e-4,-1.780066e-4,6.822057e-2,6.559744e-2,0,0
25498,177490.00,0.089617,1.789944e-4,-1.789944e-4,6.692783e-2,6.456809e-2,0,0
25499,177495.00,0.090114,1.799842e-4,-1.799842e-4,6.989826e-2,7.138219e-2,0,0
25500,177500.00,0.090610,1.809719e-4,-1.809719e-4,7.007203e-2,7.381181e-2,0,0
25501,177505.00,0.091106,1.819616e-4,-1.819616e-4,6.864709e-2,7.110965e-2,0,0
25502,177510.00,0.091602,1.829493e-4,-1.829493e-4,7.095312e-2,7.048990e-2,0,0
25503,177515.00,0.092099,1.839388e-4,-1.839388e-4,7.593751e-2,7.160413e-2,0,0
25504,177520.00,0.092595,1.849264e-4,-1.849264e-4,7.903609e-2,7.792559e-2,0,0
25505,177525.00,0.093092,1.859158e-4,-1.859158e-4,8.802232e-2,6.239042e-2,0,0
25506,177530.00,0.093588,1.869033e-4,-1.869033e-4,8.908758e-2,6.753506e-2,0,0
25507,177535.00,0.094085,1.878927e-4,-1.878927e-4,9.478419e-2,6.762726e-2,0,0
25508,177540.00,0.094581,1.888801e-4,-1.888801e-4,8.289589e-2,6.717330e-2,0,0
25509,177545.00,0.095078,1.898694e-4,-1.898694e-4,7.836467e-2,6.384651e-2,0,0
25510,177550.00,0.095573,1.908567e-4,-1.908567e-4,7.533120e-2,6.375928e-2,0,0
25511,177555.00,0.096069,1.918440e-4,-1.918440e-4,7.963607e-2,5.414636e-2,0,0
