# v_dc=-4.494976e-2  i_dc=-1.845323e-5  freq=2.154e-3
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
2.3000e2,-8.694781e-2,-2.814390e-3,-4.199805e-2,-2.795936e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
2.3500e2,-1.030248e-1,3.952579e-3,-5.807507e-2,3.971032e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
2.4000e2,-8.339642e-2,1.070142e-2,-3.844666e-2,1.071988e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.4500e2,-8.325896e-2,1.740129e-2,-3.830920e-2,1.741974e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.5000e2,-7.971836e-2,2.402144e-2,-3.476860e-2,2.403989e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.5500e2,-6.882386e-2,3.053161e-2,-2.387410e-2,3.055007e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.6000e2,-6.998600e-2,3.690195e-2,-2.503624e-2,3.692040e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.6500e2,-7.917531e-2,4.310333e-2,-3.422555e-2,4.312178e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.7000e2,-7.718037e-2,4.910732e-2,-3.223061e-2,4.912577e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.7500e2,-8.039244e-2,5.488641e-2,-3.544268e-2,5.490486e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.8000e2,-8.276170e-2,6.041418e-2,-3.781195e-2,6.043263e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.8500e2,-8.478589e-2,6.566527e-2,-3.983613e-2,6.568372e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
2.9000e2,-7.580154e-2,7.061568e-2,-3.085178e-2,7.063413e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.9500e2,-7.969671e-2,7.524270e-2,-3.474696e-2,7.526115e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.0000e2,-7.669992e-2,7.952517e-2,-3.175016e-2,7.954362e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.0500e2,-6.767195e-2,8.344347e-2,-2.272219e-2,8.346192e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.1000e2,-7.101507e-2,8.697966e-2,-2.606532e-2,8.699811e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.1500e2,-6.296875e-2,9.011754e-2,-1.801899e-2,9.013599e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.2000e2,-6.201646e-2,9.284274e-2,-1.706670e-2,9.286120e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.2500e2,-5.899020e-2,9.514277e-2,-1.404044e-2,9.516123e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.3000e2,-5.458931e-2,9.700713e-2,-9.639553e-3,9.702558e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.3500e2,-5.662353e-2,9.842726e-2,-1.167377e-2,9.844571e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.4000e2,-5.298419e-2,9.939665e-2,-8.034433e-3,9.941511e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.4500e2,-5.378843e-2,9.991088e-2,-8.838675e-3,9.992933e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.5000e2,-6.069193e-2,9.996759e-2,-1.574217e-2,9.998604e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.5500e2,-5.658437e-2,9.956651e-2,-1.163461e-2,9.958497e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.6000e2,-5.827241e-2,9.870948e-2,-1.332265e-2,9.872793e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.6500e2,-4.101405e-2,9.740044e-2,3.935707e-3,9.741889e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.7000e2,-3.488318e-2,9.564536e-2,1.006658e-2,9.566381e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.7500e2,-4.505075e-2,9.345230e-2,-1.009917e-4,9.347075e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.8000e2,-4.156485e-2,9.083127e-2,3.384908e-3,9.084973e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.8500e2,-3.807825e-2,8.779430e-2,6.871507e-3,8.781276e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
3.9000e2,-3.339538e-2,8.435532e-2,1.155438e-2,8.437378e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.9500e2,-3.573000e-2,8.053003e-2,9.219755e-3,8.054849e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
4.0000e2,-2.379448e-2,7.633597e-2,2.115528e-2,7.635442e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.0500e2,-1.685460e-2,7.179233e-2,2.809516e-2,7.181078e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.1000e2,-2.708506e-2,6.691997e-2,1.786470e-2,6.693843e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
4.1500e2,-3.037766e-2,6.174112e-2,1.457210e-2,6.175958e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.2000e2,-2.169083e-2,5.627955e-2,2.325893e-2,5.629800e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.2500e2,-1.993499e-2,5.056025e-2,2.501477e-2,5.057870e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
4.3000e2,-2.610420e-2,4.460942e-2,1.884556e-2,4.462787e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.3500e2,-1.614549e-2,3.845435e-2,2.880427e-2,3.847280e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.4000e2,-1.673325e-2,3.212314e-2,2.821651e-2,3.214160e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.4500e2,-8.001030e-3,2.564483e-2,3.694873e-2,2.566329e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.5000e2,-2.450900e-2,1.904909e-2,2.044076e-2,1.906754e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.5500e2,-1.555229e-2,1.236616e-2,2.939747e-2,1.238461e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.6000e2,-2.105833e-2,5.626549e-3,2.389143e-2,5.645002e-3,2.000000e-1,2.005376e-1,-3.611102e-4,0
4.6500e2,-2.302768e-2,-1.138823e-3,2.192208e-2,-1.120370e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
4.7000e2,-1.542016e-2,-7.898981e-3,2.952959e-2,-7.880528e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
4.7500e2,-1.069959e-2,-1.462292e-2,3.425017e-2,-1.460447e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.8000e2,-1.833333e-2,-2.127994e-2,2.661643e-2,-2.126149e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.8500e2,-1.156787e-2,-2.783952e-2,3.338189e-2,-2.782106e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.9000e2,-4.855927e-3,-3.427160e-2,4.009383e-2,-3.425315e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.9500e2,-3.401056e-3,-4.054675e-2,4.154870e-2,-4.052830e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
