pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-6.662324e-3,-6.714663e-3,-8.032399e-2,-6.763530e-2,1.000000e-2,-5.233893e-3
1,-6.763530e-2,-7.106592e-2,-1.377926e-1,-1.493947e-1,1.000000e-2,-3.430620e-1
2,-1.493947e-1,-1.406473e-1,-2.374773e-1,-2.456391e-1,1.000000e-2,8.747458e-1
3,-2.456391e-1,-2.490774e-1,-3.321668e-1,-3.193344e-1,1.000000e-2,-3.438294e-1
4,-3.193344e-1,-3.179898e-1,-4.217641e-1,-4.107500e-1,1.000000e-2,1.344651e-1
