frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
6073,30365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.051977,0.997508,1.000566,0.906875,1.054885,20,2,1,-41,21,1540,1375,1537,1370,1592
6273,31365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.006601,1.000000,1.022605,0.884779,1.006550,-92,2,41,-40,-93,1588,1434,1628,1419,1602
6473,32365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001103,0.998780,1.041621,0.869753,1.002814,-12,1,42,-40,-12,1583,1410,1596,1390,1547
6673,33365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998886,0.998744,1.059877,0.857421,0.994246,-1,-1,42,-40,0,1565,1362,1557,1313,1508
6873,34365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.001217,1.082424,0.836735,0.998332,0,2,47,-40,0,1601,1414,1602,1338,1569
7073,35365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.000594,1.001529,1.087855,0.842748,1.000637,1,-4,43,-35,3,1453,1078,1318,1080,1340
7273,36365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.010489,0.977566,1.007317,0.985866,1.010053,20,-40,-176,251,20,1486,1241,1410,1185,1461
7473,37365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.022419,0.959569,1.002957,0.997984,1.013797,21,-40,-22,27,20,1465,1254,1461,1258,1437
7673,38365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.032240,0.942663,1.000000,0.998748,1.031956,21,-39,-4,11,21,1569,1392,1609,1367,1585
7873,39365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.040556,0.928073,1.000569,0.998695,1.036364,22,-41,-2,2,21,1496,1202,1529,1303,1475
8073,40365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.051856,0.910625,1.000553,1.000680,1.048599,20,-40,1,0,18,1602,1370,1577,1240,1519
8273,41365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001805,0.892784,1.016374,0.997588,1.001945,-88,-40,41,3,-80,1432,1225,1419,1014,1312
8473,42365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999405,0.879914,1.035542,0.997804,0.996506,-5,-39,43,0,-13,1451,1169,1430,1136,1487
8673,43365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000602,0.866097,1.067255,0.998739,0.994746,1,-41,47,-1,0,1430,1174,1584,1356,1483
8873,44365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998907,0.843811,1.089022,0.999369,0.996558,1,-40,42,4,-1,1600,1313,1601,1354,1513
9073,45365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.998830,0.833684,1.095101,0.996385,0.993641,1,-35,42,1,1,1479,1195,1505,1153,1028
9273,46365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.007680,0.986799,1.010846,0.976904,1.010893,20,248,-190,-40,20,1593,1285,1614,1372,1606
9473,47365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.011922,0.994898,0.997022,0.966055,1.015674,20,32,-22,-40,20,1112,750,1113,860,1046
9673,48365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.028276,1.000000,1.000000,0.937262,1.032913,21,7,1,-40,20,1609,1323,1619,1348,1593
9873,49365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.033470,1.000708,0.996968,0.927785,1.031487,22,1,0,-40,21,1234,1182,1419,1224,1485
10073,50365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.046027,1.001289,0.998912,0.905746,1.044272,19,-1,1,-39,18,1595,1322,1609,1319,1577
10273,51365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.003940,0.999233,1.010284,0.893365,1.005895,-81,1,43,-40,-77,1293,1074,1423,1036,1127
10473,52365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.995906,0.997157,1.039379,0.873472,0.998797,-8,2,46,-40,-7,1480,1177,1446,1161,1433
10673,53365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.993950,0.993939,1.045790,0.848987,0.995049,-1,-1,41,-40,0,927,595,1124,856,982
10873,54365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998460,0.998983,1.065855,0.834325,0.995495,-1,2,40,-40,-4,1069,753,1167,778,880
11073,55365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.001086,0.998712,1.104324,0.814343,0.998904,1,-2,39,-35,1,1612,1323,1620,1262,1595
11273,56365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.012486,0.974310,1.010747,0.989953,1.008215,21,-40,-175,264,22,1612,1327,1631,1263,1596
11473,57365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.015340,0.957412,0.996127,1.000000,1.018154,21,-40,-20,24,19,1139,991,1319,954,1092
11673,58365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.030000,0.940120,1.000000,1.000000,1.029902,21,-40,-2,4,20,1570,1273,1602,1210,1509
11873,59365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.038038,0.925333,1.000538,0.998652,1.039801,20,-40,1,0,21,1584,1270,1630,1254,1579
12073,60365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.024000,0.917637,0.998573,1.003386,1.033622,21,-39,1,9,18,770,887,1172,656,811
12273,61365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.002203,0.883423,1.020120,0.999337,1.003309,-81,-41,41,-1,-81,1586,1254,1609,1279,1583
12473,62365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.995620,0.872807,1.037015,0.999192,1.000000,-4,-40,46,-1,-8,1140,910,1445,1007,1323
12673,63365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.997785,0.848758,1.060034,1.000000,0.999394,8,-40,42,0,0,1576,1099,1519,1220,1420
12873,64365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.991638,0.827376,1.075810,0.998436,1.000627,5,-40,44,3,-1,1205,1085,1498,1049,1365
13073,65365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.997685,0.815868,1.097589,1.000000,0.998735,2,-35,46,0,1,1498,1106,1512,1067,1351
13273,66365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.008825,0.986760,1.010971,0.973389,1.004135,21,262,-196,-41,20,1583,1205,1593,1198,1221
13473,67365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.018549,0.996549,1.000536,0.950667,1.020647,20,30,-21,-40,20,1603,1219,1636,1270,1562
13673,68365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.027518,0.999306,1.000000,0.929607,1.030370,20,5,-1,-40,25,1587,1211,1613,1219,1581
13873,69365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.039739,0.996449,0.999454,0.907921,1.041597,22,2,0,-40,22,1607,1178,1601,1247,1573
14073,70365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.044429,1.006512,0.997095,0.908238,1.042720,19,6,3,-40,20,1188,845,1147,729,917
