phase,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
pre_rest,10700.0,-0.009434,0.000000,0,0
pre_rest,10800.0,-0.009434,0.000000,0,0
pre_rest,10900.0,-0.012678,0.000000,0,0
pre_rest,11000.0,-0.012903,0.000000,0,0
pre_rest,11100.0,-0.009740,0.000000,0,0
pre_rest,11200.0,-0.009434,0.000000,0,0
pre_rest,11300.0,-0.009259,0.000000,0,0
pre_rest,11400.0,-0.012346,0.000000,0,0
pre_rest,11500.0,-0.012346,0.000000,0,0
pre_rest,11600.0,-0.009346,0.000000,0,0
pre_rest,11700.0,-0.009259,0.000000,0,0
pre_rest,11800.0,-0.009288,0.000000,0,0
pre_rest,11900.0,-0.009302,0.000000,0,0
pre_rest,12000.0,-0.012346,0.000000,0,0
pre_rest,12100.0,-0.012346,0.000000,0,0
pre_rest,12200.0,-0.012346,0.000000,0,0
pre_rest,12300.0,-0.012820,0.000000,0,0
pre_rest,12400.0,-0.009950,0.000000,0,0
pre_rest,12500.0,-0.025751,0.000000,0,0
pre_rest,12600.0,-0.006270,0.000000,0,0
pre_rest,12700.0,-0.009662,0.000000,0,0
pre_rest,12800.0,-0.012539,0.000000,0,0
pre_rest,12900.0,-0.012841,0.000000,0,0
pre_rest,13000.0,-0.012539,0.000000,0,0
pre_rest,13100.0,-0.006279,0.000000,0,0
pre_rest,13200.0,-0.009231,0.000000,0,0
pre_rest,13300.0,-0.009231,0.000000,0,0
pre_rest,13400.0,-0.009404,0.000000,0,0
pre_rest,13500.0,-0.012308,0.000000,0,0
pre_rest,13600.0,-0.012539,0.000000,0,0
pre_rest,13700.0,-0.012308,0.000000,0,0
pre_rest,13800.0,-0.012308,0.000000,0,0
pre_rest,13900.0,-0.012308,0.000000,0,0
pre_rest,14000.0,-0.013841,0.000000,0,0
pre_rest,14100.0,-0.012327,0.000000,0,0
pre_rest,14200.0,-0.025723,0.000000,0,0
pre_rest,14300.0,-0.009539,0.000000,0,0
pre_rest,14400.0,-0.012719,0.000000,0,0
pre_rest,14500.0,-0.025751,0.000000,0,0
pre_rest,14600.0,-0.009259,0.000000,0,0
pre_rest,14700.0,-0.012559,0.000000,0,0
pre_rest,14800.0,-0.012289,0.000000,0,0
pre_rest,14900.0,-0.012289,0.000000,0,0
pre_rest,15000.0,-0.009217,0.000000,0,0
pre_rest,15100.0,-0.009217,-0.003017,0,0
pre_rest,15200.0,-0.012289,-0.003067,0,0
pre_rest,15300.0,-0.012520,0.000000,0,0
pre_rest,15400.0,-0.009217,0.000000,0,0
pre_rest,15500.0,-0.012289,-0.003030,0,0
pre_rest,15600.0,-0.012289,0.000000,0,0
pre_rest,15700.0,-0.013029,0.000000,0,0
pre_rest,15800.0,-0.012308,0.000000,0,0
pre_rest,15900.0,-0.012520,-0.003039,0,0
pre_rest,16000.0,-0.009288,-0.003021,0,0
pre_rest,16100.0,-0.012308,-0.003030,0,0
pre_rest,16200.0,-0.012289,-0.003026,0,0
pre_rest,16300.0,-0.012500,0.000000,0,0
pre_rest,16400.0,-0.012759,0.000000,0,0
pre_rest,16500.0,-0.014151,0.000000,0,0
pre_rest,16600.0,-0.009585,0.000000,0,0
pre_rest,16700.0,-0.012289,0.000000,0,0
pre_rest,16800.0,-0.009217,-0.003039,0,0
pre_rest,16900.0,-0.012289,-0.003039,0,0
pre_rest,17000.0,-0.012289,-0.003017,0,0
pre_rest,17100.0,-0.012289,-0.003063,0,0
pre_rest,17200.0,-0.012289,-0.003030,0,0
pre_rest,17300.0,-0.006260,-0.003049,0,0
pre_rest,17400.0,-0.012559,0.000000,0,0
pre_rest,17500.0,-0.012327,0.000000,0,0
pre_rest,17600.0,-0.012327,0.000000,0,0
pre_rest,17700.0,-0.012327,0.000000,0,0
pre_rest,17800.0,-0.012678,0.000000,0,0
pre_rest,17900.0,-0.012539,0.000000,0,0
pre_rest,18000.0,-0.010101,0.000000,0,0
pre_rest,18100.0,-0.009231,0.000000,0,0
pre_rest,18200.0,-0.009160,-0.003140,0,0
pre_rest,18300.0,-0.012384,-0.003058,0,0
pre_rest,18400.0,-0.012346,-0.003053,0,0
pre_rest,18500.0,-0.012346,0.000000,0,0
pre_rest,18600.0,-0.009288,-0.002994,0,0
pre_rest,18700.0,-0.009390,0.000000,0,0
pre_rest,18800.0,-0.009569,-0.003150,0,0
pre_rest,18900.0,-0.009231,-0.003049,0,0
pre_rest,19000.0,-0.009231,-0.003058,0,0
pre_rest,19100.0,-0.009231,-0.003049,0,0
pre_rest,19200.0,-0.012308,0.000000,0,0
pre_rest,19300.0,-0.012520,0.000000,0,0
pre_rest,19400.0,-0.012308,0.000000,0,0
pre_rest,19500.0,-0.012924,0.000000,0,0
pre_rest,19600.0,-0.012759,0.000000,0,0
pre_rest,19700.0,-0.009259,0.000000,0,0
pre_rest,19800.0,-0.012346,0.000000,0,0
pre_rest,19900.0,-0.012308,-0.003049,0,0
pre_rest,20000.0,-0.012308,0.000000,0,0
pulse,20100.0,0.018461,-0.015221,10,-5
pulse,20200.0,0.034335,-0.017422,17,-8
pulse,20300.0,0.027692,-0.015361,14,-10
pulse,20400.0,0.009231,-0.015898,9,-12
pulse,20500.0,0.009245,-0.015528,10,-14
pulse,20600.0,0.015674,-0.027149,13,-13
pulse,20700.0,0.024615,-0.033133,15,-13
pulse,20800.0,0.024615,-0.018265,16,-9
