pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-4.445943e-3,-4.421729e-3,-4.307976e-1,-3.820270e-1,1.000000e-2,2.421392e-3
1,-3.820270e-1,-3.803891e-1,-8.645760e-1,-6.736402e-1,1.000000e-2,1.637906e-1
2,-6.736402e-1,-6.768229e-1,-1.099731e0,-8.227453e-1,1.000000e-2,-3.182709e-1
