target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.011940,-0.009119,0.001411,0.157987,-0.125522,4,-3
1.005,200.0,0.011887,-0.014970,-0.001541,-0.011776,-0.035930,2,-1
1.005,300.0,0.003035,-0.012820,-0.004893,0.072780,0.024041,-1,1
1.005,400.0,0.008457,-0.008942,-0.000243,0.092304,-0.007569,2,1
1.005,500.0,0.008989,-0.009390,-0.000200,0.114787,-0.109843,0,0
1.005,600.0,0.017582,-0.009146,0.004218,-0.019533,-0.103136,2,0
1.005,700.0,0.009160,-0.012140,-0.001490,-0.053262,-0.031189,-1,-2
1.005,800.0,0.008876,-0.014970,-0.003047,-0.030779,0.031918,-1,0
1.005,900.0,0.009259,-0.008889,0.000185,0.003355,-0.025918,-1,1
1.005,1000.0,0.012461,-0.006339,0.003061,-0.051697,-0.072104,1,0
1.005,1100.0,0.018518,-0.012012,0.003253,-0.118585,-0.026294,0,-2
1.005,1200.0,0.003072,-0.017964,-0.007446,0.051368,0.108188,-3,0
1.005,1300.0,0.006211,-0.006590,-0.000189,0.138912,0.056715,2,1
1.005,1400.0,0.012084,-0.012121,-0.000018,0.075595,0.076155,2,0
1.005,1500.0,0.015129,-0.008996,0.003067,0.009428,0.030351,1,1
1.005,1600.0,0.012066,-0.009274,0.001396,-0.044765,0.008128,0,0
1.005,1700.0,0.006033,-0.009063,-0.001515,-0.042697,-0.010977,-1,0
1.005,1800.0,0.009050,-0.012214,-0.001582,0.024361,0.020135,0,-1
1.005,1900.0,0.009174,-0.010033,-0.000430,0.047107,0.057173,0,1
1.005,2000.0,0.009036,-0.008889,0.000074,-0.012861,0.005320,1,0
1.005,2100.0,0.009077,-0.008996,0.000041,0.039818,-0.016903,0,0
1.005,2200.0,0.012030,-0.008996,0.001517,-0.005018,0.029024,1,-1
1.005,2300.0,0.012103,-0.011994,0.000054,-0.041005,0.054263,0,0
1.005,2400.0,0.009077,-0.011994,-0.001458,-0.035696,0.091302,-1,0
1.005,2500.0,0.009077,-0.009317,-0.000120,-0.012688,0.122440,0,0
1.005,2600.0,0.009022,-0.003333,0.002845,0.010319,-0.024035,0,1
1.005,2700.0,0.009077,-0.006390,0.001344,0.033326,-0.049074,0,0
1.005,2800.0,0.008969,-0.012327,-0.001679,0.056334,0.014605,0,-1
1.005,2900.0,0.012327,-0.009852,0.001237,0.029196,0.001337,1,1
1.005,3000.0,0.007605,-0.009885,-0.001140,-0.006791,-0.020886,0,0
1.005,3100.0,0.008982,-0.009050,-0.000034,0.004418,-0.043109,-1,0
1.005,3200.0,0.009091,-0.012121,-0.001515,0.027425,-0.014960,0,-1
1.005,3300.0,0.009036,-0.006579,0.001229,0.050432,-0.022169,0,0
1.005,3400.0,0.012012,-0.012800,-0.000394,0.008546,0.029864,1,0
1.005,3500.0,0.011905,-0.009009,0.001448,-0.027441,0.001715,0,1
1.005,3600.0,0.011976,-0.006006,0.002985,-0.063428,-0.026416,0,0
1.005,3700.0,0.009554,-0.009077,0.000238,-0.022722,-0.048639,-1,0
1.005,3800.0,0.008876,-0.012759,-0.001942,0.020935,-0.002659,1,-1
1.005,3900.0,0.012719,-0.013136,-0.000209,-0.026851,0.028865,1,-1
1.005,4000.0,0.011940,-0.012103,-0.000081,-0.062838,0.128108,0,0
1.005,4100.0,0.009317,-0.003490,0.002913,-0.042780,0.014033,-1,3
1.005,4200.0,0.005944,-0.009009,-0.001533,0.039227,-0.028931,-1,-1
1.005,4300.0,0.008915,-0.008996,-0.000040,0.079932,-0.057062,2,0
1.005,4400.0,0.011958,-0.011869,0.000044,0.026247,-0.005208,1,-1
1.005,4500.0,0.009119,-0.011852,-0.001367,0.040406,0.031830,0,0
1.005,4600.0,0.011923,-0.008889,0.001517,0.016217,0.003681,1,1
1.005,4700.0,0.009036,-0.008889,0.000074,0.036275,-0.018542,0,0
1.005,4800.0,0.009036,-0.011852,-0.001408,0.059283,0.015533,0,-1
1.005,4900.0,0.012048,-0.012048,0.000000,0.014446,0.031923,1,0
1.005,5000.0,0.011994,-0.008982,0.001506,-0.021540,0.000811,0,1
1.005,5100.0,0.012289,-0.009231,0.001529,-0.057527,-0.059816,0,0
1.005,5200.0,0.009231,-0.005988,0.001621,-0.007972,-0.085052,-1,0
1.005,5300.0,0.009105,-0.011869,-0.001382,0.015035,-0.020977,0,-2
1.005,5400.0,0.009202,-0.018462,-0.004630,0.038042,0.158318,0,-1
1.005,5500.0,0.009036,-0.008996,0.000020,0.061050,0.151020,0,3
1.005,5600.0,0.012289,-0.006173,0.003058,0.022113,0.066593,1,1
1.005,5700.0,0.008955,-0.005961,0.001497,0.018632,-0.020747,-1,0
1.005,5800.0,0.008969,-0.008889,0.000040,0.009134,-0.054881,0,-1
1.005,5900.0,0.009050,-0.008889,0.000081,-0.006205,-0.077104,1,0
1.005,6000.0,0.011958,-0.014815,-0.001428,-0.000896,0.057713,1,-2
1.005,6100.0,0.012066,-0.015267,-0.001600,-0.036883,0.154010,0,0
1.005,6200.0,0.008955,-0.002998,0.002978,-0.037473,-0.007446,-1,4
