pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-1.506614e-3,-1.516148e-3,-3.608384e-1,-3.298361e-1,4.000000e-2,-2.383400e-4
1,-3.298361e-1,-3.190813e-1,-7.119114e-1,-6.765021e-1,4.000000e-2,2.688713e-1
2,-6.765021e-1,-6.707343e-1,-1.080357e0,-1.002918e0,4.000000e-2,1.441956e-1
3,-1.002918e0,-1.014837e0,-1.440214e0,-1.322644e0,4.000000e-2,-2.979696e-1
4,-1.322644e0,-1.337489e0,-1.749441e0,-1.640160e0,4.000000e-2,-3.711164e-1
