target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,7700.0,0.008876,-0.011905,-0.001514,-0.010743,-0.052072,0,-1
1.005,7800.0,0.009346,-0.012270,-0.001462,0.012002,0.035762,0,-1
1.005,7900.0,0.012232,-0.009346,0.001443,-0.012517,-0.001033,1,2
1.005,8000.0,0.006116,-0.011922,-0.002903,0.004320,0.021519,-1,-1
1.005,8100.0,0.009245,-0.012346,-0.001550,0.027065,0.058908,0,0
1.005,8200.0,0.009331,-0.005961,0.001685,0.049810,-0.028332,0,2
1.005,8300.0,0.009188,-0.006079,0.001555,0.072556,-0.044356,0,-1
1.005,8400.0,0.012384,-0.012030,0.000177,-0.019908,0.007918,1,-1
1.005,8500.0,0.009091,-0.011905,-0.001407,-0.006025,0.045307,-1,0
1.005,8600.0,0.009174,-0.008955,0.000110,0.016720,-0.000390,0,1
1.005,8700.0,0.009091,-0.008929,0.000081,0.024695,-0.022349,0,0
1.005,8800.0,0.009160,-0.009202,-0.000021,0.047441,-0.044307,0,0
1.005,8900.0,0.009160,-0.008929,0.000116,0.019668,-0.066265,0,0
1.005,9000.0,0.009160,-0.014970,-0.002905,0.072129,0.036405,0,-2
1.005,9100.0,0.015432,-0.014881,0.000276,0.006251,0.133141,2,0
1.005,9200.0,0.012195,-0.005961,0.003117,-0.041901,0.028304,-1,2
1.005,9300.0,0.003190,-0.003419,-0.000115,0.063561,-0.038032,-2,0
1.005,9400.0,0.006107,-0.009245,-0.001569,0.139457,-0.021262,0,-1
1.005,9500.0,0.014815,-0.012308,0.001254,0.046898,0.030956,3,0
1.005,9600.0,0.012442,-0.012759,-0.000159,-0.048522,0.035876,0,0
1.005,9700.0,0.009245,-0.008969,0.000138,-0.016913,-0.006854,-2,1
1.005,9800.0,0.009231,-0.012820,-0.001795,0.005832,0.030553,0,-1
1.005,9900.0,0.009259,-0.009677,-0.000209,0.028577,0.014529,0,1
1.005,10000.0,0.012579,-0.011958,0.000310,0.004058,0.054885,1,0
1.005,10100.0,0.009302,-0.008955,0.000174,-0.032277,0.021057,-1,1
1.005,10200.0,0.009174,-0.008902,0.000136,0.020009,-0.015694,0,0
1.005,10300.0,0.009288,-0.008982,0.000153,0.042754,-0.037652,0,0
