# v_dc=-3.060169e-3  i_dc=-2.557136e-8  freq=5.000e-2
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
5.0000e0,-3.281382e-3,-1.000000e-1,-2.212130e-4,-9.999998e-2,0.000000e0,0.000000e0,0.000000e0,0
1.0000e1,-3.518050e-3,-1.509958e-8,-4.578814e-4,1.047178e-8,0.000000e0,0.000000e0,0.000000e0,0
1.5000e1,-3.428094e-3,1.000000e-1,-3.679254e-4,1.000000e-1,0.000000e0,0.000000e0,0.000000e0,0
2.0000e1,-3.355692e-3,3.019916e-8,-2.955237e-4,5.577052e-8,0.000000e0,0.000000e0,0.000000e0,0
2.5000e1,-3.284947e-3,-1.000000e-1,-2.247779e-4,-9.999998e-2,0.000000e0,0.000000e0,0.000000e0,0
3.0000e1,-3.223431e-3,-9.298246e-8,-1.632621e-4,-6.741110e-8,0.000000e0,0.000000e0,0.000000e0,0
3.5000e1,-3.151100e-3,1.000000e-1,-9.093097e-5,1.000000e-1,0.000000e0,0.000000e0,0.000000e0,0
4.0000e1,-3.052535e-3,6.039832e-8,7.633695e-6,8.596968e-8,0.000000e0,0.000000e0,0.000000e0,0
4.5000e1,-3.038322e-3,-1.000000e-1,2.184661e-5,-9.999998e-2,0.000000e0,0.000000e0,0.000000e0,0
5.0000e1,-3.063687e-3,-1.231816e-7,-3.517961e-6,-9.761025e-8,0.000000e0,0.000000e0,0.000000e0,0
5.5000e1,-3.058789e-3,1.000000e-1,1.379864e-6,1.000000e-1,0.000000e0,0.000000e0,0.000000e0,0
6.0000e1,-3.067732e-3,1.859649e-7,-7.563161e-6,2.115363e-7,0.000000e0,0.000000e0,0.000000e0,0
6.5000e1,-3.057881e-3,-1.000000e-1,2.288136e-6,-9.999998e-2,0.000000e0,0.000000e0,0.000000e0,0
7.0000e1,-3.057788e-3,-5.801334e-8,2.381036e-6,-3.244198e-8,0.000000e0,0.000000e0,0.000000e0,0
7.5000e1,-3.068651e-3,1.000000e-1,-8.481911e-6,1.000000e-1,0.000000e0,0.000000e0,0.000000e0,0
8.0000e1,-3.050157e-3,1.207966e-7,1.001159e-5,1.463680e-7,0.000000e0,0.000000e0,0.000000e0,0
8.5000e1,-3.058521e-3,-1.000000e-1,1.647619e-6,-9.999998e-2,0.000000e0,0.000000e0,0.000000e0,0
9.0000e1,-3.053115e-3,-1.835799e-7,7.053947e-6,-1.580086e-7,0.000000e0,0.000000e0,0.000000e0,1
9.5000e1,-3.041209e-3,1.000000e-1,1.895974e-5,1.000000e-1,0.000000e0,0.000000e0,-9.178997e-4,1
1.0000e2,-3.053954e-3,2.463632e-7,6.214359e-6,2.719346e-7,0.000000e0,0.000000e0,4.999991e2,1
1.0500e2,-3.044527e-3,-1.000000e-1,1.564167e-5,-9.999998e-2,0.000000e0,0.000000e0,5.000003e2,1
1.1000e2,-3.038193e-3,-1.184117e-7,2.197606e-5,-9.284030e-8,0.000000e0,0.000000e0,3.139164e-4,1
1.1500e2,-3.040831e-3,1.000000e-1,1.933809e-5,1.000000e-1,0.000000e0,0.000000e0,-2.781420e-4,1
1.2000e2,-3.047249e-3,3.719298e-7,1.291988e-5,3.975012e-7,0.000000e0,0.000000e0,4.999997e2,1
1.2500e2,-3.044445e-3,-1.000000e-1,1.572386e-5,-9.999998e-2,0.000000e0,0.000000e0,5.000016e2,1
1.3000e2,-3.047352e-3,-2.439783e-7,1.281651e-5,-2.184069e-7,0.000000e0,0.000000e0,1.581507e-3,1
1.3500e2,-3.059097e-3,1.000000e-1,1.072062e-6,1.000000e-1,0.000000e0,0.000000e0,3.616159e-4,1
1.4000e2,-3.060068e-3,1.160267e-7,1.011581e-7,1.415980e-7,0.000000e0,0.000000e0,5.000004e2,1
1.4500e2,-3.054041e-3,-1.000000e-1,6.127746e-6,-9.999998e-2,0.000000e0,0.000000e0,5.000009e2,1
1.5000e2,-3.040539e-3,-3.695448e-7,1.963006e-5,-3.439735e-7,0.000000e0,0.000000e0,9.417494e-4,1
1.5500e2,-3.063797e-3,1.000000e-1,-3.627858e-6,1.000000e-1,0.000000e0,0.000000e0,-9.059748e-4,1
1.6000e2,-3.057600e-3,2.415933e-7,2.568232e-6,2.671646e-7,0.000000e0,0.000000e0,4.999991e2,1
1.6500e2,-3.137041e-3,-1.000000e-1,-7.687195e-5,-9.999998e-2,0.000000e0,0.000000e0,5.000003e2,1
1.7000e2,-3.139812e-3,-4.951115e-7,-7.964357e-5,-4.695401e-7,0.000000e0,0.000000e0,3.019916e-4,1
