phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.122333,-0.119149,0,0
rest,1,200.0,-0.122682,-0.118343,0,0
rest,1,300.0,-0.117647,-0.113475,0,0
rest,1,400.0,-0.109827,-0.108417,0,0
rest,1,500.0,-0.113043,-0.113960,0,0
rest,1,600.0,-0.119359,-0.119658,0,0
rest,1,700.0,-0.118497,-0.109668,0,0
rest,1,800.0,-0.119658,-0.108727,0,0
rest,1,900.0,-0.115727,-0.118980,0,0
rest,1,1000.0,-0.111929,-0.108571,0,0
rest,1,1100.0,-0.117478,-0.103004,0,0
rest,1,1200.0,-0.115774,-0.103004,0,0
rest,1,1300.0,-0.114286,-0.097561,0,0
rest,1,1400.0,-0.117130,-0.105105,0,0
rest,1,1500.0,-0.115044,-0.104046,0,0
rest,1,1600.0,-0.120235,-0.103152,0,0
rest,1,1700.0,-0.117293,-0.100286,0,0
rest,1,1800.0,-0.117302,-0.107246,0,0
rest,1,1900.0,-0.110626,-0.112260,0,0
rest,1,2000.0,-0.119013,-0.105263,0,0
rest,1,2100.0,-0.111782,-0.109145,0,0
rest,1,2200.0,-0.115942,-0.106475,0,0
rest,1,2300.0,-0.118871,-0.102857,0,0
rest,1,2400.0,-0.115774,-0.097421,0,0
rest,1,2500.0,-0.116448,-0.108262,0,0
rest,1,2600.0,-0.116618,-0.105413,0,0
rest,1,2700.0,-0.105109,-0.108417,0,0
rest,1,2800.0,-0.107872,-0.097842,0,0
rest,1,2900.0,-0.107872,-0.102710,0,0
rest,1,3000.0,-0.116279,-0.099857,0,0
rest,1,3100.0,-0.116279,-0.101010,0,0
rest,1,3200.0,-0.110945,-0.101010,0,0
rest,1,3300.0,-0.102639,-0.106475,0,0
rest,1,3400.0,-0.114035,-0.105114,0,0
rest,1,3500.0,-0.111437,-0.097004,0,0
rest,1,3600.0,-0.108346,-0.099715,0,0
rest,1,3700.0,-0.114537,-0.103746,0,0
rest,1,3800.0,-0.102639,-0.100295,0,0
rest,1,3900.0,-0.105727,-0.101303,0,0
rest,1,4000.0,-0.114035,-0.100286,0,0
rest,1,4100.0,-0.105417,-0.103004,0,0
rest,1,4200.0,-0.098981,-0.097701,0,0
rest,1,4300.0,-0.102489,-0.097561,0,0
rest,1,4400.0,-0.115502,-0.091603,0,0
rest,1,4500.0,-0.112230,-0.094556,0,0
rest,1,4600.0,-0.105109,-0.100575,0,0
rest,1,4700.0,-0.109468,-0.098266,0,0
rest,1,4800.0,-0.111782,-0.092219,0,0
rest,1,4900.0,-0.102190,-0.098551,0,0
rest,1,5000.0,-0.097710,-0.098918,0,0
rest,1,5100.0,-0.093656,-0.095238,0,0
rest,1,5200.0,-0.100430,-0.104322,0,0
rest,1,5300.0,-0.101010,-0.097489,0,0
rest,1,5400.0,-0.102102,-0.095238,0,0
rest,1,5500.0,-0.111782,-0.107023,0,0
rest,1,5600.0,-0.108271,-0.109635,0,0
rest,1,5700.0,-0.102410,-0.098246,0,0
rest,1,5800.0,-0.098551,-0.097202,0,0
rest,1,5900.0,-0.101596,-0.103245,0,0
rest,1,6000.0,-0.104651,-0.103858,0,0
rest,1,6100.0,-0.095791,-0.111486,0,0
rest,1,6200.0,-0.104046,-0.097778,0,0
rest,1,6300.0,-0.103597,-0.094340,0,0
rest,1,6400.0,-0.107692,-0.094955,0,0
rest,1,6500.0,-0.105426,-0.093656,0,0
rest,1,6600.0,-0.097923,-0.103550,0,0
rest,1,6700.0,-0.100890,-0.094955,0,0
rest,1,6800.0,-0.098068,-0.101587,0,0
rest,1,6900.0,-0.098655,-0.095532,0,0
rest,1,7000.0,-0.092399,-0.095092,0,0
rest,1,7100.0,-0.103550,-0.083832,0,0
rest,1,7200.0,-0.103704,-0.094946,0,0
rest,1,7300.0,-0.107858,-0.095679,0,0
rest,1,7400.0,-0.103245,-0.091852,0,0
rest,1,7500.0,-0.100592,-0.092262,0,0
rest,1,7600.0,-0.096386,-0.109735,0,0
rest,1,7700.0,-0.093295,-0.091311,0,0
rest,1,7800.0,-0.092619,-0.090379,0,0
rest,1,7900.0,-0.098266,-0.090248,0,0
rest,1,8000.0,-0.099270,-0.094828,0,0
rest,1,8100.0,-0.097983,-0.089080,0,0
rest,1,8200.0,-0.095238,-0.094225,0,0
rest,1,8300.0,-0.098837,-0.097331,0,0
rest,1,8400.0,-0.093567,-0.094044,0,0
rest,1,8500.0,-0.098655,-0.090772,0,0
rest,1,8600.0,-0.106918,-0.102293,0,0
rest,1,8700.0,-0.096491,-0.092676,0,0
rest,1,8800.0,-0.095930,-0.092486,0,0
rest,1,8900.0,-0.099548,-0.087879,0,0
rest,1,9000.0,-0.093431,-0.088106,0,0
rest,1,9100.0,-0.090379,-0.093023,0,0
rest,1,9200.0,-0.090248,-0.091043,0,0
rest,1,9300.0,-0.098408,-0.090248,0,0
rest,1,9400.0,-0.095652,-0.095665,0,0
rest,1,9500.0,-0.100610,-0.088825,0,0
rest,1,9600.0,-0.090116,-0.088825,0,0
rest,1,9700.0,-0.097561,-0.090226,0,0
rest,1,9800.0,-0.093431,-0.086331,0,0
rest,1,9900.0,-0.095808,-0.089209,0,0
rest,1,10000.0,-0.086567,-0.087209,0,0
rest,1,10100.0,-0.092888,-0.084671,0,0
rest,1,10200.0,-0.097710,-0.087481,0,0
rest,1,10300.0,-0.092888,-0.086580,0,0
rest,1,10400.0,-0.087977,-0.080925,0,0
rest,1,10500.0,-0.094955,-0.083694,0,0
rest,1,10600.0,-0.096774,-0.081395,0,0
rest,1,10700.0,-0.089419,-0.080997,0,0
rest,1,10800.0,-0.094815,-0.084058,0,0
rest,1,10900.0,-0.092814,-0.087719,0,0
rest,1,11000.0,-0.087613,-0.086831,0,0
rest,1,11100.0,-0.092537,-0.087209,0,0
rest,1,11200.0,-0.090772,-0.087336,0,0
rest,1,11300.0,-0.095238,-0.084180,0,0
rest,1,11400.0,-0.098068,-0.081514,0,0
rest,1,11500.0,-0.098068,-0.084058,0,0
rest,1,11600.0,-0.092676,-0.086580,0,0
rest,1,11700.0,-0.099225,-0.087481,0,0
rest,1,11800.0,-0.099071,-0.083936,0,0
rest,1,11900.0,-0.090343,-0.086831,0,0
rest,1,12000.0,-0.102102,-0.086181,0,0
rest,1,12100.0,-0.100304,-0.086957,0,0
rest,1,12200.0,-0.095522,-0.087336,0,0
rest,1,12300.0,-0.098507,-0.086580,0,0
rest,1,12400.0,-0.099548,-0.087613,0,0
rest,1,12500.0,-0.093656,-0.080925,0,0
rest,1,12600.0,-0.095380,-0.080576,0,0
rest,1,12700.0,-0.090226,-0.087463,0,0
rest,1,12800.0,-0.084919,-0.089419,0,0
rest,1,12900.0,-0.091185,-0.088496,0,0
rest,1,13000.0,-0.091185,-0.090361,0,0
rest,1,13100.0,-0.095975,-0.087087,0,0
rest,1,13200.0,-0.100324,-0.087087,0,0
rest,1,13300.0,-0.096931,-0.084919,0,0
rest,1,13400.0,-0.091371,-0.078907,0,0
rest,1,13500.0,-0.084977,-0.082111,0,0
rest,1,13600.0,-0.093098,-0.082232,0,0
rest,1,13700.0,-0.089286,-0.083936,0,0
rest,1,13800.0,-0.100977,-0.081448,0,0
rest,1,13900.0,-0.083195,-0.090625,0,0
rest,1,14000.0,-0.090909,-0.084084,0,0
rest,1,14100.0,-0.095552,-0.098472,0,0
rest,1,14200.0,-0.100000,-0.081169,0,0
rest,1,14300.0,-0.096124,-0.085420,0,0
rest,1,14400.0,-0.100694,-0.084772,0,0
rest,1,14500.0,-0.092593,-0.082596,0,0
rest,1,14600.0,-0.150442,-0.086822,0,0
rest,1,14700.0,-0.089286,-0.083694,0,0
rest,1,14800.0,-0.086181,-0.085758,0,0
rest,1,14900.0,-0.109022,-0.080477,0,0
rest,1,15000.0,-0.095238,-0.080745,0,0
rest,1,15100.0,-0.092105,-0.085926,0,0
rest,1,15200.0,-0.092869,-0.083457,0,0
rest,1,15300.0,-0.086400,-0.081433,0,0
rest,1,15400.0,-0.092652,-0.084279,0,0
rest,1,15500.0,-0.093700,-0.080717,0,0
rest,1,15600.0,-0.087619,-0.089767,0,0
rest,1,15700.0,-0.089820,-0.081395,0,0
rest,1,15800.0,-0.092399,-0.083573,0,0
rest,1,15900.0,-0.086957,-0.084180,0,0
rest,1,16000.0,-0.093694,-0.085926,0,0
rest,1,16100.0,-0.081752,-0.080460,0,0
rest,1,16200.0,-0.088073,-0.095238,0,0
rest,1,16300.0,-0.087463,-0.086022,0,0
rest,1,16400.0,-0.089021,-0.080925,0,0
rest,1,16500.0,-0.083086,-0.083815,0,0
rest,1,16600.0,-0.077037,-0.083457,0,0
rest,1,16700.0,-0.089021,-0.078550,0,0
rest,1,16800.0,-0.086022,-0.078375,0,0
rest,1,16900.0,-0.080717,-0.086420,0,0
rest,1,17000.0,-0.082718,-0.086181,0,0
rest,1,17100.0,-0.082695,-0.084425,0,0
rest,1,17200.0,-0.090202,-0.083958,0,0
rest,1,17300.0,-0.086567,-0.083936,0,0
rest,1,17400.0,-0.088550,-0.081042,0,0
rest,1,17500.0,-0.080477,-0.078375,0,0
rest,1,17600.0,-0.087218,-0.083981,0,0
rest,1,17700.0,-0.089506,-0.079755,0,0
rest,1,17800.0,-0.086053,-0.085496,0,0
rest,1,17900.0,-0.086053,-0.081395,0,0
rest,1,18000.0,-0.079027,-0.078375,0,0
rest,1,18100.0,-0.084112,-0.078717,0,0
rest,1,18200.0,-0.081911,-0.072780,0,0
rest,1,18300.0,-0.087114,-0.074450,0,0
rest,1,18400.0,-0.080838,-0.075188,0,0
rest,1,18500.0,-0.077728,-0.081081,0,0
rest,1,18600.0,-0.084507,-0.078148,0,0
rest,1,18700.0,-0.079027,-0.081042,0,0
rest,1,18800.0,-0.083086,-0.081159,0,0
rest,1,18900.0,-0.084211,-0.064706,0,0
rest,1,19000.0,-0.079764,-0.081042,0,0
rest,1,19100.0,-0.082718,-0.081042,0,0
rest,1,19200.0,-0.083958,-0.075188,0,0
rest,1,19300.0,-0.084640,-0.081571,0,0
rest,1,19400.0,-0.079633,-0.081571,0,0
rest,1,19500.0,-0.082596,-0.077844,0,0
rest,1,19600.0,-0.087637,-0.075802,0,0
rest,1,19700.0,-0.082596,-0.077922,0,0
rest,1,19800.0,-0.070588,-0.078003,0,0
rest,1,19900.0,-0.078669,-0.074928,0,0
rest,1,20000.0,-0.081818,-0.072150,0,0
rest,1,20100.0,-0.080238,-0.077698,0,0
rest,1,20200.0,-0.083086,-0.074928,0,0
rest,1,20300.0,-0.083086,-0.075472,0,0
rest,1,20400.0,-0.086154,-0.074962,0,0
rest,1,20500.0,-0.075758,-0.075802,0,0
rest,1,20600.0,-0.081818,-0.075802,0,0
rest,1,20700.0,-0.080238,-0.078788,0,0
rest,1,20800.0,-0.081890,-0.080257,0,0
