step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
80062,450310.00,0.009582,5.749061e-4,-5.749061e-4,-4.366864e-1,-1.062614e0,0,0
80063,450315.00,0.009738,5.842898e-4,-5.842898e-4,-4.890097e-1,-1.059842e0,0,0
80064,450320.00,0.009895,5.937308e-4,-5.937308e-4,-4.674299e-1,-1.064091e0,0,0
80065,450325.00,0.010053,6.031717e-4,-6.031717e-4,-4.840961e-1,-1.059230e0,0,0
80066,450330.00,0.010210,6.126126e-4,-6.126126e-4,-4.342368e-1,-1.061229e0,0,0
80067,450335.00,0.010366,6.219962e-4,-6.219962e-4,-4.335740e-1,-1.063244e0,0,0
80068,450340.00,0.010524,6.314371e-4,-6.314371e-4,-4.342562e-1,-1.057912e0,0,0
80069,450345.00,0.010681,6.408779e-4,-6.408779e-4,-4.312795e-1,-1.058077e0,0,0
80070,450350.00,0.010838,6.502615e-4,-6.502615e-4,-4.339787e-1,-1.060930e0,0,0
80071,450355.00,0.010995,6.597023e-4,-6.597023e-4,-4.417049e-1,-1.057684e0,0,0
80072,450360.00,0.011152,6.691431e-4,-6.691431e-4,-4.379032e-1,-1.063086e0,0,0
80073,450365.00,0.011310,6.785839e-4,-6.785839e-4,-4.338418e-1,-1.062521e0,0,0
80074,450370.00,0.011466,6.879675e-4,-6.879675e-4,-4.332083e-1,-1.067214e0,0,0
80075,450375.00,0.011623,6.974082e-4,-6.974082e-4,-4.403090e-1,-1.066821e0,0,0
80076,450380.00,0.011781,7.068490e-4,-7.068490e-4,-4.357733e-1,-1.062794e0,0,0
80077,450385.00,0.011937,7.162325e-4,-7.162325e-4,-4.875677e-1,-1.066469e0,0,0
80078,450390.00,0.012094,7.256732e-4,-7.256732e-4,-4.878809e-1,-1.066539e0,0,0
80079,450395.00,0.012252,7.351138e-4,-7.351138e-4,-4.797571e-1,-1.067648e0,0,0
80080,450400.00,0.012409,7.445544e-4,-7.445544e-4,-4.790690e-1,-1.064053e0,0,0
80081,450405.00,0.012566,7.539379e-4,-7.539379e-4,-4.808042e-1,-1.068932e0,0,0
80082,450410.00,0.012723,7.633785e-4,-7.633785e-4,-4.764174e-1,-1.071569e0,0,0
80083,450415.00,0.012880,7.728191e-4,-7.728191e-4,-4.933335e-1,-1.069957e0,0,0
80084,450420.00,0.013037,7.822025e-4,-7.822025e-4,-4.764968e-1,-1.064653e0,0,0
80085,450425.00,0.013194,7.916430e-4,-7.916430e-4,-4.902018e-1,-1.066669e0,0,0
80086,450430.00,0.013351,8.010836e-4,-8.010836e-4,-4.730622e-1,-1.058193e0,0,0
