[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1500005fs/8000000fs cycles=1.50 samples=0 V=1.3207e-2 I=1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1550005fs/8000000fs cycles=1.55 samples=0 V=2.6192e-2 I=9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1600005fs/8000000fs cycles=1.60 samples=0 V=5.1543e-2 I=8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1650005fs/8000000fs cycles=1.65 samples=0 V=5.8246e-2 I=5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1700005fs/8000000fs cycles=1.70 samples=0 V=6.5830e-2 I=3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1750005fs/8000000fs cycles=1.75 samples=0 V=5.7080e-2 I=-3.2135e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1800005fs/8000000fs cycles=1.80 samples=0 V=5.7574e-2 I=-3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1850005fs/8000000fs cycles=1.85 samples=0 V=4.5925e-2 I=-5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1900005fs/8000000fs cycles=1.90 samples=0 V=3.5434e-2 I=-8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=1950005fs/8000000fs cycles=1.95 samples=0 V=8.9032e-3 I=-9.5107e-5
