[run_job] id=doe-cos-024
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-024
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-024_amp3e-4_freq1e-6to3e-6_cos.log
[run_job] args: --amplitude 0.0003 --f-min 1e-6 --f-max 3e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-03T18:19:16Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 3 frequencies from 3.00e-6 to 1.00e-6 (1/fs)
[EIS] Estimated total time: 15285468 fs (15285.5 ps), amplitude=3.0000e-4
[EIS] Group A (+ perturbation): [1], Group B (- perturbation): [2]
[EIS] Voltage probes: 0 per group (A=130, B=130)
EIS sweep started (Galvanostatic)
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1500005fs/2666666fs cycles=4.50 samples=33333 V=-3.7162e-3 I=3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1550005fs/2666666fs cycles=4.65 samples=43333 V=5.2757e-2 I=1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1600005fs/2666666fs cycles=4.80 samples=53333 V=6.4572e-2 I=-9.2735e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1650005fs/2666666fs cycles=4.95 samples=63333 V=9.2280e-3 I=-2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1700005fs/2666666fs cycles=5.10 samples=73333 V=-5.3135e-2 I=-2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1750005fs/2666666fs cycles=5.25 samples=83333 V=-7.3587e-2 I=3.1496e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1800005fs/2666666fs cycles=5.40 samples=93333 V=-4.8747e-2 I=2.4272e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1850005fs/2666666fs cycles=5.55 samples=103333 V=1.6573e-2 I=2.8531e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1900005fs/2666666fs cycles=5.70 samples=113333 V=6.4965e-2 I=9.2675e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1950005fs/2666666fs cycles=5.85 samples=123333 V=6.0399e-2 I=-1.7636e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2000005fs/2666666fs cycles=6.00 samples=133333 V=-9.7556e-3 I=-3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2050005fs/2666666fs cycles=6.15 samples=143333 V=-5.8395e-2 I=-1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2100005fs/2666666fs cycles=6.30 samples=153333 V=-6.4828e-2 I=9.2736e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2150005fs/2666666fs cycles=6.45 samples=163333 V=1.0071e-3 I=2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2200005fs/2666666fs cycles=6.60 samples=173333 V=5.2697e-2 I=2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2250005fs/2666666fs cycles=6.75 samples=183333 V=6.3766e-2 I=-3.1503e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2300005fs/2666666fs cycles=6.90 samples=193333 V=4.4768e-2 I=-2.4272e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2350005fs/2666666fs cycles=7.05 samples=203333 V=-1.4820e-2 I=-2.8531e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2400005fs/2666666fs cycles=7.20 samples=213333 V=-6.4678e-2 I=-9.2675e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2450005fs/2666666fs cycles=7.35 samples=223333 V=-2.7989e-2 I=1.7636e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2500005fs/2666666fs cycles=7.50 samples=233333 V=2.9576e-2 I=3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2550005fs/2666666fs cycles=7.65 samples=243333 V=7.2090e-2 I=1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2600005fs/2666666fs cycles=7.80 samples=253333 V=6.9294e-2 I=-9.2736e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=2650005fs/2666666fs cycles=7.95 samples=263333 V=2.7145e-2 I=-2.8533e-4
[EIS] Completed freq 1/3: 3.00e-6 1/fs -> Z = (1.2778e1, -2.4537e2), |Z|=2.4570e2, phase=-87.0 deg, 266667 samples
[EIS]   Z_actual = (2.2557e1, -2.4889e2), Z_cap = (2.5000e3, -5.3052e7)
[EIS] Saved time-series: eis_timeseries\eis_ts_001_3.000e-6.csv (1997 pts, v_dc=4.665e-3, i_dc=-7.470e-8)
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=33335fs/4618802fs cycles=0.06 samples=0 V=-3.1387e-2 I=-2.8047e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=83335fs/4618802fs cycles=0.14 samples=0 V=-7.4112e-2 I=-1.8485e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=133335fs/4618802fs cycles=0.23 samples=0 V=-8.0130e-2 I=-3.5836e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=183335fs/4618802fs cycles=0.32 samples=0 V=-6.8683e-2 I=1.2353e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=233335fs/4618802fs cycles=0.40 samples=0 V=-1.3593e-2 I=2.4722e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=283335fs/4618802fs cycles=0.49 samples=0 V=4.1287e-2 I=2.9949e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=333335fs/4618802fs cycles=0.58 samples=0 V=8.9793e-2 I=2.6526e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=383335fs/4618802fs cycles=0.66 samples=0 V=9.5339e-2 I=1.5440e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=433335fs/4618802fs cycles=0.75 samples=0 V=9.7570e-2 I=-1.0524e-6
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=483335fs/4618802fs cycles=0.84 samples=0 V=7.4547e-2 I=-1.5620e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=533335fs/4618802fs cycles=0.92 samples=0 V=3.1885e-2 I=-2.6624e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=583335fs/4618802fs cycles=1.01 samples=0 V=-2.2392e-2 I=-2.9936e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=633335fs/4618802fs cycles=1.10 samples=0 V=-7.4237e-2 I=-2.4602e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=683335fs/4618802fs cycles=1.18 samples=0 V=-1.0002e-1 I=-1.2161e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=733335fs/4618802fs cycles=1.27 samples=0 V=-1.1430e-1 I=3.7925e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=783335fs/4618802fs cycles=1.36 samples=0 V=-7.2704e-2 I=1.8651e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=833335fs/4618802fs cycles=1.44 samples=0 V=-1.5547e-2 I=2.8121e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=883335fs/4618802fs cycles=1.53 samples=0 V=3.4867e-2 I=2.9469e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=933335fs/4618802fs cycles=1.62 samples=0 V=8.6434e-2 I=2.2305e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=983335fs/4618802fs cycles=1.70 samples=0 V=1.0169e-1 I=8.6975e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1033335fs/4618802fs cycles=1.79 samples=0 V=1.0757e-1 I=-7.4222e-5
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1083335fs/4618802fs cycles=1.88 samples=0 V=7.1002e-2 I=-2.1398e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1133335fs/4618802fs cycles=1.96 samples=0 V=8.3181e-3 I=-2.9193e-4
[EIS] freq 2/3 (1.73e-6 1/fs) phase=Settling elapsed=1183335fs/4618802fs cycles=2.05 samples=0 V=-4.2271e-2 I=-2.8555e-4
