phase,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
pre_rest,100.0,0.000000,-0.003311,0,0
pre_rest,200.0,0.000000,-0.003155,0,0
pre_rest,300.0,0.000000,-0.003322,0,0
pre_rest,400.0,0.000000,-0.003215,0,0
pre_rest,500.0,0.000000,-0.003311,0,0
pre_rest,600.0,0.000000,-0.003063,0,0
pre_rest,700.0,0.000000,-0.003067,0,0
pre_rest,800.0,0.000000,0.000000,0,0
pre_rest,900.0,0.000000,-0.003049,0,0
pre_rest,1000.0,0.000000,-0.003044,0,0
pre_rest,1100.0,0.000000,-0.003044,0,0
pre_rest,1200.0,0.000000,-0.003604,0,0
pre_rest,1300.0,0.000000,-0.003086,0,0
pre_rest,1400.0,0.000000,0.000000,0,0
pre_rest,1500.0,0.000000,-0.003140,0,0
pre_rest,1600.0,0.000000,-0.003053,0,0
pre_rest,1700.0,-0.003430,-0.004751,0,0
pre_rest,1800.0,0.000000,0.000000,0,0
pre_rest,1900.0,-0.003058,-0.003049,0,0
pre_rest,2000.0,0.000000,-0.003049,0,0
pre_rest,2100.0,-0.003039,-0.003049,0,0
pre_rest,2200.0,0.000000,-0.003049,0,0
pre_rest,2300.0,-0.003067,-0.003049,0,0
pre_rest,2400.0,-0.003067,-0.003049,0,0
pre_rest,2500.0,0.000000,-0.003049,0,0
pre_rest,2600.0,-0.003120,-0.003049,0,0
pre_rest,2700.0,0.000000,-0.003049,0,0
pre_rest,2800.0,0.000000,-0.003333,0,0
pre_rest,2900.0,0.000000,0.000000,0,0
pre_rest,3000.0,0.000000,-0.003226,0,0
pre_rest,3100.0,0.000000,-0.003170,0,0
pre_rest,3200.0,-0.003063,-0.003049,0,0
pre_rest,3300.0,-0.003067,-0.003049,0,0
pre_rest,3400.0,-0.003185,-0.003247,0,0
pre_rest,3500.0,-0.003125,-0.003049,0,0
pre_rest,3600.0,-0.003125,-0.003082,0,0
pre_rest,3700.0,0.000000,-0.003263,0,0
pre_rest,3800.0,0.000000,-0.003044,0,0
pre_rest,3900.0,-0.003035,-0.003091,0,0
pre_rest,4000.0,-0.003145,-0.003311,0,0
pre_rest,4100.0,-0.003035,-0.003096,0,0
pre_rest,4200.0,-0.003145,0.000000,0,0
pre_rest,4300.0,0.000000,-0.003082,0,0
pre_rest,4400.0,-0.003035,-0.003082,0,0
pre_rest,4500.0,-0.003145,-0.003311,0,0
pre_rest,4600.0,-0.003063,-0.003086,0,0
pre_rest,4700.0,-0.003021,-0.003086,0,0
pre_rest,4800.0,-0.003175,0.000000,0,0
pre_rest,4900.0,-0.003026,-0.003091,0,0
pre_rest,5000.0,0.000000,-0.003086,0,0
pre_rest,5100.0,0.000000,-0.003185,0,0
pre_rest,5200.0,0.000000,0.000000,0,0
pre_rest,5300.0,-0.003140,-0.003215,0,0
pre_rest,5400.0,-0.003026,-0.003086,0,0
pre_rest,5500.0,-0.003030,-0.003086,0,0
pre_rest,5600.0,-0.003135,-0.003345,0,0
pre_rest,5700.0,-0.003026,-0.003200,0,0
pre_rest,5800.0,-0.003026,-0.003086,0,0
pre_rest,5900.0,-0.003026,-0.003086,0,0
pre_rest,6000.0,-0.003135,-0.003289,0,0
pre_rest,6100.0,-0.003091,-0.003082,0,0
pre_rest,6200.0,-0.003012,-0.003082,0,0
pre_rest,6300.0,-0.003026,-0.003082,0,0
pre_rest,6400.0,-0.003012,-0.003072,0,0
pre_rest,6500.0,-0.003026,-0.003072,0,0
pre_rest,6600.0,-0.003026,-0.003077,0,0
pre_rest,6700.0,-0.003021,-0.003077,0,0
pre_rest,6800.0,-0.003021,-0.003077,0,0
pre_rest,6900.0,-0.003072,-0.003063,0,0
pre_rest,7000.0,-0.003021,-0.003077,0,0
pre_rest,7100.0,-0.003021,-0.003077,0,0
pre_rest,7200.0,-0.003008,-0.003101,0,0
pre_rest,7300.0,0.000000,-0.003165,0,0
pre_rest,7400.0,-0.003263,-0.003328,0,0
pre_rest,7500.0,-0.003135,-0.003077,0,0
pre_rest,7600.0,-0.003021,-0.003077,0,0
pre_rest,7700.0,-0.003021,-0.003072,0,0
pre_rest,7800.0,0.000000,-0.003063,0,0
pre_rest,7900.0,-0.003035,-0.003072,0,0
pre_rest,8000.0,-0.003026,-0.003072,0,0
pre_rest,8100.0,-0.003021,-0.003039,0,0
pre_rest,8200.0,-0.003021,-0.003039,0,0
pre_rest,8300.0,0.000000,-0.003072,0,0
pre_rest,8400.0,-0.003067,-0.003215,0,0
pre_rest,8500.0,-0.003035,-0.003195,0,0
pre_rest,8600.0,-0.003082,-0.003231,0,0
pre_rest,8700.0,-0.003086,-0.003049,0,0
pre_rest,8800.0,-0.003021,-0.003049,0,0
pre_rest,8900.0,-0.003077,0.000000,0,0
pre_rest,9000.0,-0.003072,-0.003300,0,0
pre_rest,9100.0,-0.003067,-0.003039,0,0
pre_rest,9200.0,-0.003082,-0.003155,0,0
pre_rest,9300.0,-0.003021,-0.003165,0,0
pre_rest,9400.0,-0.003021,-0.003049,0,0
pre_rest,9500.0,-0.003026,-0.003049,0,0
pre_rest,9600.0,-0.003035,-0.003077,0,0
pre_rest,9700.0,-0.003026,-0.006079,0,0
pre_rest,9800.0,-0.003035,-0.006079,0,0
pre_rest,9900.0,-0.003125,-0.006700,0,0
pre_rest,10000.0,-0.003030,-0.006260,0,0
pre_rest,10100.0,0.000000,-0.006944,0,0
pre_rest,10200.0,-0.003252,-0.006689,0,0
pre_rest,10300.0,-0.003072,-0.006601,0,0
pre_rest,10400.0,-0.003030,-0.006431,0,0
pre_rest,10500.0,-0.003096,-0.006116,0,0
pre_rest,10600.0,-0.003035,-0.006107,0,0
pre_rest,10700.0,-0.003135,-0.006667,0,0
pre_rest,10800.0,0.000000,0.000000,0,0
pre_rest,10900.0,-0.003077,-0.006182,0,0
pre_rest,11000.0,-0.003030,-0.006116,0,0
pre_rest,11100.0,-0.003049,-0.006116,0,0
pre_rest,11200.0,-0.003096,-0.006182,0,0
pre_rest,11300.0,-0.003053,-0.006182,0,0
pre_rest,11400.0,-0.003135,-0.006667,0,0
pre_rest,11500.0,-0.003039,-0.006182,0,0
pre_rest,11600.0,-0.003252,-0.006896,0,0
pre_rest,11700.0,-0.003096,-0.006299,0,0
pre_rest,11800.0,-0.003067,-0.006211,0,0
pre_rest,11900.0,-0.003030,-0.006202,0,0
pre_rest,12000.0,-0.003030,-0.006211,0,0
pre_rest,12100.0,-0.003030,-0.006211,0,0
pre_rest,12200.0,-0.003039,-0.006135,0,0
pre_rest,12300.0,-0.003035,-0.006135,0,0
pre_rest,12400.0,-0.003030,-0.006144,0,0
pre_rest,12500.0,-0.003030,-0.006144,0,0
pre_rest,12600.0,-0.003110,-0.006689,0,0
pre_rest,12700.0,0.000000,-0.006634,0,0
pre_rest,12800.0,0.000000,-0.006279,0,0
pre_rest,12900.0,-0.003096,-0.006098,0,0
pre_rest,13000.0,-0.003263,-0.006221,0,0
pre_rest,13100.0,-0.003067,-0.006126,0,0
pre_rest,13200.0,-0.003077,-0.006098,0,0
pre_rest,13300.0,-0.003026,-0.006070,0,0
pre_rest,13400.0,-0.003110,-0.006079,0,0
pre_rest,13500.0,-0.003125,-0.006221,0,0
pre_rest,13600.0,-0.003026,-0.006329,0,0
pre_rest,13700.0,-0.003053,-0.006329,0,0
pre_rest,13800.0,-0.003030,-0.006070,0,0
pre_rest,13900.0,-0.003039,-0.006070,0,0
pre_rest,14000.0,-0.003039,-0.006088,0,0
pre_rest,14100.0,-0.003039,-0.006098,0,0
pre_rest,14200.0,-0.003030,-0.006098,0,0
pre_rest,14300.0,-0.003026,-0.006098,0,0
pre_rest,14400.0,-0.003082,-0.006279,0,0
pre_rest,14500.0,-0.003044,-0.006098,0,0
pre_rest,14600.0,0.000000,-0.006098,0,0
pre_rest,14700.0,-0.003150,-0.006634,0,0
pre_rest,14800.0,-0.003030,-0.006098,0,0
pre_rest,14900.0,-0.003150,-0.006634,0,0
pre_rest,15000.0,-0.003044,-0.006098,0,0
pre_rest,15100.0,-0.003044,-0.006098,0,0
pre_rest,15200.0,-0.003021,-0.006163,0,0
pre_rest,15300.0,-0.003044,-0.006163,0,0
pre_rest,15400.0,-0.003049,-0.006163,0,0
pre_rest,15500.0,-0.003021,-0.006163,0,0
pre_rest,15600.0,-0.003067,-0.006163,0,0
pre_rest,15700.0,-0.003091,-0.003350,0,0
pre_rest,15800.0,0.000000,-0.003063,0,0
pre_rest,15900.0,-0.003035,-0.003063,0,0
pre_rest,16000.0,-0.003035,-0.003072,0,0
pre_rest,16100.0,0.000000,-0.003067,0,0
pre_rest,16200.0,-0.003021,-0.003077,0,0
