target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.006015,-0.008915,-0.001450,0.134320,-0.107692,3,-3
1.005,200.0,0.009036,-0.011887,-0.001426,0.142009,-0.085799,1,-1
1.005,300.0,0.015601,-0.014992,0.000304,0.010648,0.018935,3,-1
1.005,400.0,0.006240,-0.012346,-0.003053,0.000587,0.070414,-2,1
1.005,500.0,0.006390,-0.009404,-0.001507,0.023070,0.027219,0,1
1.005,600.0,0.003125,-0.009023,-0.002949,0.045769,0.004734,1,0
1.005,700.0,0.009346,-0.011905,-0.001279,0.071350,0.026626,1,-1
1.005,800.0,0.012500,-0.008942,0.001779,-0.027023,-0.022486,2,1
1.005,900.0,0.009360,-0.008942,0.000209,-0.016094,-0.044971,-2,0
1.005,1000.0,0.006390,-0.009174,-0.001392,0.068690,-0.067456,1,0
1.005,1100.0,0.012638,-0.011922,0.000358,0.014630,-0.039646,2,-1
1.005,1200.0,0.012759,-0.012232,0.000263,-0.021705,-0.002961,0,0
1.005,1300.0,0.012559,-0.011922,0.000318,-0.058040,0.033725,0,0
1.005,1400.0,0.006231,-0.011922,-0.002846,0.056284,0.070410,-2,0
1.005,1500.0,0.009509,-0.008929,0.000290,0.081984,0.024257,1,1
1.005,1600.0,0.009404,-0.009105,0.000150,0.010257,-0.004146,1,0
1.005,1700.0,0.009419,-0.008929,0.000245,-0.026137,-0.026631,0,0
1.005,1800.0,0.012461,-0.008929,0.001766,-0.027341,-0.049116,0,0
1.005,1900.0,0.000000,-0.008929,-0.004464,0.069134,-0.062555,-2,-1
1.005,2000.0,0.012442,-0.012121,0.000160,0.053477,-0.019726,3,-1
1.005,2100.0,0.012442,-0.012177,0.000133,0.017142,0.052263,0,1
1.005,2200.0,0.009188,-0.011905,-0.001358,-0.019193,0.088949,0,0
1.005,2300.0,0.012214,-0.006042,0.003086,-0.138861,0.022085,0,2
1.005,2400.0,0.006024,-0.006154,-0.000065,-0.045351,-0.124564,-3,0
1.005,2500.0,0.006024,-0.011887,-0.002931,-0.002166,-0.158796,1,-2
1.005,2600.0,0.009009,-0.017857,-0.004424,0.056109,0.064219,1,-2
1.005,2700.0,0.009036,-0.014881,-0.002922,0.049314,0.204495,1,2
1.005,2800.0,0.011994,-0.002976,0.004509,0.009981,-0.001422,1,4
1.005,2900.0,0.011994,-0.005952,0.003021,0.026818,-0.071243,0,-1
1.005,3000.0,0.012214,-0.005970,0.003122,-0.074771,-0.126236,-1,-1
1.005,3100.0,0.003091,-0.014881,-0.005895,-0.043277,-0.018319,0,-2
1.005,3200.0,0.006182,-0.014881,-0.004349,-0.020532,0.062775,0,0
1.005,3300.0,0.006192,-0.005952,0.000120,0.019938,0.022573,1,2
1.005,3400.0,0.012579,-0.009009,0.001785,-0.013778,0.038323,0,0
1.005,3500.0,0.009331,-0.009119,0.000106,-0.050901,0.003809,0,1
1.005,3600.0,0.006211,-0.008955,-0.001372,-0.049041,-0.018880,-1,0
1.005,3700.0,0.006221,-0.008915,-0.001347,-0.026558,-0.041627,0,0
1.005,3800.0,0.009554,-0.005944,0.001805,-0.004076,-0.102724,0,0
1.005,3900.0,0.006211,-0.017778,-0.005783,0.086657,0.037328,0,-3
1.005,4000.0,0.012403,-0.014771,-0.001184,0.076908,0.132894,2,1
