target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,7800.0,0.009724,-0.011111,-0.000693,-0.051749,0.032133,0,0
1.005,7900.0,0.006483,-0.025478,-0.009497,-0.055531,0.010971,-1,0
1.005,8000.0,0.003150,-0.006088,-0.001469,0.043966,-0.010191,-1,0
1.005,8100.0,0.009464,-0.009852,-0.000194,-0.001233,-0.081713,2,-1
1.005,8200.0,0.009449,-0.015152,-0.002851,-0.037568,0.061860,0,-2
1.005,8300.0,0.012121,-0.006349,0.002886,-0.073903,0.061388,0,3
1.005,8400.0,0.000000,-0.009820,-0.004910,-0.062974,-0.031132,-1,0
1.005,8500.0,0.003150,-0.005997,-0.001424,-0.040229,-0.135668,-1,0
1.005,8600.0,0.006299,-0.005997,0.000151,0.038588,-0.177266,1,-1
1.005,8700.0,0.006400,-0.018182,-0.005891,0.061392,0.034243,0,-3
1.005,8800.0,0.004640,-0.025210,-0.010285,0.016195,0.082900,1,0
1.005,8900.0,0.011173,-0.014235,-0.001531,-0.020140,0.139406,0,2
1.005,9000.0,0.006349,-0.006024,0.000163,-0.056475,0.100316,0,2
1.005,9100.0,0.009434,-0.008982,0.000226,-0.092810,-0.048837,0,0
1.005,9200.0,0.006250,-0.009434,-0.001592,-0.081881,-0.022422,-1,0
1.005,9300.0,0.003226,-0.006814,-0.001794,0.017675,-0.088161,-1,0
1.005,9400.0,0.006329,-0.006250,0.000040,0.099505,-0.091492,1,0
1.005,9500.0,0.012579,-0.009063,0.001758,-0.054998,-0.138760,2,-2
1.005,9600.0,0.009160,-0.015129,-0.002984,-0.067699,0.007243,-1,0
1.005,9700.0,0.003145,-0.012012,-0.004434,-0.012457,0.063958,-2,1
1.005,9800.0,0.006359,-0.003130,0.001615,0.069373,-0.082121,1,1
1.005,9900.0,0.006289,-0.009360,-0.001536,0.062576,-0.106074,0,-1
1.005,10000.0,0.006289,-0.016051,-0.004881,0.011471,0.024746,1,-1
1.005,10100.0,0.006390,-0.009288,-0.001449,-0.021910,-0.002378,0,2
1.005,10200.0,0.009434,-0.009119,0.000158,-0.058245,-0.023540,0,0
1.005,10300.0,0.009434,-0.012365,-0.001465,-0.094580,-0.002974,0,-1
1.005,10400.0,0.003170,-0.009788,-0.003309,0.034516,-0.032770,-2,0
1.005,10500.0,0.009585,-0.012862,-0.001639,-0.007728,0.062313,2,-1
1.005,10600.0,0.009217,-0.008942,0.000137,-0.008615,-0.015419,-1,2
1.005,10700.0,0.006270,-0.011976,-0.002853,0.014130,0.002282,0,-1
1.005,10800.0,0.009917,-0.009836,0.000041,0.036875,0.040732,0,0
1.005,10900.0,0.006462,-0.012739,-0.003138,0.059620,0.073247,0,0
1.005,11000.0,0.012539,-0.009091,0.001724,-0.065340,0.028240,2,1
1.005,11100.0,0.006270,-0.006410,-0.000070,-0.007144,-0.016767,-2,0
1.005,11200.0,0.006380,-0.009063,-0.001342,0.015601,-0.037929,0,0
1.005,11300.0,0.006270,-0.003690,0.001290,0.038346,-0.118392,0,-1
1.005,11400.0,0.006431,-0.009231,-0.001400,0.007919,-0.130036,1,-1
1.005,11500.0,0.012251,-0.017910,-0.002830,-0.028416,0.042586,0,-1
1.005,11600.0,0.006202,-0.012030,-0.002914,0.015007,0.092958,-1,2
1.005,11700.0,0.010471,-0.007952,0.001259,-0.009512,0.083772,1,1
1.005,11800.0,0.006349,-0.007707,-0.000679,-0.045847,0.053695,0,0
1.005,11900.0,0.006483,-0.006250,0.000117,-0.002424,0.032533,-1,0
1.005,12000.0,0.009434,-0.009091,0.000172,-0.032851,0.011371,1,0
1.005,12100.0,0.009434,-0.009023,0.000206,-0.016014,-0.009791,-1,0
1.005,12200.0,0.009434,-0.006024,0.001705,0.006732,-0.078561,0,0
1.005,12300.0,0.012739,-0.012461,0.000139,-0.017787,-0.007264,1,-2
1.005,12400.0,0.009509,-0.015152,-0.002821,0.004958,0.058474,0,0
1.005,12500.0,0.012214,-0.008955,0.001629,-0.026013,0.013369,0,2
1.005,12600.0,0.012739,-0.009023,0.001858,-0.038418,-0.007793,1,0
1.005,12700.0,0.009274,-0.009259,0.000007,-0.036351,-0.034898,-1,0
1.005,12800.0,0.007067,-0.011050,-0.001991,0.060250,-0.056060,-1,0
1.005,12900.0,0.012520,-0.015015,-0.001248,-0.023351,0.071810,2,-2
1.005,13000.0,0.007005,-0.012945,-0.002970,-0.018330,0.152096,-1,1
1.005,13100.0,0.009404,0.000000,0.004702,0.004415,0.035493,0,3
1.005,13200.0,0.009539,-0.002994,0.003272,0.027160,-0.116758,0,0
1.005,13300.0,0.000000,-0.004728,-0.002364,0.049905,-0.164380,0,-3
1.005,13400.0,0.012030,-0.014903,-0.001437,0.031294,-0.092870,1,-1
1.005,13500.0,0.011869,-0.014903,-0.001517,-0.005041,-0.000791,0,0
1.005,13600.0,0.000000,-0.012739,-0.006369,0.038383,0.041000,-1,0
1.005,13700.0,0.006957,-0.010811,-0.001927,0.061128,0.061943,0,0
1.005,13800.0,0.012365,-0.008996,0.001685,0.015931,0.014363,1,0
1.005,13900.0,0.012559,-0.014992,-0.001217,-0.061764,0.112479,0,0
1.005,14000.0,0.006279,-0.006006,0.000137,-0.003568,0.055602,-2,2
1.005,14100.0,0.006380,-0.012048,-0.002834,0.078262,-0.015906,0,-1
1.005,14200.0,0.012945,-0.013311,-0.000183,0.071409,0.025417,2,0
1.005,14300.0,0.012862,-0.003361,0.004750,0.035133,-0.040263,0,1
1.005,14400.0,0.012779,-0.006240,0.003270,-0.001202,-0.019456,0,-1
1.005,14500.0,0.012251,-0.011940,0.000155,-0.037537,0.024928,0,0
1.005,14600.0,0.009419,-0.008996,0.000212,-0.029562,-0.002177,0,1
1.005,14700.0,0.006390,-0.013582,-0.003596,-0.006817,0.018424,0,-1
1.005,14800.0,0.009479,-0.013356,-0.001939,0.015928,0.056874,0,0
1.005,14900.0,0.009419,-0.008996,0.000212,0.009133,0.026770,0,1
1.005,15000.0,0.009419,-0.008996,0.000212,0.031878,0.005608,0,0
1.005,15100.0,0.009434,-0.011976,-0.001271,0.016221,0.002383,1,-1
1.005,15200.0,0.012559,-0.009331,0.001614,-0.020114,-0.027686,0,1
1.005,15300.0,0.009740,-0.010118,-0.000189,-0.009185,-0.051548,-1,-1
1.005,15400.0,0.009449,-0.012365,-0.001458,0.013561,-0.013099,0,0
1.005,15500.0,0.009174,-0.008955,0.000110,0.036306,-0.013282,0,0
1.005,15600.0,0.006557,-0.023392,-0.008417,0.059051,0.040063,0,0
1.005,15700.0,0.013051,-0.009390,0.001830,-0.015690,0.003998,2,1
1.005,15800.0,0.015385,-0.006590,0.004397,-0.111110,-0.017164,0,0
1.005,15900.0,0.012739,-0.008982,0.001878,-0.129719,-0.038326,-1,0
1.005,16000.0,0.006369,-0.008982,-0.001306,-0.009486,0.015027,-2,-1
1.005,16100.0,0.000000,-0.008996,-0.004498,0.033939,0.014843,1,0
1.005,16200.0,0.013675,-0.010753,0.001461,0.056684,0.056319,1,1
1.005,16300.0,0.000000,0.000000,0.000000,-0.009191,-0.054102,0,0
1.005,16400.0,0.012177,-0.012048,0.000064,-0.045526,-0.084197,0,0
1.005,16500.0,0.006182,-0.018127,-0.005972,0.036303,0.040845,-2,-3
1.005,16600.0,0.006410,-0.015106,-0.004348,0.070865,0.145269,1,1
1.005,16700.0,0.012559,-0.009009,0.001775,0.034530,0.127027,1,1
1.005,16800.0,0.012759,-0.006061,0.003349,-0.001805,0.061097,0,2
1.005,16900.0,0.009419,-0.009077,0.000171,0.006170,0.054897,-1,0
1.005,17000.0,0.009524,-0.009217,0.000154,0.028915,-0.037587,0,0
1.005,17100.0,0.012658,-0.009449,0.001605,0.016212,-0.055506,1,-1
1.005,17200.0,0.012966,-0.012251,0.000357,-0.020123,-0.049228,0,-2
1.005,17300.0,0.009569,-0.015129,-0.002780,-0.023905,0.058181,-1,0
1.005,17400.0,-0.006452,-0.007547,-0.006999,-0.001219,0.025585,0,1
1.005,17500.0,0.015444,-0.007547,0.003948,-0.025738,0.094107,1,0
1.005,17600.0,0.009509,-0.013400,-0.001946,-0.000038,0.132912,-1,0
1.005,17700.0,-0.008658,0.000000,-0.004329,0.022707,0.043442,0,3
1.005,17800.0,0.009449,-0.006319,0.001565,0.012958,-0.099901,0,-1
1.005,17900.0,0.007477,-0.003906,0.001785,-0.041101,-0.141692,1,-1
1.005,18000.0,-0.013289,0.000000,-0.006645,-0.006478,0.001592,-2,-2
1.005,18100.0,-0.017316,-0.014011,-0.015663,0.075293,0.005112,0,0
1.005,18200.0,0.012270,-0.012103,0.000084,0.071452,0.073697,2,1
1.005,18300.0,0.016287,-0.009646,0.003320,-0.032830,0.044154,1,0
1.005,18400.0,0.015699,-0.006061,0.004819,-0.128250,0.002510,0,1
1.005,18500.0,-0.019608,-0.013652,-0.016630,0.048114,0.032307,-4,0
1.005,18600.0,-0.012987,0.000000,-0.006494,0.100343,-0.093031,2,1
1.005,18700.0,0.015699,-0.012012,0.001843,0.031511,-0.030024,2,-3
1.005,18800.0,0.000000,-0.012698,-0.006349,-0.063850,0.047481,0,1
1.005,18900.0,0.012579,-0.009360,0.001609,-0.112002,0.080342,-1,0
1.005,19000.0,-0.025105,-0.007017,-0.016061,-0.095366,0.035567,-3,2
1.005,19100.0,0.000000,-0.009585,-0.004792,0.075137,-0.074881,0,-1
1.005,19200.0,0.010399,-0.009631,0.000384,0.041754,-0.065925,3,0
1.005,19300.0,0.012365,-0.014925,-0.001280,0.005419,0.005716,0,-2
1.005,19400.0,0.012579,-0.012012,0.000283,-0.030916,0.041536,0,1
1.005,19500.0,0.009245,-0.012820,-0.001788,-0.005217,0.074398,-1,0
1.005,19600.0,0.011429,-0.012384,-0.000478,0.017529,0.044548,0,1
1.005,19700.0,0.000000,-0.015152,-0.007576,0.007721,0.023653,1,0
1.005,19800.0,0.004149,-0.012195,-0.004023,-0.028555,-0.065694,0,0
1.005,19900.0,0.012779,-0.012140,0.000320,-0.064890,-0.005979,0,-1
1.005,20000.0,0.009434,-0.012520,-0.001543,-0.033283,0.032767,-1,0
1.005,20100.0,0.004728,-0.013793,-0.004533,-0.010538,0.032767,0,1
1.005,20200.0,-0.006623,-0.010444,-0.008533,0.012207,0.011872,0,0
1.005,20300.0,0.000000,-0.005698,-0.002849,-0.035944,-0.009023,1,0
1.005,20400.0,0.009404,-0.009509,-0.000052,-0.004337,-0.032687,-1,-1
1.005,20500.0,0.009479,-0.009375,0.000052,0.018408,0.014973,0,0
1.005,20600.0,0.012520,-0.009119,0.001701,-0.020881,-0.074410,1,1
1.005,20700.0,0.006579,0.000000,0.003289,-0.057216,-0.014651,0,-1
1.005,20800.0,0.003472,-0.008081,-0.002304,0.057109,0.024154,-2,0
1.005,20900.0,0.009524,-0.006536,0.001494,0.103488,0.006498,1,0
1.005,21000.0,0.014859,-0.009105,0.002877,-0.030335,-0.008246,2,0
1.005,21100.0,0.012678,-0.009217,0.001731,-0.078487,0.048448,-1,1
1.005,21200.0,0.003663,-0.007767,-0.002052,-0.020291,-0.008250,-2,0
1.005,21300.0,0.003697,-0.016878,-0.006590,0.061539,0.006693,0,-1
1.005,21400.0,0.008529,-0.008065,0.000232,0.066503,-0.005247,2,1
1.005,21500.0,0.014859,-0.008996,0.002932,-0.040675,-0.026142,1,0
1.005,21600.0,0.009464,-0.009105,0.000180,-0.041563,-0.008144,-2,-1
1.005,21700.0,-0.006061,-0.012638,-0.009349,-0.018817,0.045578,0,0
1.005,21800.0,-0.006390,0.000000,-0.003195,0.042333,0.018713,0,1
