step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25379,176895.00,0.030549,5.997200e-2,-5.997200e-2,-1.520364e0,-1.128865e0,0,0
25380,176900.00,0.031045,5.997109e-2,-5.997109e-2,-1.484195e0,-1.131821e0,0,0
25381,176905.00,0.031542,5.997016e-2,-5.997016e-2,-1.509053e0,-1.145073e0,0,0
25382,176910.00,0.032038,5.996921e-2,-5.996921e-2,-1.517292e0,-1.120960e0,1,-1
25383,176915.00,0.032535,5.996824e-2,-5.996824e-2,-1.475239e0,-1.123331e0,1,-1
25384,176920.00,0.033031,5.996727e-2,-5.996727e-2,-1.521828e0,-1.121621e0,1,-1
25385,176925.00,0.033527,5.996628e-2,-5.996628e-2,-1.459406e0,-1.117413e0,0,0
25386,176930.00,0.034023,5.996527e-2,-5.996527e-2,-1.502804e0,-1.121000e0,0,0
25387,176935.00,0.034520,5.996425e-2,-5.996425e-2,-1.469800e0,-1.111379e0,0,0
25388,176940.00,0.035016,5.996322e-2,-5.996322e-2,-1.590257e0,-1.117939e0,0,0
25389,176945.00,0.035513,5.996216e-2,-5.996216e-2,-1.511212e0,-1.144719e0,0,0
25390,176950.00,0.036009,5.996110e-2,-5.996110e-2,-1.449057e0,-1.134181e0,1,-1
25391,176955.00,0.036505,5.996002e-2,-5.996002e-2,-1.505535e0,-1.122975e0,0,0
25392,176960.00,0.037002,5.995893e-2,-5.995893e-2,-1.462258e0,-1.147908e0,1,-1
25393,176965.00,0.037498,5.995782e-2,-5.995782e-2,-1.485031e0,-1.147489e0,0,0
25394,176970.00,0.037994,5.995670e-2,-5.995670e-2,-1.582639e0,-1.133424e0,0,0
25395,176975.00,0.038490,5.995556e-2,-5.995556e-2,-1.459408e0,-1.132189e0,1,-1
25396,176980.00,0.038987,5.995440e-2,-5.995440e-2,-1.442447e0,-1.144730e0,0,0
25397,176985.00,0.039483,5.995324e-2,-5.995324e-2,-1.440263e0,-1.159366e0,0,0
25398,176990.00,0.039980,5.995205e-2,-5.995205e-2,-1.515167e0,-1.151902e0,0,0
25399,176995.00,0.040476,5.995086e-2,-5.995086e-2,-1.526745e0,-1.124304e0,0,0
25400,177000.00,0.040973,5.994964e-2,-5.994964e-2,-1.449306e0,-1.114508e0,0,0
25401,177005.00,0.041469,5.994841e-2,-5.994841e-2,-1.520487e0,-1.122778e0,1,-1
25402,177010.00,0.041965,5.994717e-2,-5.994717e-2,-1.552979e0,-1.154158e0,0,0
25403,177015.00,0.042461,5.994592e-2,-5.994592e-2,-1.607451e0,-1.133390e0,1,0
25404,177020.00,0.042958,5.994464e-2,-5.994464e-2,-1.540918e0,-1.131953e0,1,-1
25405,177025.00,0.043454,5.994336e-2,-5.994336e-2,-1.542211e0,-1.100417e0,1,-1
25406,177030.00,0.043951,5.994206e-2,-5.994206e-2,-1.515748e0,-1.128360e0,0,0
25407,177035.00,0.044447,5.994074e-2,-5.994074e-2,-1.550140e0,-1.135557e0,1,-1
25408,177040.00,0.044944,5.993941e-2,-5.993941e-2,-1.466718e0,-1.137083e0,0,0
25409,177045.00,0.045440,5.993807e-2,-5.993807e-2,-1.459536e0,-1.110313e0,0,0
25410,177050.00,0.045937,5.993670e-2,-5.993670e-2,-1.544704e0,-1.111446e0,1,0
25411,177055.00,0.046432,5.993533e-2,-5.993533e-2,-1.545591e0,-1.138653e0,1,-1
25412,177060.00,0.046929,5.993394e-2,-5.993394e-2,-1.543864e0,-1.097096e0,0,0
25413,177065.00,0.047425,5.993254e-2,-5.993254e-2,-1.445350e0,-1.142177e0,0,0
25414,177070.00,0.047922,5.993111e-2,-5.993111e-2,-1.552594e0,-1.133053e0,1,-1
25415,177075.00,0.048418,5.992968e-2,-5.992968e-2,-1.597198e0,-1.117443e0,0,0
25416,177080.00,0.048915,5.992823e-2,-5.992823e-2,-1.474526e0,-1.129879e0,0,0
25417,177085.00,0.049411,5.992677e-2,-5.992677e-2,-1.572970e0,-1.125799e0,1,0
25418,177090.00,0.049908,5.992529e-2,-5.992529e-2,-1.526454e0,-1.125430e0,0,0
25419,177095.00,0.050404,5.992380e-2,-5.992380e-2,-1.592675e0,-1.094766e0,0,0
25420,177100.00,0.050900,5.992229e-2,-5.992229e-2,-1.488367e0,-1.139847e0,0,0
25421,177105.00,0.051396,5.992077e-2,-5.992077e-2,-1.573456e0,-1.129886e0,1,-1
25422,177110.00,0.051892,5.991923e-2,-5.991923e-2,-1.515333e0,-1.126072e0,1,-1
25423,177115.00,0.052389,5.991768e-2,-5.991768e-2,-1.459404e0,-1.141248e0,0,0
25424,177120.00,0.052885,5.991611e-2,-5.991611e-2,-1.461376e0,-1.137631e0,1,0
25425,177125.00,0.053382,5.991453e-2,-5.991453e-2,-1.447076e0,-1.139779e0,0,0
25426,177130.00,0.053878,5.991293e-2,-5.991293e-2,-1.496803e0,-1.137898e0,0,0
25427,177135.00,0.054375,5.991132e-2,-5.991132e-2,-1.444524e0,-1.125802e0,1,-1
25428,177140.00,0.054871,5.990970e-2,-5.990970e-2,-1.568953e0,-1.148732e0,1,-1
25429,177145.00,0.055367,5.990805e-2,-5.990805e-2,-1.491447e0,-1.125092e0,0,0
25430,177150.00,0.055863,5.990640e-2,-5.990640e-2,-1.510302e0,-1.140492e0,0,0
25431,177155.00,0.056360,5.990473e-2,-5.990473e-2,-1.468334e0,-1.160406e0,1,0
25432,177160.00,0.056856,5.990304e-2,-5.990304e-2,-1.534662e0,-1.148266e0,1,-1
25433,177165.00,0.057353,5.990134e-2,-5.990134e-2,-1.494802e0,-1.139999e0,0,0
25434,177170.00,0.057849,5.989963e-2,-5.989963e-2,-1.474206e0,-1.143706e0,0,0
25435,177175.00,0.058346,5.989790e-2,-5.989790e-2,-1.541875e0,-1.140501e0,0,0
25436,177180.00,0.058842,5.989616e-2,-5.989616e-2,-1.529918e0,-1.149847e0,1,-1
25437,177185.00,0.059339,5.989439e-2,-5.989439e-2,-1.537436e0,-1.135191e0,1,-1
25438,177190.00,0.059834,5.989262e-2,-5.989262e-2,-1.508341e0,-1.133535e0,0,0
25439,177195.00,0.060331,5.989083e-2,-5.989083e-2,-1.539174e0,-1.114971e0,0,0
