pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-4.178730e-3,-4.177876e-3,-3.239517e0,-2.298339e0,6.000000e-2,1.423371e-5
1,-2.298339e0,-2.287248e0,-3.553198e0,-1.138436e0,6.000000e-2,1.848420e-1
2,-1.138436e0,-1.133461e0,-2.856464e0,-2.695050e0,6.000000e-2,8.292198e-2
