step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
80001,450005.00,6.283185,6.000000e-2,-6.000000e-2,-4.030613e-1,-1.125202e0,2236,-845
80002,450010.00,0.000156,6.000000e-2,-6.000000e-2,-4.032841e-1,-1.126329e0,0,0
80003,450015.00,0.000314,5.999999e-2,-5.999999e-2,-3.955110e-1,-1.127396e0,0,0
80004,450020.00,0.000471,5.999999e-2,-5.999999e-2,-3.826939e-1,-1.127513e0,0,0
80005,450025.00,0.000628,5.999999e-2,-5.999999e-2,-4.000025e-1,-1.120709e0,0,0
80006,450030.00,0.000785,5.999998e-2,-5.999998e-2,-3.830744e-1,-1.121566e0,0,0
80007,450035.00,0.000942,5.999997e-2,-5.999997e-2,-3.796664e-1,-1.122492e0,0,0
80008,450040.00,0.001099,5.999996e-2,-5.999996e-2,-3.998414e-1,-1.122274e0,0,0
80009,450045.00,0.001256,5.999995e-2,-5.999995e-2,-3.965465e-1,-1.123312e0,0,0
80010,450050.00,0.001413,5.999994e-2,-5.999994e-2,-3.966655e-1,-1.121668e0,0,0
80011,450055.00,0.001571,5.999992e-2,-5.999992e-2,-4.127902e-1,-1.120205e0,0,0
80012,450060.00,0.001727,5.999991e-2,-5.999991e-2,-4.172124e-1,-1.121206e0,0,0
80013,450065.00,0.001884,5.999989e-2,-5.999989e-2,-4.095793e-1,-1.125331e0,0,0
80014,450070.00,0.002042,5.999987e-2,-5.999987e-2,-4.115012e-1,-1.130442e0,0,0
80015,450075.00,0.002198,5.999985e-2,-5.999985e-2,-4.007238e-1,-1.122922e0,0,0
80016,450080.00,0.002356,5.999983e-2,-5.999983e-2,-3.928028e-1,-1.126606e0,0,0
80017,450085.00,0.002513,5.999981e-2,-5.999981e-2,-4.057504e-1,-1.121641e0,0,0
80018,450090.00,0.002670,5.999978e-2,-5.999978e-2,-3.873034e-1,-1.123103e0,0,0
80019,450095.00,0.002827,5.999976e-2,-5.999976e-2,-4.069235e-1,-1.123660e0,0,0
80020,450100.00,0.002984,5.999973e-2,-5.999973e-2,-3.664476e-1,-1.126543e0,0,0
80021,450105.00,0.003141,5.999970e-2,-5.999970e-2,-4.095987e-1,-1.123688e0,0,0
80022,450110.00,0.003298,5.999967e-2,-5.999967e-2,-4.003800e-1,-1.121857e0,0,0
80023,450115.00,0.003455,5.999964e-2,-5.999964e-2,-4.010484e-1,-1.119166e0,0,0
80024,450120.00,0.003613,5.999961e-2,-5.999961e-2,-3.986361e-1,-1.121095e0,0,0
80025,450125.00,0.003769,5.999957e-2,-5.999957e-2,-3.683006e-1,-1.123811e0,0,0
80026,450130.00,0.003926,5.999954e-2,-5.999954e-2,-4.081988e-1,-1.125370e0,0,0
80027,450135.00,0.004084,5.999950e-2,-5.999950e-2,-4.593769e-1,-1.123031e0,0,0
80028,450140.00,0.004241,5.999946e-2,-5.999946e-2,-4.101634e-1,-1.123749e0,0,0
80029,450145.00,0.004397,5.999942e-2,-5.999942e-2,-3.933587e-1,-1.121580e0,0,0
80030,450150.00,0.004555,5.999938e-2,-5.999938e-2,-4.236208e-1,-1.121685e0,0,0
80031,450155.00,0.004712,5.999933e-2,-5.999933e-2,-4.066719e-1,-1.123313e0,0,0
80032,450160.00,0.004869,5.999929e-2,-5.999929e-2,-3.947814e-1,-1.121856e0,0,0
80033,450165.00,0.005026,5.999924e-2,-5.999924e-2,-4.088694e-1,-1.118719e0,0,0
80034,450170.00,0.005183,5.999919e-2,-5.999919e-2,-4.158826e-1,-1.118519e0,0,0
80035,450175.00,0.005341,5.999915e-2,-5.999915e-2,-4.356647e-1,-1.123328e0,0,0
80036,450180.00,0.005497,5.999909e-2,-5.999909e-2,-4.042788e-1,-1.123059e0,0,0
80037,450185.00,0.005654,5.999904e-2,-5.999904e-2,-4.332403e-1,-1.123426e0,0,0
80038,450190.00,0.005812,5.999899e-2,-5.999899e-2,-4.093826e-1,-1.119483e0,0,0
80039,450195.00,0.005968,5.999893e-2,-5.999893e-2,-4.243591e-1,-1.117593e0,0,0
80040,450200.00,0.006125,5.999887e-2,-5.999887e-2,-4.299688e-1,-1.122718e0,0,0
80041,450205.00,0.006283,5.999881e-2,-5.999881e-2,-4.296833e-1,-1.121970e0,0,0
80042,450210.00,0.006440,5.999875e-2,-5.999875e-2,-4.294100e-1,-1.123364e0,0,0
80043,450215.00,0.006597,5.999869e-2,-5.999869e-2,-4.335133e-1,-1.125414e0,0,0
80044,450220.00,0.006754,5.999863e-2,-5.999863e-2,-4.157699e-1,-1.121180e0,0,0
80045,450225.00,0.006911,5.999856e-2,-5.999856e-2,-4.183841e-1,-1.120185e0,0,0
80046,450230.00,0.007068,5.999850e-2,-5.999850e-2,-4.809204e-1,-1.120342e0,0,0
80047,450235.00,0.007225,5.999843e-2,-5.999843e-2,-4.720637e-1,-1.116863e0,0,0
80048,450240.00,0.007382,5.999836e-2,-5.999836e-2,-4.585481e-1,-1.119512e0,0,0
