target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.009036,-0.008863,0.000087,0.075477,-0.096142,4,-2
1.005,200.0,0.006279,-0.011834,-0.002777,0.027264,-0.074131,2,-2
1.005,300.0,0.003150,-0.018045,-0.007448,-0.029691,0.064385,-1,-4
1.005,400.0,0.003333,-0.003101,0.000116,0.022594,-0.081849,0,2
1.005,500.0,0.003150,-0.005997,-0.001424,0.012786,-0.171569,1,-1
1.005,600.0,0.000000,-0.006042,-0.003021,0.020820,-0.258003,-1,-2
1.005,700.0,0.006144,-0.015038,-0.004447,0.043565,-0.080970,0,-2
1.005,800.0,0.009091,-0.018045,-0.004477,0.013138,0.024152,1,0
1.005,900.0,0.012103,-0.020958,-0.004428,-0.023197,0.117899,0,0
1.005,1000.0,0.009050,-0.011976,-0.001463,0.023180,0.201176,-1,2
1.005,1100.0,0.006052,0.000000,0.003026,0.096148,-0.037852,0,2
1.005,1200.0,0.012103,-0.009119,0.001492,0.015501,-0.004852,2,0
1.005,1300.0,0.011852,-0.014881,-0.001515,-0.020834,0.042556,0,0
1.005,1400.0,0.009050,-0.011922,-0.001436,0.013727,0.063196,0,0
1.005,1500.0,0.012030,-0.008955,0.001537,0.016166,0.080822,2,0
1.005,1600.0,0.011852,-0.008942,0.001455,-0.019820,-0.002867,0,1
1.005,1700.0,0.008889,-0.008942,-0.000026,0.029734,0.005688,0,0
1.005,1800.0,0.006052,-0.009331,-0.001640,0.052742,-0.024230,0,-1
1.005,1900.0,0.008969,-0.015361,-0.003196,0.075749,0.115573,0,-1
1.005,2000.0,0.011799,-0.002990,0.004405,0.013215,0.034845,1,2
1.005,2100.0,0.005944,-0.008942,-0.001499,-0.022772,-0.030790,0,0
1.005,2200.0,0.002959,-0.008942,-0.002992,-0.026253,-0.028178,-1,0
1.005,2300.0,0.002967,-0.008955,-0.002994,0.052744,0.004377,-1,-1
1.005,2400.0,0.002985,-0.011922,-0.004469,0.111151,0.001268,1,0
1.005,2500.0,0.009009,-0.008982,0.000014,0.063364,-0.016660,2,0
1.005,2600.0,0.008850,-0.008955,-0.000053,0.059883,-0.013817,0,0
1.005,2700.0,0.012346,-0.015576,-0.001615,0.012038,0.090195,1,-1
1.005,2800.0,0.012066,-0.011976,0.000045,-0.023949,0.111222,0,0
1.005,2900.0,0.012066,-0.008969,0.001549,-0.059936,0.110863,0,2
1.005,3000.0,0.012048,0.000000,0.006024,-0.095923,-0.062241,0,1
1.005,3100.0,0.006024,-0.011940,-0.002958,0.000832,-0.059193,-2,-3
1.005,3200.0,0.009188,-0.008982,0.000103,0.032689,-0.028955,1,-1
1.005,3300.0,0.012012,-0.005988,0.003012,0.017350,0.063507,1,2
1.005,3400.0,0.012048,-0.011958,0.000045,-0.051086,0.033628,1,0
1.005,3500.0,0.008996,-0.005988,0.001504,-0.013330,-0.011367,-1,1
1.005,3600.0,0.008929,-0.009259,-0.000165,0.009677,-0.038473,0,0
1.005,3700.0,0.012214,-0.005997,0.003108,-0.023360,-0.038599,1,-1
1.005,3800.0,0.011923,-0.014970,-0.001524,-0.059347,-0.029549,0,-2
1.005,3900.0,0.008969,-0.014970,-0.003001,0.031509,0.098842,-2,0
1.005,4000.0,0.008982,-0.008982,-0.000000,0.030917,0.045172,1,2
1.005,4100.0,0.015060,-0.008996,0.003032,-0.023031,-0.005912,1,1
1.005,4200.0,0.006042,-0.011994,-0.002976,0.017784,0.020669,0,-1
1.005,4300.0,0.008969,-0.008969,0.000000,0.040791,-0.018376,0,1
1.005,4400.0,0.014948,-0.011958,0.001495,-0.024696,-0.039539,2,-1
1.005,4500.0,0.006024,-0.008996,-0.001486,-0.028237,-0.006890,-1,0
1.005,4600.0,0.005979,-0.008955,-0.001488,-0.005229,0.010780,0,0
1.005,4700.0,0.005979,-0.008955,-0.001488,0.017778,-0.016315,0,1
1.005,4800.0,0.005979,-0.008982,-0.001502,0.040786,-0.085085,0,0
1.005,4900.0,0.009036,-0.011922,-0.001443,-0.007000,-0.013937,1,-1
1.005,5000.0,0.006033,-0.008942,-0.001454,0.001259,-0.029137,-1,1
1.005,5100.0,0.011994,-0.008955,0.001519,-0.025879,0.003439,1,-1
1.005,5200.0,0.005979,-0.008942,-0.001481,-0.005821,0.018010,-1,1
1.005,5300.0,0.005997,-0.005988,0.000004,0.017186,-0.041845,0,0
1.005,5400.0,0.008969,-0.011958,-0.001495,0.004797,0.014486,1,-1
1.005,5500.0,0.008969,-0.008942,0.000013,-0.031190,0.052936,0,1
1.005,5600.0,0.005979,-0.011922,-0.002972,-0.011132,0.014158,-1,-1
1.005,5700.0,0.006006,-0.011940,-0.002967,0.011875,0.020229,0,0
1.005,5800.0,0.012030,-0.011922,0.000054,-0.000514,0.058608,1,0
1.005,5900.0,0.006015,-0.008982,-0.001484,0.001845,0.010638,-1,1
1.005,6000.0,0.009160,-0.008942,0.000109,0.024853,-0.010524,0,0
1.005,6100.0,0.009022,-0.008942,0.000040,-0.008185,-0.031686,1,0
1.005,6200.0,0.006015,-0.008942,-0.001463,-0.011666,-0.052848,-1,0
1.005,6300.0,0.006015,-0.014903,-0.004444,0.034882,0.006629,0,-2
1.005,6400.0,0.009022,-0.011922,-0.001450,0.016594,0.006512,1,1
1.005,6500.0,0.006015,-0.005970,0.000022,0.013113,-0.065256,-1,1
1.005,6600.0,0.011958,-0.011922,0.000018,0.036061,-0.014901,1,-1
1.005,6700.0,0.012030,-0.011922,0.000054,-0.029423,0.023549,0,0
1.005,6800.0,0.008969,-0.005970,0.001499,-0.012315,-0.018374,-1,1
1.005,6900.0,0.006202,-0.008955,-0.001377,0.010692,-0.131696,0,-1
1.005,7000.0,0.008929,-0.011940,-0.001506,0.033700,-0.027444,0,-1
1.005,7100.0,0.008850,-0.011940,-0.001545,0.056707,-0.000475,0,0
1.005,7200.0,0.014815,-0.009091,0.002862,-0.029429,0.014175,2,1
1.005,7300.0,0.008863,-0.008955,-0.000046,0.008328,-0.006720,-2,0
1.005,7400.0,0.008889,-0.008955,-0.000033,0.031336,-0.012838,0,0
1.005,7500.0,0.011799,-0.011940,-0.000070,-0.013500,0.019972,1,-1
1.005,7600.0,0.011958,-0.008955,0.001501,-0.049487,0.028811,0,1
1.005,7700.0,0.008969,-0.008942,0.000013,-0.035329,0.016663,-1,1
1.005,7800.0,0.008850,-0.008942,-0.000046,-0.012322,-0.004499,0,0
1.005,7900.0,0.008889,-0.008955,-0.000033,0.010686,0.028030,0,-1
1.005,8000.0,0.011852,-0.008955,0.001448,-0.025301,0.019004,1,0
1.005,8100.0,0.008889,-0.011958,-0.001535,-0.025892,0.051519,-1,0
1.005,8200.0,0.008955,-0.008969,-0.000007,-0.002884,0.051221,0,1
1.005,8300.0,0.009050,-0.008969,0.000041,0.020123,0.024116,0,0
1.005,8400.0,0.011976,-0.009009,0.001484,-0.012914,0.002954,1,0
1.005,8500.0,0.009009,-0.009009,0.000000,0.004194,-0.018209,-1,0
1.005,8600.0,0.006033,-0.012012,-0.002989,0.068501,-0.003603,0,-1
1.005,8700.0,0.009009,-0.011958,-0.001474,0.082658,0.034846,1,0
1.005,8800.0,0.012084,-0.009077,0.001504,0.052571,-0.007153,1,1
1.005,8900.0,0.012084,-0.009091,0.001497,0.016584,0.022377,0,-1
1.005,9000.0,0.012066,-0.008969,0.001549,-0.019403,-0.040383,0,1
1.005,9100.0,0.009022,-0.006015,0.001504,0.015403,-0.100297,-1,0
1.005,9200.0,0.011976,-0.011958,0.000009,-0.032382,-0.061810,1,-1
1.005,9300.0,0.008955,-0.008982,-0.000013,0.005373,-0.123965,-1,-1
1.005,9400.0,0.012103,-0.015083,-0.001490,-0.045362,-0.001135,1,-2
1.005,9500.0,0.009036,-0.015601,-0.003282,-0.004656,0.103169,-1,1
1.005,9600.0,0.009036,-0.008982,0.000027,0.018351,0.114681,0,2
1.005,9700.0,0.008996,-0.006006,0.001495,0.041358,-0.016254,0,0
