target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.012384,-0.005935,0.003225,0.037076,-0.178698,5,-2
1.005,200.0,0.012384,-0.011887,0.000248,-0.025847,-0.121302,1,-2
1.005,300.0,0.012140,-0.014859,-0.001360,-0.062182,-0.007692,0,-1
1.005,400.0,0.009077,-0.014881,-0.002902,-0.012851,0.088167,-1,0
1.005,500.0,0.006061,-0.008915,-0.001427,0.009895,0.092320,0,2
1.005,600.0,0.012121,-0.012140,-0.000009,-0.008716,0.108354,1,0
1.005,700.0,0.006250,-0.008915,-0.001333,0.034707,0.094784,0,1
1.005,800.0,0.009317,-0.005952,0.001682,0.057452,-0.001665,0,1
1.005,900.0,0.006270,-0.006098,0.000086,0.080197,-0.083320,0,0
1.005,1000.0,0.006400,-0.009188,-0.001394,0.102942,-0.123557,0,-1
1.005,1100.0,0.006289,-0.011940,-0.002825,0.125687,-0.077996,0,-1
1.005,1200.0,0.009772,-0.015221,-0.002724,0.068674,-0.008726,1,-1
1.005,1300.0,0.006644,-0.016667,-0.005011,-0.050380,0.087133,0,0
1.005,1400.0,0.003110,-0.009375,-0.003132,0.007816,0.058730,-1,2
1.005,1500.0,0.005997,-0.009077,-0.001540,0.095555,0.036245,0,0
1.005,1600.0,0.012461,-0.009063,0.001699,-0.017590,-0.000990,3,0
1.005,1700.0,0.009317,-0.008969,0.000174,-0.039154,-0.023475,0,0
1.005,1800.0,0.012012,-0.012232,-0.000110,-0.075489,0.004335,0,-1
1.005,1900.0,0.009174,-0.008969,0.000103,-0.040928,-0.015192,-1,1
1.005,2000.0,0.006061,-0.009631,-0.001785,0.034994,-0.081925,-1,0
1.005,2100.0,0.006107,-0.008969,-0.001431,0.122732,-0.098510,1,0
1.005,2200.0,0.009077,-0.014970,-0.002946,0.157295,0.035810,1,-1
1.005,2300.0,0.012177,-0.003322,0.004427,0.035288,-0.007272,2,2
1.005,2400.0,0.012066,-0.008969,0.001549,-0.131034,-0.088754,1,0
1.005,2500.0,0.000000,-0.009091,-0.004545,-0.182140,-0.081741,-3,0
1.005,2600.0,-0.003160,-0.011922,-0.007541,0.029675,-0.024346,-2,-1
1.005,2700.0,0.003165,-0.009202,-0.003019,0.105596,0.012340,2,0
1.005,2800.0,0.003160,-0.008915,-0.002878,0.019041,0.007606,1,1
1.005,2900.0,0.009346,-0.008955,0.000195,0.062464,-0.014879,0,0
1.005,3000.0,0.006221,-0.012030,-0.002905,0.085209,0.004055,0,-1
1.005,3100.0,0.009259,-0.009009,0.000125,0.075401,0.008137,1,1
1.005,3200.0,0.012012,-0.009009,0.001502,0.039125,-0.014289,0,0
1.005,3300.0,0.012289,-0.011958,0.000165,-0.014657,0.019438,1,-1
1.005,3400.0,0.003072,-0.011940,-0.004434,0.058499,0.056123,0,0
1.005,3500.0,0.009509,-0.009615,-0.000053,0.057907,0.036597,1,1
1.005,3600.0,0.003170,-0.012820,-0.004825,0.080914,-0.015439,0,1
1.005,3700.0,0.009317,-0.011976,-0.001330,0.021330,-0.028721,1,-1
1.005,3800.0,0.006221,-0.014970,-0.004375,-0.055956,0.019746,0,0
1.005,3900.0,0.009360,-0.009132,0.000114,-0.091943,-0.002477,0,0
1.005,4000.0,-0.003110,-0.011940,-0.007525,0.022511,0.037212,-2,0
1.005,4100.0,0.000000,-0.005988,-0.002994,0.104517,-0.014625,0,0
1.005,4200.0,0.000000,-0.014925,-0.007463,0.186524,0.040035,0,-1
1.005,4300.0,0.016667,-0.012480,0.002093,0.038382,0.005865,4,2
1.005,4400.0,0.009539,-0.012461,-0.001461,-0.121382,-0.069718,-2,0
1.005,4500.0,0.000000,-0.011976,-0.005988,0.022486,-0.071290,-2,-1
1.005,4600.0,0.003160,-0.012759,-0.004800,0.104492,-0.111303,1,0
1.005,4700.0,0.009464,-0.015974,-0.003255,0.068445,0.026450,3,-2
1.005,4800.0,0.018127,-0.017271,0.000428,-0.026482,0.131548,0,1
1.005,4900.0,0.017391,-0.010363,0.003514,-0.041819,0.141939,0,0
1.005,5000.0,0.009494,0.000000,0.004747,-0.024711,0.051633,-1,1
1.005,5100.0,0.003101,-0.006033,-0.001466,-0.001704,-0.085918,0,0
1.005,5200.0,0.009317,-0.009050,0.000133,-0.034741,-0.022057,1,-1
1.005,5300.0,0.006339,-0.015552,-0.004606,-0.070728,0.077240,0,0
