phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.130370,-0.116643,0,0
rest,1,200.0,-0.128571,-0.113960,0,0
rest,1,300.0,-0.127219,-0.114286,0,0
rest,1,400.0,-0.125356,-0.112069,0,0
rest,1,500.0,-0.134111,-0.117478,0,0
rest,1,600.0,-0.122807,-0.107143,0,0
rest,1,700.0,-0.131579,-0.109195,0,0
rest,1,800.0,-0.135135,-0.108029,0,0
rest,1,900.0,-0.127786,-0.115607,0,0
rest,1,1000.0,-0.128205,-0.123839,0,0
rest,1,1100.0,-0.126437,-0.122682,0,0
rest,1,1200.0,-0.127841,-0.117143,0,0
rest,1,1300.0,-0.128049,-0.113433,0,0
rest,1,1400.0,-0.125178,-0.117310,0,0
rest,1,1500.0,-0.128388,-0.110778,0,0
rest,1,1600.0,-0.125356,-0.100719,0,0
rest,1,1700.0,-0.123348,-0.108417,0,0
rest,1,1800.0,-0.132743,-0.120846,0,0
rest,1,1900.0,-0.134763,-0.113960,0,0
rest,1,2000.0,-0.125714,-0.111270,0,0
rest,1,2100.0,-0.120172,-0.109668,0,0
rest,1,2200.0,-0.126075,-0.109630,0,0
rest,1,2300.0,-0.131737,-0.105422,0,0
rest,1,2400.0,-0.123386,-0.106017,0,0
rest,1,2500.0,-0.115942,-0.100143,0,0
rest,1,2600.0,-0.122388,-0.105413,0,0
rest,1,2700.0,-0.126801,-0.102710,0,0
rest,1,2800.0,-0.130370,-0.106628,0,0
rest,1,2900.0,-0.121037,-0.105564,0,0
rest,1,3000.0,-0.130435,-0.095532,0,0
rest,1,3100.0,-0.123209,-0.094118,0,0
rest,1,3200.0,-0.138790,-0.106383,0,0
rest,1,3300.0,-0.111588,-0.097004,0,0
rest,1,3400.0,-0.121302,-0.097282,0,0
rest,1,3500.0,-0.125413,-0.101949,0,0
rest,1,3600.0,-0.112392,-0.094556,0,0
rest,1,3700.0,-0.111908,-0.102710,0,0
rest,1,3800.0,-0.114449,-0.097004,0,0
rest,1,3900.0,-0.116976,-0.099573,0,0
rest,1,4000.0,-0.106322,-0.094964,0,0
rest,1,4100.0,-0.115854,-0.097842,0,0
rest,1,4200.0,-0.129450,-0.102649,0,0
rest,1,4300.0,-0.118590,-0.107527,0,0
rest,1,4400.0,-0.117310,-0.094286,0,0
rest,1,4500.0,-0.114613,-0.089855,0,0
rest,1,4600.0,-0.116976,-0.097421,0,0
rest,1,4700.0,-0.107091,-0.097561,0,0
rest,1,4800.0,-0.106169,-0.094828,0,0
rest,1,4900.0,-0.113869,-0.097633,0,0
rest,1,5000.0,-0.110465,-0.094421,0,0
rest,1,5100.0,-0.116110,-0.101892,0,0
rest,1,5200.0,-0.117470,-0.101796,0,0
rest,1,5300.0,-0.110949,-0.099715,0,0
rest,1,5400.0,-0.103746,-0.094286,0,0
rest,1,5500.0,-0.109039,-0.102489,0,0
rest,1,5600.0,-0.110613,-0.094225,0,0
rest,1,5700.0,-0.101796,-0.096096,0,0
rest,1,5800.0,-0.104348,-0.097778,0,0
rest,1,5900.0,-0.111765,-0.091852,0,0
rest,1,6000.0,-0.115440,-0.089337,0,0
rest,1,6100.0,-0.122939,-0.094692,0,0
rest,1,6200.0,-0.107402,-0.098068,0,0
rest,1,6300.0,-0.115440,-0.092219,0,0
rest,1,6400.0,-0.115108,-0.092086,0,0
rest,1,6500.0,-0.111601,-0.096210,0,0
rest,1,6600.0,-0.112260,-0.091822,0,0
rest,1,6700.0,-0.111782,-0.092537,0,0
rest,1,6800.0,-0.103858,-0.086567,0,0
rest,1,6900.0,-0.105900,-0.096350,0,0
rest,1,7000.0,-0.097923,-0.089080,0,0
rest,1,7100.0,-0.104167,-0.083815,0,0
rest,1,7200.0,-0.115512,-0.094118,0,0
rest,1,7300.0,-0.104790,-0.089595,0,0
rest,1,7400.0,-0.108504,-0.083936,0,0
rest,1,7500.0,-0.104322,-0.090909,0,0
rest,1,7600.0,-0.101523,-0.083591,0,0
rest,1,7700.0,-0.108346,-0.081991,0,0
rest,1,7800.0,-0.106628,-0.089337,0,0
rest,1,7900.0,-0.106782,-0.091988,0,0
rest,1,8000.0,-0.101156,-0.094421,0,0
rest,1,8100.0,-0.098266,-0.088953,0,0
rest,1,8200.0,-0.100865,-0.088698,0,0
rest,1,8300.0,-0.100865,-0.091822,0,0
rest,1,8400.0,-0.095930,-0.086455,0,0
rest,1,8500.0,-0.103300,-0.080808,0,0
rest,1,8600.0,-0.103030,-0.078247,0,0
rest,1,8700.0,-0.098802,-0.087848,0,0
rest,1,8800.0,-0.103397,-0.083333,0,0
rest,1,8900.0,-0.100865,-0.085960,0,0
rest,1,9000.0,-0.106509,-0.085960,0,0
rest,1,9100.0,-0.103597,-0.083214,0,0
rest,1,9200.0,-0.100592,-0.087083,0,0
rest,1,9300.0,-0.104294,-0.089686,0,0
rest,1,9400.0,-0.094309,-0.088550,0,0
rest,1,9500.0,-0.085294,-0.085960,0,0
rest,1,9600.0,-0.096677,-0.080925,0,0
rest,1,9700.0,-0.093023,-0.087746,0,0
rest,1,9800.0,-0.095930,-0.084849,0,0
rest,1,9900.0,-0.095791,-0.080460,0,0
rest,1,10000.0,-0.098694,-0.080808,0,0
rest,1,10100.0,-0.096916,-0.091581,0,0
rest,1,10200.0,-0.091043,-0.086957,0,0
rest,1,10300.0,-0.099561,-0.084058,0,0
rest,1,10400.0,-0.099561,-0.083453,0,0
rest,1,10500.0,-0.096070,-0.083214,0,0
rest,1,10600.0,-0.098694,-0.086083,0,0
rest,1,10700.0,-0.097202,-0.081633,0,0
rest,1,10800.0,-0.094535,-0.083453,0,0
rest,1,10900.0,-0.094955,-0.083214,0,0
rest,1,11000.0,-0.099839,-0.082718,0,0
rest,1,11100.0,-0.097561,-0.086697,0,0
rest,1,11200.0,-0.100865,-0.083333,0,0
rest,1,11300.0,-0.101749,-0.089172,0,0
rest,1,11400.0,-0.095532,-0.083333,0,0
rest,1,11500.0,-0.100787,-0.082840,0,0
rest,1,11600.0,-0.094044,-0.083333,0,0
rest,1,11700.0,-0.100157,-0.082840,0,0
rest,1,11800.0,-0.096350,-0.082111,0,0
rest,1,11900.0,-0.103245,-0.081514,0,0
rest,1,12000.0,-0.109635,-0.082067,0,0
rest,1,12100.0,-0.099270,-0.085496,0,0
rest,1,12200.0,-0.101010,-0.082963,0,0
rest,1,12300.0,-0.098266,-0.069277,0,0
rest,1,12400.0,-0.114943,-0.088550,0,0
rest,1,12500.0,-0.099548,-0.084375,0,0
rest,1,12600.0,-0.101911,-0.079027,0,0
rest,1,12700.0,-0.101596,-0.073421,0,0
rest,1,12800.0,-0.100935,-0.080871,0,0
rest,1,12900.0,-0.107692,-0.085470,0,0
rest,1,13000.0,-0.094815,-0.075581,0,0
rest,1,13100.0,-0.092486,-0.076471,0,0
rest,1,13200.0,-0.093797,-0.077280,0,0
rest,1,13300.0,-0.095791,-0.078717,0,0
rest,1,13400.0,-0.091043,-0.075145,0,0
rest,1,13500.0,-0.097561,-0.082067,0,0
rest,1,13600.0,-0.100592,-0.068554,0,0
rest,1,13700.0,-0.092450,-0.072289,0,0
rest,1,13800.0,-0.094955,-0.075912,0,0
rest,1,13900.0,-0.093374,-0.075235,0,0
rest,1,14000.0,-0.094535,-0.076135,0,0
rest,1,14100.0,-0.098068,-0.078431,0,0
rest,1,14200.0,-0.101341,-0.069767,0,0
rest,1,14300.0,-0.104265,-0.073059,0,0
rest,1,14400.0,-0.093458,-0.069869,0,0
rest,1,14500.0,-0.096350,-0.073395,0,0
