frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
6096,30480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.024433,0.949303,1.000000,0.998801,1.025028,19,-40,-4,2,19,1489,1348,1479,1438,1528
6296,31480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998783,0.929404,1.017890,1.001490,1.002699,-46,-40,40,1,-44,1413,1314,1391,1112,1252
6496,32480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.997658,0.913071,1.041427,1.001332,1.000580,-4,-40,42,-1,-4,1478,1369,1508,1272,1493
6696,33480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.003855,0.974236,1.011699,0.988110,1.005708,9,104,-57,-21,11,1586,1439,1565,1368,1522
6896,34480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.010870,0.996160,1.001300,0.969281,1.014678,21,46,-21,-40,20,1426,1072,1308,1300,1337
7096,35480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.026130,0.999400,1.001123,0.948415,1.027594,18,5,-1,-40,21,1607,1436,1551,1379,1437
7296,36480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.999306,1.002038,1.020185,0.930764,1.004679,-48,2,41,-40,-46,1210,1242,1504,1301,1266
7496,37480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.999446,1.000000,1.045504,0.910914,1.000000,-1,0,43,-40,-4,1576,1481,1594,1465,1583
7696,38480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.006609,0.989064,1.009195,0.975080,1.001772,11,-21,-55,103,10,1283,1416,1510,1335,1463
7896,39480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.016775,0.966150,1.001081,0.999404,1.014682,20,-40,-25,45,20,1618,1513,1621,1447,1609
8096,40480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.023810,0.955954,0.997248,1.000000,1.015584,20,-40,-1,2,20,694,383,860,770,925
8296,41480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003384,0.924188,1.018879,1.000000,1.001629,-45,-40,42,-2,-41,1543,1432,1518,1404,1612
8496,42480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001139,0.907047,1.040184,1.000618,0.998856,-8,-40,41,0,-3,1526,1416,1512,1389,1518
8696,43480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004313,0.976676,1.008802,0.990342,1.000737,10,110,-50,-21,10,1161,1142,1247,909,1127
8896,44480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.015742,0.995469,1.000583,0.968265,1.009763,20,44,-30,-40,20,1104,1315,1484,1188,1204
9096,45480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.026030,0.999421,1.000541,0.945068,1.024862,19,12,-2,-39,19,1614,1497,1617,1463,1580
9296,46480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001092,0.999389,1.015429,0.931397,1.002286,-46,0,41,-41,-45,1601,1408,1520,1388,1520
9496,47480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.045479,0.905728,1.001625,-2,-1,43,-40,-4,1604,1472,1617,1446,1616
9696,48480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005411,0.988797,1.015701,0.974282,1.006034,10,-19,-55,111,9,1618,1466,1617,1442,1593
9896,49480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.014510,0.969066,1.001098,0.997008,1.014756,20,-40,-27,39,21,1424,1451,1592,1441,1532
10096,50480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.027071,0.945349,1.000540,0.998803,1.026087,19,-40,-1,5,20,1617,1490,1623,1441,1610
10296,51480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.995235,0.930262,1.016949,1.000647,0.998847,-49,-39,47,3,-47,1449,1333,1422,1315,1504
10496,52480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.903678,1.048528,0.999382,0.999445,-4,-41,44,2,-3,1587,1483,1604,1389,1573
10696,53480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.002079,0.972184,1.008511,0.988661,1.005038,11,108,-59,-21,9,1213,1208,1415,1181,1358
10896,54480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016920,0.996984,1.000568,0.968176,1.017709,22,49,-29,-40,20,1543,1428,1532,1404,1577
11096,55480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.028353,1.000000,1.000000,0.945015,1.024253,19,5,-3,-40,19,1604,1466,1607,1425,1543
11296,56480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,0.999388,1.017564,0.919898,1.004457,-48,0,41,-40,-43,1502,1403,1535,1343,1565
11496,57480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998307,1.000000,1.041364,0.903125,1.000567,-2,0,41,-40,-9,1542,1393,1559,1370,1533
11696,58480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.000953,0.985556,1.003082,0.963952,1.005327,11,-22,-53,107,9,819,947,1068,519,1084
11896,59480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.017954,0.964223,1.001632,0.999389,1.015118,20,-40,-26,52,21,1608,1475,1608,1408,1556
12096,60480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.022556,0.946451,1.001134,1.000636,1.020773,20,-39,-2,2,19,1499,1376,1534,1343,1503
12296,61480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003326,0.925060,1.021775,1.000000,1.002732,-46,-40,40,3,-40,1574,1438,1607,1408,1600
12496,62480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999451,0.904312,1.045055,1.000000,1.000000,-7,-40,45,2,-5,1591,1463,1590,1362,1580
12696,63480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.003264,0.970159,1.014443,0.987549,1.006957,11,111,-50,-21,10,1302,1278,1501,1296,1495
12896,64480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016304,0.995773,1.002206,0.965094,1.013605,20,44,-29,-40,21,1610,1426,1583,1317,1534
13096,65480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.024390,1.000000,0.999455,0.945652,1.027627,18,7,-2,-40,22,1533,1457,1606,1426,1616
13296,66480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.019564,0.924338,1.002365,-45,0,40,-40,-44,1552,1434,1559,1356,1461
13496,67480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998705,0.998779,1.039384,0.906945,1.001138,-2,0,47,-40,-6,1314,1408,1522,1253,1528
13696,68480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004887,0.986503,1.012843,0.972424,1.001387,11,-20,-53,110,9,1407,1400,1483,1148,1212
13896,69480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.015830,0.964964,1.000542,0.998165,1.015309,20,-40,-32,47,20,1602,1454,1614,1405,1599
14096,70480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026674,0.941524,0.998905,1.000000,1.023203,20,-40,-2,2,19,1607,1463,1596,1386,1537
14296,71480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.997180,0.917808,1.020408,1.001942,0.999409,-48,-40,40,0,-37,1543,1449,1534,1315,1462
