target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.006260,-0.009077,-0.001409,0.208359,-0.066272,3,-3
1.005,200.0,0.015748,-0.015773,-0.000012,0.092319,0.038462,3,-2
1.005,300.0,0.012800,-0.008889,0.001956,-0.003101,-0.013228,0,1
1.005,400.0,0.006319,-0.005944,0.000188,-0.042390,-0.127011,-1,-1
1.005,500.0,0.003190,-0.011852,-0.004331,-0.007829,-0.001242,0,0
1.005,600.0,0.005979,-0.009202,-0.001612,0.014916,0.020677,0,1
1.005,700.0,0.009174,-0.011852,-0.001339,0.037662,0.027922,0,0
1.005,800.0,0.009288,-0.011852,-0.001282,0.060407,0.041044,0,0
1.005,900.0,0.012539,-0.005970,0.003285,0.041796,0.036336,2,1
1.005,1000.0,0.012461,-0.009023,0.001719,-0.009310,-0.033287,0,0
1.005,1100.0,0.012403,-0.005988,0.003208,-0.045645,-0.141407,0,0
1.005,1200.0,0.009288,-0.017804,-0.004258,-0.002222,0.058363,-1,-3
1.005,1300.0,0.009105,-0.008902,0.000101,0.020524,0.007020,0,2
1.005,1400.0,0.011976,-0.009063,0.001456,-0.027627,0.014501,1,0
1.005,1500.0,0.005997,-0.008889,-0.001446,-0.031409,0.021762,-1,0
1.005,1600.0,0.000000,-0.006173,-0.003086,0.062179,-0.080150,-1,0
1.005,1700.0,0.014948,-0.014793,0.000077,0.040614,0.039652,2,-1
1.005,1800.0,0.012214,-0.011869,0.000172,0.004279,0.005862,0,0
1.005,1900.0,0.009174,-0.008942,0.000116,0.009300,0.016520,-1,0
1.005,2000.0,0.011905,-0.008889,0.001508,-0.015219,0.026550,1,2
1.005,2100.0,0.008876,-0.008902,-0.000013,0.019342,-0.054967,-1,-1
1.005,2200.0,0.008863,-0.009023,-0.000080,0.042088,0.005471,0,0
1.005,2300.0,0.009132,-0.008889,0.000122,0.064833,-0.028619,0,0
1.005,2400.0,0.009009,-0.005935,0.001537,0.087578,-0.080495,0,0
1.005,2500.0,0.015221,-0.011922,0.001649,0.006929,-0.031907,2,0
1.005,2600.0,0.012158,-0.008915,0.001621,-0.047132,-0.027680,-1,0
1.005,2700.0,0.012270,-0.011976,0.000147,-0.000755,0.047615,-1,0
1.005,2800.0,0.008889,-0.005926,0.001482,0.021991,-0.007377,0,1
1.005,2900.0,0.003077,-0.009360,-0.003142,0.044736,-0.100630,0,0
1.005,3000.0,0.009036,-0.014837,-0.002900,0.067481,0.063224,0,-2
1.005,3100.0,0.012820,-0.005961,0.003430,0.016376,-0.015110,1,1
1.005,3200.0,0.011923,-0.005944,0.002990,-0.019959,-0.102295,0,0
1.005,3300.0,0.012251,-0.011940,0.000155,-0.056294,-0.108993,0,-3
1.005,3400.0,0.006173,-0.014925,-0.004376,-0.024687,0.008643,-2,0
1.005,3500.0,0.006349,-0.018779,-0.006215,0.086685,0.125760,0,1
1.005,3600.0,0.020797,-0.003110,0.008843,-0.038276,0.083548,3,1
1.005,3700.0,0.012251,-0.005988,0.003132,-0.053931,-0.045051,-1,1
1.005,3800.0,0.009317,-0.011905,-0.001294,-0.043002,-0.011028,-1,0
1.005,3900.0,0.009360,-0.008915,0.000223,-0.020257,-0.024058,0,0
1.005,4000.0,0.012422,-0.011852,0.000285,0.002488,0.021948,0,0
1.005,4100.0,0.003226,-0.012270,-0.004522,0.016371,0.058987,0,0
1.005,4200.0,0.009302,-0.011852,-0.001275,0.039116,0.096025,0,0
1.005,4300.0,0.008863,-0.005926,0.001468,0.017610,-0.006198,0,2
1.005,4400.0,0.012030,-0.008889,0.001571,-0.039462,-0.028421,1,-1
1.005,4500.0,0.009160,-0.011958,-0.001399,-0.010809,0.008617,-1,-1
1.005,4600.0,0.012559,-0.012327,0.000116,-0.026466,0.016157,1,0
1.005,4700.0,0.012480,-0.008942,0.001769,-0.062801,-0.008808,0,0
1.005,4800.0,0.006279,-0.012030,-0.002875,0.024937,0.019873,-2,-1
1.005,4900.0,0.009419,-0.011994,-0.001287,0.027003,0.035945,1,1
1.005,5000.0,0.009404,-0.012012,-0.001304,0.049748,0.037645,0,0
1.005,5100.0,0.009346,-0.002976,0.003185,0.072493,0.003828,0,0
1.005,5200.0,0.012195,-0.008902,0.001647,0.042066,-0.029982,1,0
1.005,5300.0,0.012270,-0.008915,0.001677,0.005731,-0.031065,0,-1
1.005,5400.0,0.011923,-0.011869,0.000027,-0.030604,0.032970,0,0
1.005,5500.0,0.011940,-0.011869,0.000035,-0.066939,0.070359,0,0
1.005,5600.0,0.012066,-0.002985,0.004541,-0.103274,-0.010735,0,1
1.005,5700.0,0.005979,-0.005952,0.000013,-0.039169,-0.088808,-2,-1
1.005,5800.0,0.009174,-0.014837,-0.002831,0.042661,0.028770,1,-1
