target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,7700.0,0.009022,-0.012270,-0.001624,-0.016980,0.025824,-1,0
1.005,7800.0,0.009036,-0.009146,-0.000055,0.035525,-0.011695,0,1
1.005,7900.0,0.012442,-0.009539,0.001451,-0.003412,-0.034442,1,0
1.005,8000.0,0.013245,-0.010582,0.001332,-0.039399,-0.057190,0,0
1.005,8100.0,0.009509,-0.013841,-0.002166,-0.001643,-0.032669,-1,-1
1.005,8200.0,0.009449,-0.017094,-0.003823,0.021365,0.003668,0,0
1.005,8300.0,0.009449,-0.015898,-0.003225,0.044372,0.040005,0,0
1.005,8400.0,0.012480,-0.012678,-0.000099,0.031983,0.076343,1,1
1.005,8500.0,0.012618,-0.012289,0.000165,-0.004004,0.024053,0,0
1.005,8600.0,0.017804,-0.012289,0.002758,-0.039991,0.001305,0,0
1.005,8700.0,0.009360,-0.012289,-0.001464,0.000715,-0.021442,-1,0
1.005,8800.0,0.009677,-0.016842,-0.003582,0.082721,0.000124,1,-1
1.005,8900.0,0.009317,-0.015408,-0.003046,0.117528,0.036461,1,0
1.005,9000.0,0.015949,-0.012882,0.001533,0.046083,-0.033495,2,1
1.005,9100.0,0.015674,-0.015432,0.000121,-0.048844,0.002783,0,-1
1.005,9200.0,0.009390,-0.015601,-0.003106,-0.002237,0.039121,-2,0
1.005,9300.0,0.009419,-0.009077,0.000171,0.020770,-0.057483,0,2
1.005,9400.0,0.034783,-0.010204,0.012289,-0.027015,-0.139315,1,0
1.005,9500.0,0.026087,-0.014060,0.006014,0.010741,-0.159091,-1,-1
1.005,9600.0,0.012678,-0.024353,-0.005837,-0.007548,0.072224,1,-4
1.005,9700.0,0.012698,-0.012924,-0.000113,-0.043535,0.144012,0,3
1.005,9800.0,0.009554,-0.013514,-0.001980,-0.002829,0.053317,-1,2
1.005,9900.0,0.009646,-0.006250,0.001698,0.020178,-0.028516,0,0
1.005,10000.0,0.012461,-0.012195,0.000133,-0.009909,-0.071943,1,-1
1.005,10100.0,0.012442,-0.018209,-0.002884,-0.045896,0.029388,0,-2
1.005,10200.0,0.009585,-0.013378,-0.001897,-0.034688,0.050954,-1,2
1.005,10300.0,0.009331,-0.012066,-0.001368,-0.011680,0.028207,0,0
1.005,10400.0,0.009479,-0.012048,-0.001285,0.011327,0.005459,0,0
1.005,10500.0,0.019093,-0.015974,0.001559,-0.045308,-0.029105,1,0
1.005,10600.0,0.012422,-0.015175,-0.001376,-0.081295,-0.019297,0,-1
1.005,10700.0,0.009524,-0.015848,-0.003162,-0.037636,0.016981,-1,0
1.005,10800.0,0.006240,-0.015576,-0.004668,0.044370,0.053319,0,0
