frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
6103,30515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.000000,1.000000,1.099891,0.885714,0.999446,0,0,17,-17,-1,1607,1538,1602,1380,1574
6303,31515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.005969,0.989350,1.002735,0.993703,1.005599,10,-20,-171,176,10,1613,1554,1598,1358,1556
6503,32515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.011475,0.980856,0.999456,0.996795,1.007527,10,-20,-10,16,10,1600,1546,1609,1330,1497
6703,33515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.015845,0.971215,1.000000,0.999382,1.015660,10,-20,0,3,11,1474,1507,1598,1388,1558
6903,34515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.018391,0.963068,0.997768,0.998071,1.019219,9,-20,-1,5,11,1510,1530,1562,1325,1435
7103,35515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.020988,0.957364,0.996749,0.996782,1.024096,11,-20,0,2,10,1247,1318,1308,1013,1181
7303,36515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.029842,0.949421,0.996412,0.998564,1.033239,9,-20,2,-1,11,1479,1411,1442,1163,1545
7503,37515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.032763,0.945988,1.001357,1.000795,1.036885,12,-20,0,2,9,1113,1066,1244,1028,1478
7703,38515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.042823,0.938248,0.998813,0.999345,1.043750,12,-20,-1,0,10,1428,1357,1455,1296,1530
7903,39515,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.042315,0.934573,0.999349,1.002730,1.046030,10,-20,-2,1,11,1377,1115,1307,1235,1508
8103,40515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.050978,0.928100,0.999355,1.001376,1.054965,11,-20,2,-3,10,1457,1133,1320,1224,1462
8303,41515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.004403,0.915325,1.010585,0.999380,1.005556,-99,-20,22,-3,-90,1587,1447,1565,1383,1570
8503,42515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000555,0.909416,1.023913,0.999372,1.000556,-12,-20,21,-1,-10,1571,1448,1610,1363,1569
8703,43515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.001101,0.903919,1.028080,0.998042,0.997055,0,-20,22,0,-2,1586,1352,1515,1302,1468
8903,44515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.999438,0.888353,1.036266,0.999382,0.999439,0,-20,22,1,-1,1548,1221,1452,1389,1552
9103,45515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.002044,0.895833,1.030439,1.000909,1.000881,-1,-20,22,0,-1,1238,826,887,870,905
9303,46515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.003628,0.877841,1.055556,0.999312,0.997993,0,-20,23,0,0,1424,1178,1462,1224,1265
9503,47515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.001440,0.865952,1.041953,1.000903,0.996748,-5,-20,20,0,-1,1159,889,1081,878,1000
