frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
91,455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.997239,0.993035,0.994869,0.998141,0.994106,0,0,0,0,0,1219,1493,1329,1384,1297
291,1455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.999458,0.984807,1.007073,0.998917,1.000000,4,-20,20,4,7,1614,1613,1608,1616,1615
491,2455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.999456,0.980349,1.017372,1.000000,1.000562,0,-20,20,2,0,1607,1602,1612,1603,1548
691,3455,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.002735,0.993258,1.007126,0.993976,1.001852,5,21,-18,-10,5,1598,1550,1454,1430,1390
891,4455,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.007592,0.998902,1.000000,0.984273,1.008830,10,13,-14,-20,10,1614,1592,1603,1614,1582
1091,5455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.013100,1.000549,1.000000,0.975557,1.013165,10,1,0,-19,9,1602,1591,1610,1611,1593
1291,6455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.001087,0.999439,1.011007,0.969009,1.000548,-23,-1,20,-20,-23,1610,1553,1587,1577,1595
1491,7455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.999453,1.000567,1.021360,0.957931,0.999431,-2,1,20,-20,-4,1597,1533,1549,1529,1526
1691,8455,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.002830,0.994901,1.009637,0.985690,1.003266,6,-9,-24,49,5,1537,1535,1534,1517,1607
1891,9455,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.008139,0.985753,1.000544,0.997812,1.008197,10,-20,-18,20,10,1613,1595,1608,1598,1600
2091,10455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.013572,0.978070,1.000000,1.000000,1.013201,10,-20,-1,5,9,1612,1594,1606,1601,1588
2291,11455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000000,0.968699,1.010870,1.000000,1.001629,-25,-20,20,-1,-21,1613,1591,1610,1600,1612
2491,12455,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000000,0.960155,1.022409,1.000000,0.999414,-1,-20,21,0,-3,1545,1577,1555,1542,1477
2691,13455,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.003281,0.988436,1.007748,0.994938,1.002796,4,51,-27,-11,5,1599,1586,1577,1548,1558
2891,14455,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.007605,0.998349,1.000000,0.983544,1.008835,10,18,-14,-20,10,1611,1587,1609,1593,1581
3091,15455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.012009,1.000551,1.000543,0.973180,1.013594,9,3,-1,-19,9,1602,1586,1610,1597,1609
3291,16455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,1.001655,0.999426,1.011136,0.962274,1.001630,-20,0,20,-20,-22,1583,1512,1566,1599,1611
3491,17455,OP,OP,CC,CC,OP,1.000000,1.000000,0.020000,-0.020000,1.000000,0.999436,1.000574,1.019819,0.953437,0.998876,-3,0,20,-20,-3,1544,1512,1536,1574,1549
3691,18455,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.002781,0.994938,1.008523,0.984183,1.001133,5,-10,-23,53,5,1568,1548,1530,1477,1535
3891,19455,CC,CC,OP,OP,CC,0.010000,-0.020000,1.000000,1.000000,0.010000,1.008899,0.984763,1.000000,1.000000,1.007345,10,-20,-15,29,10,1568,1542,1548,1511,1540
