t_fs,step,phase,i_applied,v_cell,v_metal_a,v_metal_b,v_bulk_a,v_bulk_b
1250.000,250,pre_hold,0.000000e0,-5.471941e-3,-2.504593e-3,2.967348e-3,-8.886546e-3,2.753322e-3
1275.000,255,pre_hold,0.000000e0,-5.478675e-3,-2.508102e-3,2.970574e-3,-8.884933e-3,2.980102e-3
1300.000,260,pre_hold,0.000000e0,-5.471817e-3,-2.515563e-3,2.956254e-3,-8.872599e-3,3.071212e-3
1325.000,265,pre_hold,0.000000e0,-5.450667e-3,-2.511495e-3,2.939172e-3,-8.873346e-3,3.039232e-3
1350.000,270,pre_hold,0.000000e0,-5.461663e-3,-2.524114e-3,2.937549e-3,-8.881480e-3,3.073456e-3
1375.000,275,pre_hold,0.000000e0,-5.436161e-3,-2.528196e-3,2.907965e-3,-8.860740e-3,2.713682e-3
1400.000,280,pre_hold,0.000000e0,-5.443776e-3,-2.520712e-3,2.923064e-3,-8.863530e-3,3.046033e-3
1425.000,285,pre_hold,0.000000e0,-5.422262e-3,-2.526050e-3,2.896212e-3,-8.855860e-3,2.889336e-3
1450.000,290,pre_hold,0.000000e0,-5.396668e-3,-2.519530e-3,2.877138e-3,-8.846452e-3,2.679226e-3
1475.000,295,pre_hold,0.000000e0,-5.323815e-3,-2.515883e-3,2.807932e-3,-8.831137e-3,2.184799e-3
1500.000,300,pre_hold,0.000000e0,-5.211217e-3,-2.511198e-3,2.700019e-3,-8.823452e-3,2.436648e-3
1525.000,305,pre_hold,0.000000e0,-5.103239e-3,-2.510249e-3,2.592990e-3,-8.819729e-3,2.596003e-3
1550.000,310,pre_hold,0.000000e0,-5.054947e-3,-2.504089e-3,2.550858e-3,-8.799605e-3,2.560297e-3
1575.000,315,pre_hold,0.000000e0,-5.123108e-3,-2.507046e-3,2.616062e-3,-8.806482e-3,2.557233e-3
1600.000,320,pre_hold,0.000000e0,-5.099926e-3,-2.508365e-3,2.591561e-3,-8.799839e-3,2.540154e-3
1625.000,325,pre_hold,0.000000e0,-5.102502e-3,-2.494516e-3,2.607986e-3,-8.788469e-3,2.490737e-3
1650.000,330,pre_hold,0.000000e0,-4.959217e-3,-2.499712e-3,2.459505e-3,-8.794423e-3,2.395341e-3
1675.000,335,pre_hold,0.000000e0,-4.936438e-3,-2.484619e-3,2.451818e-3,-8.753576e-3,2.369546e-3
1700.000,340,pre_hold,0.000000e0,-4.966240e-3,-2.477676e-3,2.488564e-3,-8.774804e-3,2.451017e-3
1725.000,345,pre_hold,0.000000e0,-4.994298e-3,-2.483119e-3,2.511179e-3,-8.765556e-3,2.482350e-3
1750.000,350,pre_hold,0.000000e0,-4.858089e-3,-2.483350e-3,2.374739e-3,-8.778997e-3,2.240443e-3
1775.000,355,pre_hold,0.000000e0,-5.071351e-3,-2.475253e-3,2.596098e-3,-8.751005e-3,1.909397e-3
1800.000,360,pre_hold,0.000000e0,-4.925581e-3,-2.454803e-3,2.470778e-3,-8.735972e-3,2.452268e-3
1825.000,365,pre_hold,0.000000e0,-4.958797e-3,-2.439660e-3,2.519138e-3,-8.715493e-3,2.349039e-3
1850.000,370,pre_hold,0.000000e0,-5.000406e-3,-2.443248e-3,2.557158e-3,-8.714792e-3,2.238496e-3
1875.000,375,pre_hold,0.000000e0,-4.998998e-3,-2.437737e-3,2.561260e-3,-8.692271e-3,2.161348e-3
1900.000,380,pre_hold,0.000000e0,-4.899952e-3,-2.426553e-3,2.473399e-3,-8.695145e-3,2.378009e-3
1925.000,385,pre_hold,0.000000e0,-4.970768e-3,-2.430168e-3,2.540600e-3,-8.699650e-3,1.859063e-3
1950.000,390,pre_hold,0.000000e0,-4.587907e-3,-2.435717e-3,2.152190e-3,-8.711366e-3,1.538947e-3
1975.000,395,pre_hold,0.000000e0,-4.567016e-3,-2.430544e-3,2.136472e-3,-8.696168e-3,1.514590e-3
2000.000,400,pre_hold,0.000000e0,-4.362369e-3,-2.428811e-3,1.933558e-3,-8.675880e-3,1.103629e-3
2025.000,405,pre_hold,0.000000e0,-4.195007e-3,-2.422167e-3,1.772840e-3,-8.661174e-3,9.705995e-4
2050.000,410,pre_hold,0.000000e0,-4.268678e-3,-2.421953e-3,1.846725e-3,-8.676841e-3,9.946850e-4
2075.000,415,pre_hold,0.000000e0,-4.391657e-3,-2.406752e-3,1.984906e-3,-8.643686e-3,1.206841e-3
2100.000,420,pre_hold,0.000000e0,-4.526249e-3,-2.409351e-3,2.116898e-3,-8.639731e-3,1.043907e-3
2125.000,425,pre_hold,0.000000e0,-4.368077e-3,-2.405392e-3,1.962685e-3,-8.628963e-3,1.167857e-3
2150.000,430,pre_hold,0.000000e0,-4.129663e-3,-2.397816e-3,1.731846e-3,-8.618065e-3,9.254981e-4
2175.000,435,pre_hold,0.000000e0,-4.140328e-3,-2.388699e-3,1.751628e-3,-8.622931e-3,7.649824e-4
2200.000,440,pre_hold,0.000000e0,-4.104871e-3,-2.386840e-3,1.718032e-3,-8.607801e-3,9.152666e-4
2225.000,445,pre_hold,0.000000e0,-4.118307e-3,-2.388482e-3,1.729826e-3,-8.605764e-3,7.488097e-4
2250.000,450,pre_hold,0.000000e0,-4.244329e-3,-2.379133e-3,1.865196e-3,-8.598071e-3,1.034134e-3
2275.000,455,pre_hold,0.000000e0,-4.346119e-3,-2.367214e-3,1.978905e-3,-8.587728e-3,1.273157e-3
2300.000,460,pre_hold,0.000000e0,-4.441094e-3,-2.356301e-3,2.084792e-3,-8.562962e-3,1.623287e-3
2325.000,465,pre_hold,0.000000e0,-4.741425e-3,-2.360467e-3,2.380958e-3,-8.574146e-3,1.017970e-3
2350.000,470,pre_hold,0.000000e0,-4.234061e-3,-2.349637e-3,1.884424e-3,-8.555742e-3,1.077948e-3
2375.000,475,pre_hold,0.000000e0,-4.107427e-3,-2.347403e-3,1.760024e-3,-8.564634e-3,6.991806e-4
2400.000,480,pre_hold,0.000000e0,-4.135196e-3,-2.348677e-3,1.786519e-3,-8.564471e-3,6.140187e-4
2425.000,485,pre_hold,0.000000e0,-3.938782e-3,-2.325986e-3,1.612795e-3,-8.524468e-3,7.869736e-4
2450.000,490,pre_hold,0.000000e0,-3.936612e-3,-2.308082e-3,1.628530e-3,-8.507151e-3,6.224198e-4
2475.000,495,pre_hold,0.000000e0,-3.922137e-3,-2.300449e-3,1.621688e-3,-8.496372e-3,6.149482e-4
2500.000,500,pre_hold,0.000000e0,-4.014867e-3,-2.275654e-3,1.739213e-3,-8.457335e-3,8.778065e-4
2525.000,505,pre_hold,0.000000e0,-4.422445e-3,-2.281238e-3,2.141207e-3,-8.466164e-3,7.429915e-4
2550.000,510,pre_hold,0.000000e0,-4.071521e-3,-2.263494e-3,1.808026e-3,-8.450015e-3,1.030740e-3
2575.000,515,pre_hold,0.000000e0,-3.805728e-3,-2.248870e-3,1.556858e-3,-8.421758e-3,7.400390e-4
2600.000,520,pre_hold,0.000000e0,-3.835414e-3,-2.256469e-3,1.578945e-3,-8.443345e-3,6.061175e-4
2625.000,525,pre_hold,0.000000e0,-4.237224e-3,-2.248188e-3,1.989036e-3,-8.415891e-3,4.924186e-4
2650.000,530,pre_hold,0.000000e0,-3.764718e-3,-2.233449e-3,1.531269e-3,-8.411570e-3,7.299705e-4
2675.000,535,pre_hold,0.000000e0,-3.959810e-3,-2.222721e-3,1.737089e-3,-8.384221e-3,6.892498e-4
2700.000,540,pre_hold,0.000000e0,-3.818092e-3,-2.224713e-3,1.593379e-3,-8.375779e-3,7.842252e-4
2725.000,545,pre_hold,0.000000e0,-4.101426e-3,-2.223485e-3,1.877942e-3,-8.366972e-3,8.443860e-4
2750.000,550,pre_hold,0.000000e0,-3.785201e-3,-2.214229e-3,1.570972e-3,-8.350700e-3,7.531254e-4
2775.000,555,pre_hold,0.000000e0,-3.700555e-3,-2.221006e-3,1.479549e-3,-8.358448e-3,7.373879e-4
2800.000,560,pre_hold,0.000000e0,-3.672735e-3,-2.203361e-3,1.469374e-3,-8.340564e-3,7.258952e-4
2825.000,565,pre_hold,0.000000e0,-3.650288e-3,-2.188853e-3,1.461435e-3,-8.305759e-3,7.242786e-4
2850.000,570,pre_hold,0.000000e0,-4.092202e-3,-2.186419e-3,1.905782e-3,-8.295593e-3,9.671816e-4
2875.000,575,pre_hold,0.000000e0,-4.165614e-3,-2.175039e-3,1.990575e-3,-8.277659e-3,1.957723e-3
2900.000,580,pre_hold,0.000000e0,-4.217410e-3,-2.152357e-3,2.065052e-3,-8.238412e-3,2.115616e-3
2925.000,585,pre_hold,0.000000e0,-4.252262e-3,-2.145401e-3,2.106861e-3,-8.230791e-3,2.115598e-3
2950.000,590,pre_hold,0.000000e0,-4.178051e-3,-2.149356e-3,2.028695e-3,-8.224973e-3,2.091179e-3
2975.000,595,pre_hold,0.000000e0,-4.194304e-3,-2.138591e-3,2.055714e-3,-8.218015e-3,2.118843e-3
3000.000,600,pre_hold,0.000000e0,-4.411086e-3,-2.146723e-3,2.264363e-3,-8.199542e-3,1.688578e-3
3025.000,605,pre_hold,0.000000e0,-4.222875e-3,-2.134490e-3,2.088385e-3,-8.179441e-3,2.103596e-3
3050.000,610,pre_hold,0.000000e0,-4.086430e-3,-2.121311e-3,1.965119e-3,-8.161203e-3,1.990797e-3
3075.000,615,pre_hold,0.000000e0,-4.121811e-3,-2.117506e-3,2.004306e-3,-8.147184e-3,2.087506e-3
3100.000,620,pre_hold,0.000000e0,-4.193242e-3,-2.108671e-3,2.084571e-3,-8.145514e-3,2.126991e-3
3125.000,625,pre_hold,0.000000e0,-4.217873e-3,-2.115023e-3,2.102851e-3,-8.150364e-3,2.066571e-3
3150.000,630,pre_hold,0.000000e0,-4.213104e-3,-2.110216e-3,2.102888e-3,-8.131247e-3,2.089731e-3
3175.000,635,pre_hold,0.000000e0,-4.058522e-3,-2.103822e-3,1.954701e-3,-8.122450e-3,2.040115e-3
3200.000,640,pre_hold,0.000000e0,-4.141927e-3,-2.108118e-3,2.033809e-3,-8.117437e-3,1.411759e-3
3225.000,645,pre_hold,0.000000e0,-4.051473e-3,-2.100985e-3,1.950488e-3,-8.111363e-3,2.013405e-3
3250.000,650,pre_hold,0.000000e0,-4.374552e-3,-2.101968e-3,2.272583e-3,-8.082032e-3,1.687341e-3
3275.000,655,pre_hold,0.000000e0,-4.222778e-3,-2.090650e-3,2.132128e-3,-8.057235e-3,1.898896e-3
3300.000,660,pre_hold,0.000000e0,-4.168225e-3,-2.086424e-3,2.081801e-3,-8.046066e-3,2.112423e-3
3325.000,665,pre_hold,0.000000e0,-4.097356e-3,-2.084555e-3,2.012802e-3,-8.026101e-3,2.156824e-3
3350.000,670,pre_hold,0.000000e0,-4.199125e-3,-2.087032e-3,2.112093e-3,-8.033027e-3,1.625700e-3
3375.000,675,pre_hold,0.000000e0,-3.790966e-3,-2.071917e-3,1.719050e-3,-7.997484e-3,1.411488e-3
3400.000,680,pre_hold,0.000000e0,-3.595576e-3,-2.072399e-3,1.523177e-3,-8.005638e-3,9.027533e-4
3425.000,685,pre_hold,0.000000e0,-3.436460e-3,-2.068859e-3,1.367601e-3,-7.986345e-3,7.235258e-4
3450.000,690,pre_hold,0.000000e0,-3.489341e-3,-2.056415e-3,1.432925e-3,-7.958124e-3,7.650192e-4
3475.000,695,pre_hold,0.000000e0,-3.493724e-3,-2.054655e-3,1.439069e-3,-7.933772e-3,7.794810e-4
3500.000,700,pre_hold,0.000000e0,-3.643667e-3,-2.049822e-3,1.593845e-3,-7.926744e-3,1.062216e-3
3525.000,705,pre_hold,0.000000e0,-3.687160e-3,-2.042285e-3,1.644875e-3,-7.911486e-3,1.213328e-3
3550.000,710,pre_hold,0.000000e0,-3.906824e-3,-2.045620e-3,1.861205e-3,-7.907718e-3,1.935516e-3
3575.000,715,pre_hold,0.000000e0,-4.008855e-3,-2.028006e-3,1.980849e-3,-7.875394e-3,2.100526e-3
3600.000,720,pre_hold,0.000000e0,-4.050201e-3,-2.030728e-3,2.019473e-3,-7.870089e-3,2.081733e-3
3625.000,725,pre_hold,0.000000e0,-4.069721e-3,-2.031079e-3,2.038641e-3,-7.862939e-3,2.039460e-3
3650.000,730,pre_hold,0.000000e0,-4.078540e-3,-2.016293e-3,2.062247e-3,-7.830704e-3,1.947047e-3
3675.000,735,pre_hold,0.000000e0,-4.133367e-3,-2.021639e-3,2.111728e-3,-7.839037e-3,1.791994e-3
3700.000,740,pre_hold,0.000000e0,-4.086008e-3,-2.016308e-3,2.069701e-3,-7.821391e-3,1.951490e-3
3725.000,745,pre_hold,0.000000e0,-3.960603e-3,-2.018635e-3,1.941968e-3,-7.824743e-3,2.094807e-3
3750.000,750,pre_hold,0.000000e0,-3.837297e-3,-2.025328e-3,1.811969e-3,-7.832659e-3,1.766177e-3
3775.000,755,pre_hold,0.000000e0,-3.723280e-3,-2.020505e-3,1.702774e-3,-7.798436e-3,1.415829e-3
3800.000,760,pre_hold,0.000000e0,-3.582222e-3,-2.018517e-3,1.563705e-3,-7.790477e-3,1.046130e-3
3825.000,765,pre_hold,0.000000e0,-3.442645e-3,-2.016948e-3,1.425697e-3,-7.771448e-3,7.830472e-4
3850.000,770,pre_hold,0.000000e0,-3.357416e-3,-2.016973e-3,1.340443e-3,-7.753677e-3,7.218403e-4
3875.000,775,pre_hold,0.000000e0,-3.365028e-3,-2.024850e-3,1.340178e-3,-7.765867e-3,7.294465e-4
3900.000,780,pre_hold,0.000000e0,-3.369569e-3,-2.023859e-3,1.345710e-3,-7.762988e-3,7.190180e-4
3925.000,785,pre_hold,0.000000e0,-3.519834e-3,-2.020822e-3,1.499012e-3,-7.740231e-3,8.941931e-4
3950.000,790,pre_hold,0.000000e0,-3.657908e-3,-2.020906e-3,1.637002e-3,-7.743299e-3,1.220086e-3
3975.000,795,pre_hold,0.000000e0,-3.642734e-3,-2.018362e-3,1.624372e-3,-7.724504e-3,1.227334e-3
4000.000,800,pre_hold,0.000000e0,-3.641723e-3,-2.009572e-3,1.632151e-3,-7.714365e-3,1.223654e-3
4025.000,805,pre_hold,0.000000e0,-3.882813e-3,-1.997158e-3,1.885655e-3,-7.686023e-3,2.007227e-3
4050.000,810,pre_hold,0.000000e0,-3.954316e-3,-1.995612e-3,1.958703e-3,-7.677684e-3,2.130399e-3
4075.000,815,pre_hold,0.000000e0,-3.945543e-3,-1.985852e-3,1.959691e-3,-7.662779e-3,2.113769e-3
4100.000,820,pre_hold,0.000000e0,-3.963711e-3,-1.980325e-3,1.983386e-3,-7.640186e-3,2.069524e-3
4125.000,825,pre_hold,0.000000e0,-3.969795e-3,-1.981223e-3,1.988571e-3,-7.629476e-3,2.094696e-3
4150.000,830,pre_hold,0.000000e0,-3.891665e-3,-1.978067e-3,1.913598e-3,-7.624145e-3,2.053658e-3
4175.000,835,pre_hold,0.000000e0,-3.827554e-3,-1.996862e-3,1.830692e-3,-7.634579e-3,1.901367e-3
4200.000,840,pre_hold,0.000000e0,-3.749223e-3,-1.982090e-3,1.767134e-3,-7.615545e-3,1.727207e-3
4225.000,845,pre_hold,0.000000e0,-3.721740e-3,-1.991594e-3,1.730146e-3,-7.613427e-3,1.569129e-3
4250.000,850,pre_hold,0.000000e0,-3.538643e-3,-1.995965e-3,1.542677e-3,-7.622204e-3,9.823679e-4
4275.000,855,pre_hold,0.000000e0,-3.532017e-3,-2.009720e-3,1.522297e-3,-7.625638e-3,6.399677e-4
4300.000,860,pre_hold,0.000000e0,-3.303152e-3,-2.003457e-3,1.299695e-3,-7.616359e-3,6.095424e-4
4325.000,865,pre_hold,0.000000e0,-3.270368e-3,-1.980441e-3,1.289927e-3,-7.585556e-3,6.432375e-4
4350.000,870,pre_hold,0.000000e0,-3.377128e-3,-1.994402e-3,1.382726e-3,-7.603601e-3,7.061809e-4
4375.000,875,pre_hold,0.000000e0,-3.370776e-3,-1.981888e-3,1.388888e-3,-7.591226e-3,7.009336e-4
4400.000,880,pre_hold,0.000000e0,-3.290614e-3,-1.983646e-3,1.306968e-3,-7.579072e-3,6.281257e-4
4425.000,885,pre_hold,0.000000e0,-3.363266e-3,-1.979849e-3,1.383417e-3,-7.583532e-3,6.942259e-4
4450.000,890,pre_hold,0.000000e0,-3.581852e-3,-1.977358e-3,1.604494e-3,-7.578513e-3,1.129532e-3
4475.000,895,pre_hold,0.000000e0,-3.813457e-3,-1.962117e-3,1.851340e-3,-7.555725e-3,1.911231e-3
4500.000,900,pre_hold,0.000000e0,-3.950779e-3,-1.954136e-3,1.996643e-3,-7.553899e-3,1.934817e-3
4525.000,905,pre_hold,0.000000e0,-3.878040e-3,-1.945639e-3,1.932400e-3,-7.530964e-3,2.002208e-3
4550.000,910,pre_hold,0.000000e0,-3.829969e-3,-1.946023e-3,1.883946e-3,-7.531543e-3,1.966104e-3
4575.000,915,pre_hold,0.000000e0,-3.916148e-3,-1.946808e-3,1.969340e-3,-7.532005e-3,1.980429e-3
4600.000,920,pre_hold,0.000000e0,-3.954183e-3,-1.946781e-3,2.007402e-3,-7.538841e-3,1.808721e-3
4625.000,925,pre_hold,0.000000e0,-3.955532e-3,-1.934772e-3,2.020760e-3,-7.521442e-3,1.819891e-3
4650.000,930,pre_hold,0.000000e0,-3.911312e-3,-1.938794e-3,1.972518e-3,-7.509479e-3,1.977970e-3
4675.000,935,pre_hold,0.000000e0,-3.828787e-3,-1.935640e-3,1.893147e-3,-7.535186e-3,2.002644e-3
4700.000,940,pre_hold,0.000000e0,-3.798889e-3,-1.934285e-3,1.864605e-3,-7.501426e-3,1.920572e-3
4725.000,945,pre_hold,0.000000e0,-3.864300e-3,-1.924782e-3,1.939517e-3,-7.489377e-3,2.008724e-3
4750.000,950,pre_hold,0.000000e0,-3.930512e-3,-1.925250e-3,2.005262e-3,-7.476945e-3,1.939956e-3
4775.000,955,pre_hold,0.000000e0,-3.896402e-3,-1.924122e-3,1.972280e-3,-7.476823e-3,1.976075e-3
4800.000,960,pre_hold,0.000000e0,-3.861751e-3,-1.914562e-3,1.947189e-3,-7.438842e-3,2.004354e-3
4825.000,965,pre_hold,0.000000e0,-3.987338e-3,-1.907768e-3,2.079570e-3,-7.433605e-3,1.671867e-3
4850.000,970,pre_hold,0.000000e0,-4.014423e-3,-1.907734e-3,2.106689e-3,-7.424525e-3,1.660498e-3
4875.000,975,pre_hold,0.000000e0,-4.066002e-3,-1.907416e-3,2.158586e-3,-7.423634e-3,1.827892e-3
4900.000,980,pre_hold,0.000000e0,-3.991270e-3,-1.912245e-3,2.079026e-3,-7.425974e-3,1.651160e-3
4925.000,985,pre_hold,0.000000e0,-3.958442e-3,-1.907781e-3,2.050661e-3,-7.403158e-3,1.713471e-3
4950.000,990,pre_hold,0.000000e0,-3.944876e-3,-1.902805e-3,2.042071e-3,-7.367282e-3,1.689663e-3
4975.000,995,pre_hold,0.000000e0,-4.001030e-3,-1.912620e-3,2.088410e-3,-7.380660e-3,1.607544e-3
5000.000,1000,pre_hold,0.000000e0,-4.012869e-3,-1.913396e-3,2.099473e-3,-7.383916e-3,1.636376e-3
5025.000,1005,pre_hold,0.000000e0,-4.100833e-3,-1.920136e-3,2.180697e-3,-7.363317e-3,2.007355e-3
5050.000,1010,pre_hold,0.000000e0,-4.130388e-3,-1.918774e-3,2.211614e-3,-7.356056e-3,2.565594e-3
5075.000,1015,pre_hold,0.000000e0,-4.115039e-3,-1.925409e-3,2.189630e-3,-7.338788e-3,2.344453e-3
5100.000,1020,pre_hold,0.000000e0,-4.110382e-3,-1.917500e-3,2.192883e-3,-7.336144e-3,2.539627e-3
5125.000,1025,pre_hold,0.000000e0,-4.112991e-3,-1.919869e-3,2.193121e-3,-7.333172e-3,2.549830e-3
5150.000,1030,pre_hold,0.000000e0,-4.090326e-3,-1.914512e-3,2.175814e-3,-7.325996e-3,2.358441e-3
5175.000,1035,pre_hold,0.000000e0,-4.089465e-3,-1.903079e-3,2.186386e-3,-7.302451e-3,2.670240e-3
5200.000,1040,pre_hold,0.000000e0,-4.084234e-3,-1.902396e-3,2.181838e-3,-7.304967e-3,2.680780e-3
5225.000,1045,pre_hold,0.000000e0,-4.062353e-3,-1.899957e-3,2.162396e-3,-7.284610e-3,2.188533e-3
5250.000,1050,pre_hold,0.000000e0,-4.039779e-3,-1.887137e-3,2.152642e-3,-7.276209e-3,2.356019e-3
5275.000,1055,pre_hold,0.000000e0,-4.063397e-3,-1.889439e-3,2.173958e-3,-7.277659e-3,2.680133e-3
5300.000,1060,pre_hold,0.000000e0,-4.045038e-3,-1.878256e-3,2.166782e-3,-7.267778e-3,2.674587e-3
5325.000,1065,pre_hold,0.000000e0,-4.237643e-3,-1.880437e-3,2.357206e-3,-7.281208e-3,2.135265e-3
5350.000,1070,pre_hold,0.000000e0,-3.960243e-3,-1.868931e-3,2.091313e-3,-7.251635e-3,1.863930e-3
5375.000,1075,pre_hold,0.000000e0,-3.975195e-3,-1.863584e-3,2.111611e-3,-7.256507e-3,2.036094e-3
5400.000,1080,pre_hold,0.000000e0,-3.977242e-3,-1.849292e-3,2.127950e-3,-7.244991e-3,2.388224e-3
5425.000,1085,pre_hold,0.000000e0,-3.983857e-3,-1.850454e-3,2.133404e-3,-7.245559e-3,2.610361e-3
5450.000,1090,pre_hold,0.000000e0,-3.988101e-3,-1.851812e-3,2.136289e-3,-7.248161e-3,2.696511e-3
5475.000,1095,pre_hold,0.000000e0,-3.996290e-3,-1.854892e-3,2.141399e-3,-7.252005e-3,2.759984e-3
