frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
408,2040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,0.994479,0.996229,0.994631,0.996564,0.996445,0,0,0,0,0,1400,1361,1260,1225,1458
608,3040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.008403,0.979247,1.007853,0.980663,1.008740,29,-40,28,-40,23,1079,1071,1298,1218,1143
808,4040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.023626,0.961517,1.026659,0.962514,1.019726,26,-40,31,-40,23,1590,1563,1608,1584,1595
1008,5040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.037879,0.941950,1.038755,0.944168,1.037602,24,-40,26,-40,32,1618,1596,1602,1579,1605
1208,6040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.051407,0.921558,1.055076,0.925620,1.053571,25,-40,29,-40,29,1618,1593,1622,1585,1618
1408,7040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.063914,0.905475,1.067806,0.908423,1.067189,28,-40,27,-40,28,1538,1505,1584,1539,1556
1608,8040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.079675,0.890808,1.083739,0.894441,1.083424,27,-40,27,-40,28,1615,1565,1621,1551,1616
1808,9040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.097297,0.877114,1.100000,0.879369,1.095420,32,-40,33,-40,26,1620,1544,1620,1544,1604
2008,10040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.111532,0.874568,1.114612,0.874568,1.114799,27,-40,27,-39,34,1617,1508,1611,1508,1608
2208,11040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.123103,0.866505,1.120179,0.872123,1.126322,30,-40,27,-40,29,1549,1418,1559,1334,1472
2408,12040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.131733,0.862797,1.126450,0.864652,1.133643,31,-40,30,-41,23,1478,1286,1494,1292,1491
2608,13040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.150404,0.855303,1.159696,0.861587,1.146219,33,-40,35,-40,25,1625,1401,1611,1345,1555
2808,14040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.156233,0.848601,1.168219,0.862275,1.158101,27,-40,30,-40,29,1575,1342,1595,1273,1560
3008,15040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.164654,0.847348,1.185845,0.842273,1.172600,29,-40,34,-40,28,1592,1316,1621,1336,1624
3208,16040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.169738,0.856839,1.181254,0.846897,1.166006,30,-39,24,-40,34,1561,1181,1541,1220,1535
3408,17040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.174283,0.850035,1.196058,0.842391,1.173890,30,-40,27,-40,32,1652,1217,1647,1242,1639
3608,18040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.150738,0.853171,1.161738,0.853951,1.153197,35,-41,24,-39,27,1329,921,1427,1023,1428
3808,19040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.160945,0.841221,1.180356,0.856564,1.171202,26,-40,31,-40,31,1547,1080,1511,1004,1534
4008,20040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.172359,0.829214,1.202015,0.848578,1.178986,28,-40,33,-41,29,1644,1105,1656,1071,1664
4208,21040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.166760,0.824081,1.203586,0.837154,1.176813,30,-40,30,-40,32,1551,1049,1666,1035,1659
4408,22040,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.174317,0.810552,1.206191,0.832653,1.162103,24,-39,31,-40,33,1600,1021,1676,995,1596
