step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
8061,90305.00,0.094247,5.973372e-2,-5.973372e-2,-2.069413e-1,-1.518696e-1,1,-1
8062,90310.00,0.095818,5.972477e-2,-5.972477e-2,-2.202576e-1,-1.521666e-1,0,0
8063,90315.00,0.097389,5.971568e-2,-5.971568e-2,-1.990913e-1,-1.408430e-1,0,0
8064,90320.00,0.098960,5.970644e-2,-5.970644e-2,-1.912558e-1,-1.469231e-1,0,0
8065,90325.00,0.100531,5.969706e-2,-5.969706e-2,-2.026555e-1,-1.511082e-1,1,-1
8066,90330.00,0.102101,5.968753e-2,-5.968753e-2,-2.567494e-1,-1.605902e-1,0,0
8067,90335.00,0.103672,5.967785e-2,-5.967785e-2,-2.771284e-1,-1.682376e-1,1,-1
8068,90340.00,0.105243,5.966802e-2,-5.966802e-2,-2.053490e-1,-1.727783e-1,0,0
8069,90345.00,0.106813,5.965805e-2,-5.965805e-2,-1.844777e-1,-1.774927e-1,0,0
8070,90350.00,0.108384,5.964793e-2,-5.964793e-2,-1.707982e-1,-1.698622e-1,0,0
8071,90355.00,0.109955,5.963766e-2,-5.963766e-2,-1.751323e-1,-1.752388e-1,1,-1
8072,90360.00,0.111526,5.962724e-2,-5.962724e-2,-1.704817e-1,-1.743696e-1,0,0
8073,90365.00,0.113097,5.961667e-2,-5.961667e-2,-1.705261e-1,-1.770276e-1,0,0
8074,90370.00,0.114668,5.960597e-2,-5.960597e-2,-1.784676e-1,-1.761694e-1,1,-1
8075,90375.00,0.116239,5.959511e-2,-5.959511e-2,-1.780756e-1,-1.804748e-1,0,0
8076,90380.00,0.117809,5.958411e-2,-5.958411e-2,-1.793840e-1,-1.840792e-1,0,0
8077,90385.00,0.119380,5.957295e-2,-5.957295e-2,-2.086955e-1,-1.825179e-1,1,-1
8078,90390.00,0.120951,5.956166e-2,-5.956166e-2,-1.941494e-1,-1.873661e-1,0,0
8079,90395.00,0.122521,5.955021e-2,-5.955021e-2,-1.901290e-1,-1.753233e-1,0,0
8080,90400.00,0.124092,5.953862e-2,-5.953862e-2,-1.893286e-1,-1.893752e-1,0,0
8081,90405.00,0.125663,5.952689e-2,-5.952689e-2,-2.019571e-1,-1.852487e-1,1,-1
8082,90410.00,0.127234,5.951500e-2,-5.951500e-2,-2.125449e-1,-1.841965e-1,0,0
8083,90415.00,0.128805,5.950296e-2,-5.950296e-2,-2.264130e-1,-1.976091e-1,0,0
8084,90420.00,0.130376,5.949078e-2,-5.949078e-2,-2.249325e-1,-1.959383e-1,1,-1
8085,90425.00,0.131947,5.947845e-2,-5.947845e-2,-2.161540e-1,-1.875135e-1,0,0
8086,90430.00,0.133517,5.946599e-2,-5.946599e-2,-2.322979e-1,-2.032016e-1,0,0
8087,90435.00,0.135088,5.945336e-2,-5.945336e-2,-2.354859e-1,-2.050707e-1,1,-1
8088,90440.00,0.136659,5.944060e-2,-5.944060e-2,-2.500414e-1,-1.948958e-1,0,0
8089,90445.00,0.138229,5.942769e-2,-5.942769e-2,-2.455193e-1,-1.872603e-1,0,0
8090,90450.00,0.139800,5.941463e-2,-5.941463e-2,-2.286575e-1,-1.851968e-1,0,0
8091,90455.00,0.141371,5.940142e-2,-5.940142e-2,-2.244482e-1,-2.006088e-1,1,-1
8092,90460.00,0.142941,5.938807e-2,-5.938807e-2,-2.128423e-1,-1.889243e-1,0,0
8093,90465.00,0.144513,5.937456e-2,-5.937456e-2,-2.045247e-1,-1.933877e-1,0,0
8094,90470.00,0.146084,5.936092e-2,-5.936092e-2,-2.127463e-1,-1.938050e-1,1,-1
8095,90475.00,0.147655,5.934713e-2,-5.934713e-2,-2.137390e-1,-2.005770e-1,0,0
8096,90480.00,0.149225,5.933319e-2,-5.933319e-2,-2.179550e-1,-2.012469e-1,0,0
8097,90485.00,0.150796,5.931910e-2,-5.931910e-2,-2.128107e-1,-2.101492e-1,0,0
8098,90490.00,0.152367,5.930487e-2,-5.930487e-2,-2.193428e-1,-2.059885e-1,1,-1
8099,90495.00,0.153937,5.929050e-2,-5.929050e-2,-2.182469e-1,-2.137594e-1,0,0
8100,90500.00,0.155508,5.927597e-2,-5.927597e-2,-2.121421e-1,-2.168942e-1,0,0
8101,90505.00,0.157079,5.926130e-2,-5.926130e-2,-2.169146e-1,-2.208255e-1,1,-1
8102,90510.00,0.158649,5.924649e-2,-5.924649e-2,-2.164442e-1,-2.121520e-1,0,0
8103,90515.00,0.160221,5.923152e-2,-5.923152e-2,-2.156747e-1,-2.239025e-1,0,0
8104,90520.00,0.161792,5.921641e-2,-5.921641e-2,-2.186699e-1,-2.215295e-1,1,-1
8105,90525.00,0.163363,5.920115e-2,-5.920115e-2,-2.177630e-1,-2.217208e-1,0,0
8106,90530.00,0.164933,5.918575e-2,-5.918575e-2,-2.191691e-1,-2.187370e-1,0,0
8107,90535.00,0.166504,5.917021e-2,-5.917021e-2,-2.157429e-1,-2.298876e-1,0,0
8108,90540.00,0.168075,5.915452e-2,-5.915452e-2,-2.391417e-1,-2.283374e-1,1,-1
8109,90545.00,0.169645,5.913868e-2,-5.913868e-2,-2.342069e-1,-2.345432e-1,0,0
8110,90550.00,0.171216,5.912269e-2,-5.912269e-2,-2.385241e-1,-2.333162e-1,0,0
8111,90555.00,0.172787,5.910656e-2,-5.910656e-2,-2.639445e-1,-2.260354e-1,1,-1
8112,90560.00,0.174357,5.909029e-2,-5.909029e-2,-2.499171e-1,-2.313908e-1,0,0
8113,90565.00,0.175929,5.907386e-2,-5.907386e-2,-2.428567e-1,-2.252614e-1,0,0
8114,90570.00,0.177500,5.905729e-2,-5.905729e-2,-2.611852e-1,-2.240253e-1,1,-1
8115,90575.00,0.179070,5.904058e-2,-5.904058e-2,-2.484119e-1,-2.304858e-1,0,0
8116,90580.00,0.180641,5.902372e-2,-5.902372e-2,-2.428358e-1,-2.538940e-1,0,0
8117,90585.00,0.182212,5.900671e-2,-5.900671e-2,-2.426334e-1,-2.473049e-1,0,0
8118,90590.00,0.183783,5.898957e-2,-5.898957e-2,-2.635198e-1,-2.431570e-1,1,-1
8119,90595.00,0.185353,5.897227e-2,-5.897227e-2,-2.658556e-1,-2.482579e-1,0,0
8120,90600.00,0.186924,5.895483e-2,-5.895483e-2,-2.699530e-1,-2.475694e-1,0,0
8121,90605.00,0.188495,5.893724e-2,-5.893724e-2,-2.684143e-1,-2.436174e-1,1,-1
8122,90610.00,0.190065,5.891951e-2,-5.891951e-2,-2.801791e-1,-2.479292e-1,0,0
8123,90615.00,0.191637,5.890162e-2,-5.890162e-2,-2.943031e-1,-2.421067e-1,0,0
8124,90620.00,0.193208,5.888360e-2,-5.888360e-2,-3.452744e-1,-2.467971e-1,0,0
8125,90625.00,0.194778,5.886543e-2,-5.886543e-2,-2.877983e-1,-2.576036e-1,1,-1
8126,90630.00,0.196349,5.884712e-2,-5.884712e-2,-2.808805e-1,-2.670377e-1,0,0
8127,90635.00,0.197920,5.882866e-2,-5.882866e-2,-2.905356e-1,-2.648368e-1,0,0
8128,90640.00,0.199491,5.881005e-2,-5.881005e-2,-2.912677e-1,-2.668038e-1,1,-1
8129,90645.00,0.201061,5.879131e-2,-5.879131e-2,-2.943044e-1,-2.699087e-1,0,0
8130,90650.00,0.202632,5.877241e-2,-5.877241e-2,-3.299706e-1,-2.789746e-1,0,0
8131,90655.00,0.204203,5.875337e-2,-5.875337e-2,-3.735621e-1,-2.704372e-1,1,-1
8132,90660.00,0.205773,5.873419e-2,-5.873419e-2,-3.210573e-1,-2.552406e-1,0,0
8133,90665.00,0.207345,5.871485e-2,-5.871485e-2,-3.066240e-1,-2.725695e-1,0,0
8134,90670.00,0.208916,5.869538e-2,-5.869538e-2,-2.928961e-1,-2.757683e-1,0,0
8135,90675.00,0.210486,5.867576e-2,-5.867576e-2,-2.852226e-1,-2.682014e-1,1,-1
8136,90680.00,0.212057,5.865599e-2,-5.865599e-2,-2.889115e-1,-2.796348e-1,0,0
8137,90685.00,0.213628,5.863609e-2,-5.863609e-2,-2.839872e-1,-2.729355e-1,0,0
8138,90690.00,0.215199,5.861603e-2,-5.861603e-2,-2.947409e-1,-2.707551e-1,1,-1
8139,90695.00,0.216769,5.859584e-2,-5.859584e-2,-3.029867e-1,-2.682133e-1,0,0
8140,90700.00,0.218340,5.857550e-2,-5.857550e-2,-3.276872e-1,-2.766652e-1,0,0
8141,90705.00,0.219911,5.855501e-2,-5.855501e-2,-3.902369e-1,-2.778513e-1,0,0
8142,90710.00,0.221481,5.853438e-2,-5.853438e-2,-3.449540e-1,-2.848317e-1,1,-1
8143,90715.00,0.223053,5.851359e-2,-5.851359e-2,-3.267112e-1,-2.902862e-1,0,0
8144,90720.00,0.224624,5.849267e-2,-5.849267e-2,-3.191147e-1,-2.747223e-1,0,0
8145,90725.00,0.226194,5.847161e-2,-5.847161e-2,-3.371243e-1,-2.708554e-1,1,-1
8146,90730.00,0.227765,5.845040e-2,-5.845040e-2,-3.550090e-1,-2.849833e-1,0,0
