frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
6065,30325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.017463,0.959363,1.000774,1.002121,1.023422,20,-40,-2,13,18,858,1025,1062,713,1307
6265,31325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998255,0.936453,1.021631,1.000582,1.002894,-49,-40,40,0,-43,1489,1202,1573,1487,1498
6465,32325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.997308,0.919905,1.037863,0.998642,0.999298,-2,-40,42,-1,-5,1256,1031,1249,1243,1194
6665,33325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004090,0.983158,1.000000,0.993697,1.003030,10,92,-52,-21,11,259,245,290,246,430
6865,34325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.010017,0.998041,0.998456,0.975973,1.013371,20,41,-30,-40,20,968,791,1065,977,1191
7065,35325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.019034,0.997967,0.995485,0.956522,1.010870,19,7,-1,-40,18,453,262,213,276,322
7265,36325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.994662,0.998912,1.010040,0.931133,0.996700,-46,-1,42,-40,-44,332,689,766,467,376
7465,37325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.997706,0.999359,1.043860,0.912839,0.998888,-4,1,43,-40,-7,1514,1331,1594,1468,1569
7665,38325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004209,0.987245,1.016903,0.972877,1.006297,9,-20,-48,98,9,1433,1338,1604,1466,1517
7865,39325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.011272,0.968323,1.001161,0.996405,1.016081,21,-40,-32,42,20,1012,1159,1493,1439,1449
8065,40325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.009901,0.946352,1.000000,0.998160,1.021127,21,-40,-4,11,20,881,702,1160,857,1190
8265,41325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.991974,0.944369,1.009320,1.000000,0.998129,-50,-40,43,0,-47,393,507,843,330,839
8465,42325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001681,0.933426,1.026079,1.001414,0.997819,-1,-40,42,0,-9,365,491,882,477,687
8665,43325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.998172,0.976540,1.010366,0.988447,1.004313,11,93,-54,-21,10,864,1134,1410,1328,1393
8865,44325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.013916,0.998431,1.001195,0.970149,1.016340,20,44,-30,-40,20,1279,1045,1444,1244,1300
9065,45325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.013993,0.998131,0.996221,0.957638,1.028749,19,6,0,-40,19,842,840,1093,549,1057
9265,46325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.994781,0.998736,1.012953,0.938796,1.001585,-43,1,40,-40,-42,728,561,928,783,401
9465,47325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.997012,0.994536,1.018252,0.924658,0.995546,-5,-1,42,-40,-8,774,502,811,354,668
9665,48325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,0.999165,0.991098,1.007065,0.977905,1.002896,9,-20,-52,102,10,968,781,1327,992,806
