pulse_idx,v_pre,v_post_onset,v_pulse_end,v_relax_end,i_amp,r0_apparent
0,-4.486610e-3,-8.798207e-3,-1.651065e0,-1.960145e0,2.000000e-1,-2.155798e-2
1,-1.960145e0,-1.944761e0,-2.969462e0,-4.325920e0,2.000000e-1,7.691741e-2
2,-4.325920e0,-4.334111e0,-4.408024e0,-4.137305e0,2.000000e-1,-4.095554e-2
3,-4.137305e0,-4.118100e0,-4.000038e0,-3.703846e0,2.000000e-1,9.602547e-2
4,-3.703846e0,-3.687589e0,-3.687946e0,-3.356966e0,2.000000e-1,8.128643e-2
