frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge,Foil3_Ybin1_li_metal,Foil3_Ybin2_li_metal,Foil3_Ybin3_li_metal,Foil3_Ybin4_li_metal,Foil3_Ybin5_li_metal,Foil3_Ybin6_li_metal,Foil3_Ybin7_li_metal,Foil3_Ybin1_li_ion,Foil3_Ybin2_li_ion,Foil3_Ybin3_li_ion,Foil3_Ybin4_li_ion,Foil3_Ybin5_li_ion,Foil3_Ybin6_li_ion,Foil3_Ybin7_li_ion
8331,41655,24.490784,27.234776,24.010393,42.372734,47.410305,25.233788,27.40531,102,108,98,115,112,103,111,5,8,10,8,9,7,9
8531,42655,24.490904,27.786276,24.473227,49.91757,45.01702,24.907309,28.141764,102,108,99,122,114,103,111,6,8,10,5,10,7,9
8731,43655,24.481134,27.815948,24.69358,50.25505,50.35294,25.119864,28.91767,101,109,99,123,106,103,112,7,7,11,5,7,7,9
8931,44655,24.603045,28.083654,29.634806,53.060688,51.329067,25.119642,28.563766,101,110,102,125,108,103,111,8,7,11,5,7,8,10
9131,45655,24.670616,28.2691,29.837368,53.060688,51.645157,25.029928,28.647957,101,109,102,122,114,103,112,8,7,11,6,6,8,10
9331,46655,24.660248,28.319666,29.993078,53.078632,51.660324,24.922262,28.67768,101,110,99,127,114,103,114,8,7,11,6,6,9,12
9531,47655,24.608778,28.57401,30.891983,53.078785,51.66353,24.868633,28.897388,101,110,98,128,111,103,113,9,7,12,6,6,8,12
9731,48655,24.528753,29.143492,22.037798,55.62134,51.674847,24.957592,28.881472,100,111,95,130,118,103,113,9,7,10,7,7,10,14
9931,49655,24.553701,29.56389,21.670414,46.414017,47.449924,25.121294,28.712238,102,111,95,118,115,103,114,9,7,9,7,6,11,13
10131,50655,24.608055,30.119904,21.913706,55.098396,54.431686,25.04545,29.329678,101,111,95,132,130,103,113,9,7,11,6,7,11,13
10331,51655,24.670547,30.5468,21.742567,55.07733,57.39596,24.891518,35.4698,101,112,96,135,132,103,115,9,7,11,6,6,11,11
10531,52655,24.72825,30.23805,32.227875,55.07733,57.418285,24.864286,37.42795,101,112,103,135,132,103,116,9,7,10,6,6,11,8
10731,53655,24.967175,30.796616,31.928467,54.59027,57.546055,24.735239,39.78379,101,113,103,136,124,103,120,9,7,12,6,7,11,6
10931,54655,25.186563,31.502626,32.066467,54.59174,57.6231,24.742987,42.902233,101,113,103,138,125,103,121,9,8,12,4,6,10,6
11131,55655,25.325373,31.974285,31.822803,54.59174,57.725464,24.77839,46.716076,101,113,101,137,125,103,121,9,8,13,6,7,9,7
11331,56655,25.060307,31.960857,36.86672,54.43812,57.771427,24.84001,47.773167,101,112,102,137,126,103,120,9,9,11,7,6,9,8
11531,57655,25.010765,32.411144,37.09738,54.438026,57.789005,24.787655,31.689919,101,112,101,135,126,103,113,10,9,12,7,6,9,7
11731,58655,24.842306,33.351284,25.306604,54.438026,57.79035,24.841467,32.413303,101,112,95,134,126,103,113,8,9,12,7,6,9,8
11931,59655,24.639214,34.091156,30.348204,54.438026,57.80226,24.826637,32.99406,101,112,99,135,126,103,113,10,9,12,5,6,9,7
12131,60655,24.402515,34.84847,33.096287,54.438198,57.810417,24.808891,52.23202,101,112,101,135,126,103,129,10,10,15,6,6,9,4
12331,61655,24.430592,35.467075,36.291595,54.438232,57.8269,24.813534,52.23358,101,112,107,134,127,103,129,12,10,15,8,6,9,4
12531,62655,24.477535,36.07589,36.872997,57.416237,57.945724,24.887253,52.23618,101,112,104,123,127,103,129,12,10,13,9,6,9,5
12731,63655,24.566969,36.930428,32.504135,57.41532,62.306465,24.932102,35.110264,101,112,100,139,131,103,116,10,10,13,8,6,9,6
12931,64655,24.637405,37.38448,27.007313,57.415108,62.3149,24.959913,35.005493,101,112,103,140,132,103,116,10,10,10,7,6,9,7
13131,65655,24.591198,37.67749,32.75958,60.711216,62.32336,24.973946,35.187424,101,111,107,140,132,103,115,9,10,10,8,6,9,8
13331,66655,24.559534,38.38491,43.132793,60.72448,64.47545,25.007086,42.240524,100,111,110,127,132,103,119,9,9,12,10,7,9,9
13531,67655,24.53918,32.925926,38.597794,60.848083,64.47545,25.094095,42.21689,100,110,118,128,133,103,121,12,9,13,8,6,10,8
13731,68655,24.406967,33.13419,39.51772,60.949726,64.47545,25.261461,42.108715,101,110,118,128,133,103,121,12,10,13,9,6,10,9
13931,69655,24.374138,33.43642,39.723946,63.77728,64.47545,25.10347,38.491127,101,111,120,130,135,103,117,12,9,13,9,6,9,10
14131,70655,24.564404,33.71825,38.857372,63.77728,64.47937,21.768576,39.310677,101,111,110,144,137,102,115,12,9,13,8,6,8,9
14331,71655,24.499866,33.758396,39.10608,63.77728,64.48149,21.743025,33.82699,101,111,110,146,137,102,115,11,9,14,6,6,8,7
14531,72655,24.963032,33.67646,41.3799,63.77728,64.48156,21.716522,33.90087,101,110,113,149,137,102,115,9,10,11,8,7,9,9
