frame,time_fs,arc_length_norm,roughness_rms,dead_li_frac,accessible_atoms
156639,783195.000,4.365984,54.656334,0.428571,273
157639,788195.000,4.372139,55.688938,0.430933,280
158639,793195.000,4.920438,56.345787,0.411694,285
159639,798195.000,4.956010,56.674820,0.445115,291
160639,803195.000,5.630369,56.822460,0.459727,285
161639,808195.000,4.977160,57.640419,0.461827,288
162639,813195.000,4.608404,56.275826,0.441656,284
163639,818195.000,5.210102,56.618492,0.634663,305
164639,823195.000,4.487017,59.027214,0.662870,342
165639,828195.000,4.772820,60.061108,0.498346,376
166639,833195.000,4.797194,60.056915,0.551948,395
167639,838195.000,4.466793,60.455563,0.457924,380
168639,843195.000,5.004101,60.817162,0.504228,410
169639,848195.000,5.989880,61.099045,0.561587,424
170639,853195.000,4.495401,61.583687,0.568769,431
171639,858195.000,4.924939,61.633858,0.570838,439
172639,863195.000,4.468229,60.999825,0.576166,430
173639,868195.000,5.910982,61.488377,0.544225,428
174639,873195.000,5.925198,61.761543,0.536611,427
175639,878195.000,5.486393,60.797691,0.565489,432
176639,883195.000,5.581155,61.698639,0.567735,432
177639,888195.000,5.730197,61.482048,0.571281,426
178639,893195.000,5.562107,61.279236,0.604964,442
179639,898195.000,5.501251,61.607475,0.672182,445
180639,903195.000,6.132725,61.606598,0.623069,445
181639,908195.000,6.078161,61.653732,0.621901,442
182639,913195.000,6.078613,61.404636,0.629132,440
183639,918195.000,5.685816,61.625450,0.641529,445
184639,923195.000,6.606649,60.898682,0.641529,448
185639,928195.000,6.202497,60.537292,0.629016,440
186639,933195.000,6.370290,61.974724,0.641237,448
187639,938195.000,5.654955,61.861671,0.643004,461
188639,943195.000,6.361034,62.205547,0.644103,456
189639,948195.000,6.397856,62.651695,0.645492,454
190639,953195.000,7.049511,62.320122,0.650972,456
191639,958195.000,5.454541,62.170082,0.652395,469
192639,963195.000,5.340568,62.491100,0.651376,460
193639,968195.000,5.825171,62.221329,0.651731,464
194639,973195.000,6.569657,62.048363,0.658859,474
195639,978195.000,6.275823,62.208946,0.663276,483
196639,983195.000,6.115418,61.693611,0.662944,473
197639,988195.000,5.940168,61.688202,0.663276,466
198639,993195.000,6.343983,61.745708,0.664634,462
199639,998195.000,6.919320,61.894989,0.665992,478
200639,1003195.000,6.428852,61.786663,0.662589,463
201639,1008195.000,5.990427,61.816753,0.660569,459
202639,1013195.000,5.826489,62.310646,0.660896,464
203639,1018195.000,5.645203,61.706116,0.663959,466
204639,1023195.000,6.194017,62.069298,0.663627,456
205639,1028195.000,6.246409,62.549461,0.664307,454
206639,1033195.000,6.278650,62.468880,0.664307,462
207639,1038195.000,5.685187,62.806549,0.666329,458
208639,1043195.000,5.652050,62.757202,0.678103,455
