phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.119449,-0.130841,0,0
rest,1,200.0,-0.224490,-0.231076,0,0
rest,1,300.0,-0.112094,-0.121306,0,0
rest,1,400.0,-0.115854,-0.109257,0,0
rest,1,500.0,-0.108761,-0.116129,0,0
rest,1,600.0,-0.126456,-0.128289,0,0
rest,1,700.0,-0.112760,-0.119761,0,0
rest,1,800.0,-0.109422,-0.136667,0,0
rest,1,900.0,-0.119084,-0.122024,0,0
rest,1,1000.0,-0.119581,-0.123680,0,0
rest,1,1100.0,-0.117470,-0.108108,0,0
rest,1,1200.0,-0.114197,-0.126382,0,0
rest,1,1300.0,-0.111753,-0.219653,0,0
rest,1,1400.0,-0.100173,-0.180851,0,0
rest,1,1500.0,-0.111304,-0.139303,0,0
rest,1,1600.0,-0.128571,-0.240000,0,0
rest,1,1700.0,-0.104948,-0.118261,0,0
rest,1,1800.0,-0.105263,-0.110599,0,0
rest,1,1900.0,-0.120567,-0.127042,0,0
rest,1,2000.0,-0.168350,-0.114625,0,0
rest,1,2100.0,-0.113684,-0.138947,0,0
rest,1,2200.0,-0.106339,-0.191489,0,0
rest,1,2300.0,-0.099359,-0.120438,0,0
rest,1,2400.0,-0.103792,-0.245989,0,0
rest,1,2500.0,-0.107362,-0.114192,0,0
rest,1,2600.0,-0.103387,-0.149733,0,0
rest,1,2700.0,-0.096186,-0.155172,0,0
rest,1,2800.0,-0.168675,-0.194286,0,0
rest,1,2900.0,-0.120325,-0.130019,0,0
rest,1,3000.0,-0.158996,-0.244444,0,0
rest,1,3100.0,-0.109091,-0.121807,0,0
rest,1,3200.0,-0.208531,-0.307692,0,0
rest,1,3300.0,-0.104938,-0.103560,0,0
rest,1,3400.0,-0.126984,-0.207650,0,0
rest,1,3500.0,-0.110092,-0.104928,0,0
rest,1,3600.0,-0.109890,-0.109489,0,0
rest,1,3700.0,-0.100457,-0.105066,0,0
rest,1,3800.0,-0.109792,-0.105096,0,0
rest,1,3900.0,-0.132353,-0.134940,0,0
rest,1,4000.0,-0.116814,-0.103286,0,0
rest,1,4100.0,-0.103397,-0.112291,0,0
rest,1,4200.0,-0.103858,-0.107425,0,0
rest,1,4300.0,-0.100890,-0.109375,0,0
