phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.112880,-0.113869,0,0
rest,1,200.0,-0.105263,-0.112260,0,0
rest,1,300.0,-0.099125,-0.104956,0,0
rest,1,400.0,-0.107091,-0.106351,0,0
rest,1,500.0,-0.101596,-0.107246,0,0
rest,1,600.0,-0.112260,-0.104956,0,0
rest,1,700.0,-0.120344,-0.110465,0,0
rest,1,800.0,-0.115108,-0.108346,0,0
rest,1,900.0,-0.116418,-0.108926,0,0
rest,1,1000.0,-0.114778,-0.109985,0,0
rest,1,1100.0,-0.114778,-0.103746,0,0
rest,1,1200.0,-0.103858,-0.103597,0,0
rest,1,1300.0,-0.112069,-0.100430,0,0
rest,1,1400.0,-0.111929,-0.107402,0,0
rest,1,1500.0,-0.111111,-0.106782,0,0
rest,1,1600.0,-0.104046,-0.100575,0,0
rest,1,1700.0,-0.104046,-0.100865,0,0
rest,1,1800.0,-0.106936,-0.098655,0,0
rest,1,1900.0,-0.109855,-0.097808,0,0
rest,1,2000.0,-0.108029,-0.101156,0,0
rest,1,2100.0,-0.112281,-0.112360,0,0
rest,1,2200.0,-0.112717,-0.106475,0,0
rest,1,2300.0,-0.109985,-0.103746,0,0
rest,1,2400.0,-0.107623,-0.099125,0,0
rest,1,2500.0,-0.112149,-0.104101,0,0
rest,1,2600.0,-0.108346,-0.096632,0,0
rest,1,2700.0,-0.112593,-0.093750,0,0
rest,1,2800.0,-0.108346,-0.094801,0,0
rest,1,2900.0,-0.105754,-0.101695,0,0
rest,1,3000.0,-0.107858,-0.099561,0,0
rest,1,3100.0,-0.108346,-0.096491,0,0
rest,1,3200.0,-0.102410,-0.096632,0,0
rest,1,3300.0,-0.109145,-0.099698,0,0
rest,1,3400.0,-0.103896,-0.105426,0,0
rest,1,3500.0,-0.096186,-0.102649,0,0
rest,1,3600.0,-0.104499,-0.100286,0,0
rest,1,3700.0,-0.096916,-0.098837,0,0
rest,1,3800.0,-0.099561,-0.099248,0,0
rest,1,3900.0,-0.101892,-0.085044,0,0
rest,1,4000.0,-0.096774,-0.090511,0,0
rest,1,4100.0,-0.106007,-0.085034,0,0
rest,1,4200.0,-0.104634,-0.093514,0,0
rest,1,4300.0,-0.112840,-0.111111,0,0
rest,1,4400.0,-0.094118,-0.089985,0,0
rest,1,4500.0,-0.094256,-0.087591,0,0
rest,1,4600.0,-0.100147,-0.089985,0,0
rest,1,4700.0,-0.098009,-0.096186,0,0
rest,1,4800.0,-0.098981,-0.090343,0,0
rest,1,4900.0,-0.113290,-0.130751,0,0
rest,1,5000.0,-0.101190,-0.094512,0,0
rest,1,5100.0,-0.103448,-0.098472,0,0
rest,1,5200.0,-0.093233,-0.095532,0,0
rest,1,5300.0,-0.089955,-0.102804,0,0
rest,1,5400.0,-0.096386,-0.092450,0,0
