phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.117455,-0.130370,0,0
rest,1,200.0,-0.106628,-0.120863,0,0
rest,1,300.0,-0.106322,-0.112069,0,0
rest,1,400.0,-0.114449,-0.114613,0,0
rest,1,500.0,-0.122867,-0.121685,0,0
rest,1,600.0,-0.120444,-0.118497,0,0
rest,1,700.0,-0.105581,-0.112554,0,0
rest,1,800.0,-0.112291,-0.119488,0,0
rest,1,900.0,-0.098266,-0.116477,0,0
rest,1,1000.0,-0.113475,-0.117816,0,0
rest,1,1100.0,-0.094926,-0.118012,0,0
rest,1,1200.0,-0.108504,-0.115556,0,0
rest,1,1300.0,-0.111111,-0.101040,0,0
rest,1,1400.0,-0.107143,-0.100719,0,0
rest,1,1500.0,-0.104167,-0.111111,0,0
rest,1,1600.0,-0.095238,-0.114286,0,0
rest,1,1700.0,-0.096774,-0.109510,0,0
rest,1,1800.0,-0.098551,-0.100865,0,0
rest,1,1900.0,-0.092219,-0.108571,0,0
rest,1,2000.0,-0.097087,-0.111288,0,0
rest,1,2100.0,-0.099099,-0.107362,0,0
rest,1,2200.0,-0.106061,-0.104615,0,0
rest,1,2300.0,-0.100147,-0.098124,0,0
rest,1,2400.0,-0.102339,-0.100719,0,0
rest,1,2500.0,-0.096774,-0.103597,0,0
rest,1,2600.0,-0.104167,-0.098684,0,0
rest,1,2700.0,-0.091822,-0.103300,0,0
rest,1,2800.0,-0.097421,-0.100719,0,0
rest,1,2900.0,-0.089337,-0.095791,0,0
rest,1,3000.0,-0.094368,-0.097983,0,0
rest,1,3100.0,-0.092486,-0.100430,0,0
rest,1,3200.0,-0.092754,-0.094964,0,0
rest,1,3300.0,-0.094556,-0.100143,0,0
rest,1,3400.0,-0.093159,-0.100286,0,0
rest,1,3500.0,-0.094556,-0.102857,0,0
rest,1,3600.0,-0.091052,-0.103448,0,0
rest,1,3700.0,-0.091822,-0.097421,0,0
rest,1,3800.0,-0.083815,-0.100430,0,0
rest,1,3900.0,-0.093656,-0.100610,0,0
rest,1,4000.0,-0.091388,-0.166667,0,0
rest,1,4100.0,-0.092888,-0.102484,0,0
rest,1,4200.0,-0.092086,-0.103597,0,0
rest,1,4300.0,-0.098160,-0.099678,0,0
rest,1,4400.0,-0.092619,-0.097983,0,0
rest,1,4500.0,-0.087083,-0.090361,0,0
rest,1,4600.0,-0.092486,-0.099844,0,0
rest,1,4700.0,-0.087087,-0.099359,0,0
rest,1,4800.0,-0.083936,-0.104348,0,0
rest,1,4900.0,-0.083936,-0.104499,0,0
rest,1,5000.0,-0.086287,-0.103746,0,0
rest,1,5100.0,-0.088380,-0.100157,0,0
rest,1,5200.0,-0.105820,-0.106280,0,0
rest,1,5300.0,-0.095087,-0.082803,0,0
rest,1,5400.0,-0.105033,-0.103251,0,0
rest,1,5500.0,-0.096667,-0.090395,0,0
rest,1,5600.0,-0.099834,-0.098299,0,0
