phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.094256,-0.107402,0,0
rest,1,200.0,-0.102639,-0.101010,0,0
rest,1,300.0,-0.106825,-0.098266,0,0
rest,1,400.0,-0.106782,-0.100719,0,0
rest,1,500.0,-0.109792,-0.101303,0,0
rest,1,600.0,-0.099071,-0.102009,0,0
rest,1,700.0,-0.104322,-0.106061,0,0
rest,1,800.0,-0.123007,-0.176471,0,0
rest,1,900.0,-0.103286,-0.101852,0,0
rest,1,1000.0,-0.108504,-0.096350,0,0
rest,1,1100.0,-0.104499,-0.098266,0,0
rest,1,1200.0,-0.104956,-0.100917,0,0
rest,1,1300.0,-0.102941,-0.099099,0,0
rest,1,1400.0,-0.096774,-0.098694,0,0
rest,1,1500.0,-0.105882,-0.092619,0,0
rest,1,1600.0,-0.107872,-0.095930,0,0
rest,1,1700.0,-0.103397,-0.097983,0,0
rest,1,1800.0,-0.093431,-0.093979,0,0
rest,1,1900.0,-0.101892,-0.095238,0,0
rest,1,2000.0,-0.098981,-0.089725,0,0
rest,1,2100.0,-0.100592,-0.092486,0,0
rest,1,2200.0,-0.095097,-0.089855,0,0
rest,1,2300.0,-0.100313,-0.095376,0,0
rest,1,2400.0,-0.091716,-0.095652,0,0
rest,1,2500.0,-0.090511,-0.095652,0,0
rest,1,2600.0,-0.098266,-0.092619,0,0
rest,1,2700.0,-0.095532,-0.094801,0,0
rest,1,2800.0,-0.096210,-0.096774,0,0
rest,1,2900.0,-0.102041,-0.090116,0,0
rest,1,3000.0,-0.093704,-0.098837,0,0
rest,1,3100.0,-0.093295,-0.096350,0,0
rest,1,3200.0,-0.090776,-0.095930,0,0
rest,1,3300.0,-0.097202,-0.092754,0,0
rest,1,3400.0,-0.096210,-0.093431,0,0
rest,1,3500.0,-0.091483,-0.096677,0,0
rest,1,3600.0,-0.094395,-0.095652,0,0
rest,1,3700.0,-0.088235,-0.093159,0,0
rest,1,3800.0,-0.097202,-0.092676,0,0
rest,1,3900.0,-0.098507,-0.095238,0,0
rest,1,4000.0,-0.099561,-0.095652,0,0
rest,1,4100.0,-0.097202,-0.098408,0,0
rest,1,4200.0,-0.089153,-0.089725,0,0
rest,1,4300.0,-0.097923,-0.095376,0,0
rest,1,4400.0,-0.098214,-0.094118,0,0
rest,1,4500.0,-0.097561,-0.095665,0,0
rest,1,4600.0,-0.089094,-0.092754,0,0
rest,1,4700.0,-0.089153,-0.083086,0,0
rest,1,4800.0,-0.097412,-0.085799,0,0
rest,1,4900.0,-0.096531,-0.084906,0,0
rest,1,5000.0,-0.095092,-0.091445,0,0
rest,1,5100.0,-0.090909,-0.095238,0,0
rest,1,5200.0,-0.100471,-0.092450,0,0
rest,1,5300.0,-0.090226,-0.093159,0,0
rest,1,5400.0,-0.094082,-0.087463,0,0
rest,1,5500.0,-0.088626,-0.094118,0,0
rest,1,5600.0,-0.083077,-0.087463,0,0
rest,1,5700.0,-0.084849,-0.090379,0,0
rest,1,5800.0,-0.074074,-0.084919,0,0
rest,1,5900.0,-0.086379,-0.089153,0,0
rest,1,6000.0,-0.091047,-0.087613,0,0
rest,1,6100.0,-0.088670,-0.090116,0,0
rest,1,6200.0,-0.099200,-0.084919,0,0
