phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,12200.0,-0.081772,-0.089655,0,0
rest,1,12300.0,-0.078195,-0.082540,0,0
rest,1,12400.0,-0.075235,-0.089850,0,0
rest,1,12500.0,-0.078864,-0.087248,0,0
rest,1,12600.0,-0.085386,-0.080808,0,0
rest,1,12700.0,-0.074380,-0.090703,0,0
rest,1,12800.0,-0.110000,-0.136585,0,0
rest,1,12900.0,-0.070229,-0.088235,0,0
rest,1,13000.0,-0.077160,-0.097403,0,0
rest,1,13100.0,-0.071318,-0.087413,0,0
rest,1,13200.0,-0.070278,-0.076358,0,0
rest,1,13300.0,-0.087356,-0.185792,0,0
rest,1,13400.0,-0.079523,-0.105263,0,0
rest,1,13500.0,-0.072785,-0.085714,0,0
rest,1,13600.0,-0.111111,-0.172973,0,0
rest,1,13700.0,-0.080560,-0.084337,0,0
rest,1,13800.0,-0.082508,-0.096000,0,0
rest,1,13900.0,-0.079872,-0.080402,0,0
rest,1,14000.0,-0.078864,-0.098232,0,0
rest,1,14100.0,-0.078864,-0.088176,0,0
rest,1,14200.0,-0.076805,-0.085366,0,0
rest,1,14300.0,-0.078864,-0.091089,0,0
rest,1,14400.0,-0.095808,-0.127907,0,0
rest,1,14500.0,-0.082278,-0.095602,0,0
rest,1,14600.0,-0.094650,-0.096000,0,0
rest,1,14700.0,-0.075075,-0.084416,0,0
rest,1,14800.0,-0.079491,-0.094118,0,0
rest,1,14900.0,-0.079491,-0.084559,0,0
rest,1,15000.0,-0.088235,-0.123595,0,0
rest,1,15100.0,-0.068217,-0.086667,0,0
rest,1,15200.0,-0.076471,-0.086957,0,0
rest,1,15300.0,-0.071097,-0.082149,0,0
rest,1,15400.0,-0.073529,-0.084548,0,0
rest,1,15500.0,-0.073421,-0.087336,0,0
rest,1,15600.0,-0.080960,-0.081991,0,0
rest,1,15700.0,-0.076135,-0.084302,0,0
rest,1,15800.0,-0.072181,-0.076135,0,0
rest,1,15900.0,-0.079027,-0.089600,0,0
rest,1,16000.0,-0.069592,-0.088626,0,0
rest,1,16100.0,-0.073855,-0.083707,0,0
rest,1,16200.0,-0.065421,-0.081037,0,0
rest,1,16300.0,-0.069803,-0.077922,0,0
rest,1,16400.0,-0.065934,-0.074830,0,0
rest,1,16500.0,-0.077311,-0.082136,0,0
rest,1,16600.0,-0.073620,-0.075732,0,0
rest,1,16700.0,-0.073746,-0.079412,0,0
rest,1,16800.0,-0.068217,-0.085106,0,0
rest,1,16900.0,-0.073171,-0.076923,0,0
rest,1,17000.0,-0.069173,-0.074554,0,0
rest,1,17100.0,-0.073314,-0.077151,0,0
rest,1,17200.0,-0.073395,-0.076539,0,0
rest,1,17300.0,-0.090909,-0.083151,0,0
rest,1,17400.0,-0.079389,-0.075472,0,0
rest,1,17500.0,-0.072838,-0.072569,0,0
rest,1,17600.0,-0.073395,-0.066066,0,0
rest,1,17700.0,-0.071964,-0.083067,0,0
rest,1,17800.0,-0.074303,-0.067176,0,0
rest,1,17900.0,-0.075901,-0.073684,0,0
rest,1,18000.0,-0.069565,-0.069666,0,0
rest,1,18100.0,-0.069869,-0.069767,0,0
rest,1,18200.0,-0.071006,-0.072780,0,0
rest,1,18300.0,-0.070336,-0.073282,0,0
rest,1,18400.0,-0.064122,-0.075188,0,0
rest,1,18500.0,-0.073059,-0.067251,0,0
rest,1,18600.0,-0.065831,-0.073132,0,0
rest,1,18700.0,-0.077982,-0.123810,0,0
rest,1,18800.0,-0.086598,-0.085540,0,0
rest,1,18900.0,-0.074419,-0.063733,0,0
rest,1,19000.0,-0.074313,-0.066566,0,0
rest,1,19100.0,-0.074434,-0.072555,0,0
rest,1,19200.0,-0.070015,-0.066066,0,0
rest,1,19300.0,-0.078341,-0.125000,0,0
rest,1,19400.0,-0.060790,-0.070175,0,0
rest,1,19500.0,-0.058309,-0.061135,0,0
rest,1,19600.0,-0.077519,-0.068627,0,0
rest,1,19700.0,-0.075117,-0.077170,0,0
rest,1,19800.0,-0.067851,-0.077047,0,0
rest,1,19900.0,-0.071006,-0.066860,0,0
rest,1,20000.0,-0.072150,-0.064801,0,0
rest,1,20100.0,-0.070175,-0.061493,0,0
rest,1,20200.0,-0.074194,-0.078029,0,0
rest,1,20300.0,-0.089623,-0.079208,0,0
rest,1,20400.0,-0.072617,-0.064830,0,0
rest,1,20500.0,-0.071429,-0.072664,0,0
rest,1,20600.0,-0.072398,-0.066773,0,0
rest,1,20700.0,-0.067449,-0.064047,0,0
rest,1,20800.0,-0.079470,-0.072289,0,0
rest,1,20900.0,-0.083527,-0.069414,0,0
rest,1,21000.0,-0.072607,-0.068611,0,0
rest,1,21100.0,-0.066335,-0.063545,0,0
rest,1,21200.0,-0.065770,-0.062222,0,0
