phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,12200.0,-0.088496,-0.154696,0,0
rest,1,12300.0,-0.096774,-0.176796,0,0
rest,1,12400.0,-0.091603,-0.143646,0,0
rest,1,12500.0,-0.094488,-0.087662,0,0
rest,1,12600.0,-0.082317,-0.198895,0,0
rest,1,12700.0,-0.096774,-0.094463,0,0
rest,1,12800.0,-0.082949,-0.154696,0,0
rest,1,12900.0,-0.096241,-0.132597,0,0
rest,1,13000.0,-0.087977,-0.165746,0,0
rest,1,13100.0,-0.104000,-0.233333,0,0
rest,1,13200.0,-0.087227,-0.222222,0,0
rest,1,13300.0,-0.092210,-0.132597,0,0
rest,1,13400.0,-0.173913,-0.109091,0,0
rest,1,13500.0,-0.090762,-0.092943,0,0
rest,1,13600.0,-0.082278,-0.198895,0,0
rest,1,13700.0,-0.086236,-0.086643,0,0
rest,1,13800.0,-0.084592,-0.083457,0,0
rest,1,13900.0,-0.083958,-0.081833,0,0
rest,1,14000.0,-0.081325,-0.085409,0,0
rest,1,14100.0,-0.083871,-0.091057,0,0
rest,1,14200.0,-0.078864,-0.088091,0,0
rest,1,14300.0,-0.086831,-0.076246,0,0
rest,1,14400.0,-0.081871,-0.074627,0,0
rest,1,14500.0,-0.082353,-0.082569,0,0
rest,1,14600.0,-0.083815,-0.081395,0,0
rest,1,14700.0,-0.089506,-0.079239,0,0
rest,1,14800.0,-0.090032,-0.070117,0,0
rest,1,14900.0,-0.085044,-0.077037,0,0
rest,1,15000.0,-0.087613,-0.077037,0,0
rest,1,15100.0,-0.079295,-0.071322,0,0
rest,1,15200.0,-0.083591,-0.083871,0,0
rest,1,15300.0,-0.086538,-0.076433,0,0
rest,1,15400.0,-0.078717,-0.079389,0,0
rest,1,15500.0,-0.080838,-0.072508,0,0
rest,1,15600.0,-0.073314,-0.074738,0,0
rest,1,15700.0,-0.081514,-0.077612,0,0
rest,1,15800.0,-0.075415,-0.074303,0,0
rest,1,15900.0,-0.084142,-0.143646,0,0
rest,1,16000.0,-0.073855,-0.070588,0,0
rest,1,16100.0,-0.075758,-0.071964,0,0
rest,1,16200.0,-0.082192,-0.074303,0,0
rest,1,16300.0,-0.079179,-0.068249,0,0
rest,1,16400.0,-0.075000,-0.080268,0,0
rest,1,16500.0,-0.089431,-0.131054,0,0
rest,1,16600.0,-0.078832,-0.077496,0,0
rest,1,16700.0,-0.069277,-0.080128,0,0
rest,1,16800.0,-0.083591,-0.074883,0,0
rest,1,16900.0,-0.080000,-0.071429,0,0
rest,1,17000.0,-0.081325,-0.071964,0,0
rest,1,17100.0,-0.079148,-0.065185,0,0
rest,1,17200.0,-0.082569,-0.068047,0,0
rest,1,17300.0,-0.086822,-0.072181,0,0
rest,1,17400.0,-0.083086,-0.067797,0,0
rest,1,17500.0,-0.078049,-0.156425,0,0
rest,1,17600.0,-0.078431,-0.067055,0,0
rest,1,17700.0,-0.083333,-0.075581,0,0
rest,1,17800.0,-0.080477,-0.072674,0,0
rest,1,17900.0,-0.077728,-0.076220,0,0
rest,1,18000.0,-0.082935,-0.077181,0,0
rest,1,18100.0,-0.085366,-0.070444,0,0
rest,1,18200.0,-0.070094,-0.147727,0,0
rest,1,18300.0,-0.097166,-0.090498,0,0
rest,1,18400.0,-0.079872,-0.080672,0,0
rest,1,18500.0,-0.087102,-0.067742,0,0
rest,1,18600.0,-0.078550,-0.070073,0,0
rest,1,18700.0,-0.080871,-0.061728,0,0
rest,1,18800.0,-0.076023,-0.069767,0,0
rest,1,18900.0,-0.072106,-0.064516,0,0
rest,1,19000.0,-0.074516,-0.069069,0,0
rest,1,19100.0,-0.074962,-0.073282,0,0
rest,1,19200.0,-0.080357,-0.069971,0,0
rest,1,19300.0,-0.083832,-0.067449,0,0
rest,1,19400.0,-0.081633,-0.064319,0,0
rest,1,19500.0,-0.076923,-0.082192,0,0
rest,1,19600.0,-0.078365,-0.060708,0,0
rest,1,19700.0,-0.087248,-0.071082,0,0
rest,1,19800.0,-0.074850,-0.069869,0,0
rest,1,19900.0,-0.073507,-0.070552,0,0
rest,1,20000.0,-0.082822,-0.071651,0,0
rest,1,20100.0,-0.074738,-0.070073,0,0
rest,1,20200.0,-0.081761,-0.073620,0,0
rest,1,20300.0,-0.111732,-0.173410,0,0
rest,1,20400.0,-0.084416,-0.075000,0,0
rest,1,20500.0,-0.079633,-0.073206,0,0
rest,1,20600.0,-0.078078,-0.070073,0,0
rest,1,20700.0,-0.079618,-0.072993,0,0
rest,1,20800.0,-0.073950,-0.143646,0,0
rest,1,20900.0,-0.073059,-0.069173,0,0
rest,1,21000.0,-0.078195,-0.072886,0,0
rest,1,21100.0,-0.083200,-0.069486,0,0
rest,1,21200.0,-0.080000,-0.073846,0,0
rest,1,21300.0,-0.075415,-0.074738,0,0
rest,1,21400.0,-0.075301,-0.070073,0,0
rest,1,21500.0,-0.075873,-0.074703,0,0
rest,1,21600.0,-0.075301,-0.068351,0,0
rest,1,21700.0,-0.078431,-0.072214,0,0
rest,1,21800.0,-0.075415,-0.065574,0,0
rest,1,21900.0,-0.083045,-0.071882,0,0
rest,1,22000.0,-0.092379,-0.103448,0,0
rest,1,22100.0,-0.075415,-0.071964,0,0
rest,1,22200.0,-0.079365,-0.071642,0,0
rest,1,22300.0,-0.073620,-0.067153,0,0
rest,1,22400.0,-0.072327,-0.067797,0,0
rest,1,22500.0,-0.068750,-0.064715,0,0
rest,1,22600.0,-0.071763,-0.073620,0,0
